x	Y_20180224_15100_12_7g
0	14099.929
0.1334	13800.375
0.2668	16693.812
0.4003	22614.145
0.5337	29489.469
0.6671	31095.078
0.8005	29690.26
0.934	27626.471
1.0674	29213.941
1.2008	26466.666
1.3342	24716.75
1.4676	22405.102
1.6011	22258.662
1.7345	22598.5
1.8679	21976.893
2.0013	21879.65
2.1348	21713.121
2.2682	20863.348
2.4016	21197.783
2.535	19858.9
2.6684	18860.863
2.8019	18712.289
2.9353	19831.008
3.0687	19918.275
3.2021	20113.029
3.3356	20725.484
3.469	20424.404
3.6024	17838.281
3.7358	17506.523
3.8692	16802.447
4.0027	15763.223
4.1361	NaN
4.2695	NaN
4.4029	NaN
