x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_15g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_1g	Y_20181208_15693b_2_13g	Y_20181208_15693b_5_1g	Y_20181208_15693b_6_9g
0	11862.4658	10765.8965	11200.6699	10252.5586	9902.5225	10594.415	11371.0469	10446.9082	9495.1572	11319.1279	10104.0908	9142.6152
0.1334	12517.6797	12883.5908	12040.5459	11817.707	10709.4395	10984.8486	11985.3633	11536.2246	10292.5586	11025.7656	11086.8232	8957.1191
0.2668	13640.2959	16836.2441	14039.6875	14458.6182	12316.084	11507.1494	14715.8984	12742.9326	10913.3066	12025.7559	12907.9072	9222.1074
0.4003	17893.998	19795.2852	17975.7559	18474.2324	14836.9521	12782.2549	15035.3887	15265.0566	12599.46	13470.1885	15999.6719	9462.3408
0.5337	21788.627	16716.1641	20767.9102	19673.0996	19826.4609	12501.1406	15306.7744	19080.5352	14979.9688	15345.5615	17907.418	11201.9355
0.6671	21823.4414	13843.9395	19766.877	18710.8301	21720.2715	14112.5684	15839.8584	19132.6543	17029.5566	15261.8135	17514.5625	14761.5928
0.8005	19678.3867	13413.1758	18690.4941	19316.6426	18007.998	15631.4395	14234.3525	17228.1309	17281.4043	13568.0889	16613.0273	19348.1133
0.934	18513.668	13630.5127	16448.002	18902.7812	15398.3467	16060.4434	13715.9824	15022.0703	15964.8604	12788.4092	16527.8496	20684.8691
1.0674	17487.957	13888.9941	15434.7178	19164.7012	13407.8018	14780.875	13453.418	14427.8154	15305.9307	12611.4854	16167.3418	19649.4238
1.2008	16703.1836	13930.0098	15002.6729	18214.4707	13522.377	14077.3457	13220.3877	14725.5293	15428.6201	11442.749	15204.0615	17846.4941
1.3342	17660.4316	13511.2549	16209.9863	17850.6309	13492.9502	13776.4062	12835.4033	15166.4326	15794.1377	11680.6719	15109.8838	15995.4258
1.4676	18561.4531	12862.6816	17472.7891	17406.4609	13311.5713	13525.4512	12247.0664	14096.4072	18207.6777	12014.166	15728.8506	15607.0596
1.6011	17428.334	11836.5703	17469.543	16799.1582	13031.7744	12658.3867	12326.1279	13772.9287	17603.8262	12333.8818	17017.8457	14726.0693
1.7345	17846.9766	11965.0449	16864.6738	15868.6348	12539.3857	12978.9121	11821.8535	13057.0811	16009.6152	12079.4121	17581.5859	14346.6885
1.8679	17846.582	12265.5361	18833.9023	15725.1885	12130.9199	12725.6572	12622.5117	13179.3604	14943.7764	12065.1523	16130.9805	15329.9219
2.0013	17080.3125	12176.4502	19572.1328	15170.6641	11759.3721	12188.9014	12255.4277	13881.2588	15794.4883	11593.6074	15900.7051	14147.0703
2.1347	16720.6816	11970.2295	18413.4062	14713.1328	11248.8516	11592.3164	11633.5254	14262.4277	14461.5537	12377.6768	15110.6797	14076.1982
2.2682	17139.1777	11775.5576	16511.5977	14638.5635	11171.54	11316.1777	11484.4619	14053.1553	14623.3477	12521.0459	14251.4121	13737.5498
2.4016	16670.752	13144.0957	15935.1787	14503.0879	10855.2266	11042.2246	11562.1543	13597.7529	14134.7178	13202.9531	13312.9883	13482.6299
2.535	15902.5469	14254.085	13840.9619	14081.9824	11396.7822	11457.8721	11599.668	13139.6328	13008.2588	13569.2969	12512.3564	12744.7793
2.6684	15916.1064	14696.0098	11982.4219	13892.9326	11546.1709	11718.1162	11078.4033	12849.4863	12229.0752	13532.9707	12130.0186	12311.2812
2.8019	15016.7734	13775.5557	12332.2549	12371.5605	11737.4893	12377.8965	11693.6846	13168.7969	12415.6348	13567.3086	11747.334	12443.7783
2.9353	14484.0762	13547.5967	12262.7773	12572.2178	11833.5049	12449.3232	11757.3242	12495.2207	12846.4219	14109.8447	11156.0049	13211.4854
3.0687	14316.0225	13301.7109	14072.7568	12658.2461	11804.6211	12369.1572	11253.6543	12622.0742	12527.3643	12888.5312	10382.6826	14920.0625
3.2021	14442.957	13049.8271	13487.9102	12510.2588	12648.2998	13279.0068	11396.5947	11683.1992	12894.3057	12592.4062	11029.0479	15859.7715
3.3355	13855.21	12753.4658	13386.665	12281.0527	12639.042	14208.0859	12725.1328	10836.2842	13645.7559	13333.9385	10600.4014	15968.4043
3.469	14164.4727	12290.834	12805.5322	11125.6611	12992.9482	14024.4854	12412.041	10563.9824	13774.833	13147.1885	10989.1523	16164.2607
3.6024	13954.0039	11071.8789	11636.7842	10547.8203	13054.5703	14208.1562	11533.1055	10799.0713	13522.875	12870.6338	11160.4629	17359.4746
3.7358	12538.2129	11377.6592	11856.0879	10754.8242	13083.0684	12924.1436	11728.7119	11051.7178	13547.8174	11826.3594	11082.7871	17005.7891
3.8692	11837.873	10991.3877	12073.457	10858.9424	12803.335	12628.7725	12008.2168	11138.7432	12939.2686	13082.2207	11136.5342	16813.5449
4.0027	11630.75	10907.4502	11517.2832	10682.1387	12661.2324	12257.7812	11005.0889	11341.4873	12978.5078	12949.0869	11149.8965	14798.9775
4.1361	11551.2227	11058.6895	11448.624	NaN	12377.5088	12163.4912	11024.5508	12498.0566	12753.8271	12610.0713	11774.8057	13276.4561
4.2695	11485.7842	11254.1836	11988.5547	NaN	12377.6133	12070.2549	NaN	NaN	12040.2148	12047.3701	11989.6973	NaN
4.4029	11088.4365	11085.9502	NaN	NaN	13030.8594	12383.416	NaN	NaN	11910.3584	NaN	11903.3115	NaN
4.5363	11414.457	10748.6133	NaN	NaN	NaN	12129.4941	NaN	NaN	12087.1553	NaN	NaN	NaN
4.6698	11799.2783	NaN	NaN	NaN	NaN	12502.3711	NaN	NaN	11588.4561	NaN	NaN	NaN
4.8032	12125.8525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
