x	Y_20181208_15692_33_6g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_46_3g	Y_20181208_15692_7_11g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	11976.0674	14069.0254	10072.6328	12782.9482	11794.4541	10811.7529	11111.2588	12043.4131	12653.1875	10728.6104	9971.9844	10776.9316	11542.8379	9764.1982	11948.2412	12491.4512	11944.0439	10340.0225	11552.376	10877.7842	14921.585	11621.0508	12843.8115	12167.1338	13414.1748	12376.7129
0.1334	12607.5771	14073.4307	10671.3994	13618.7197	13307.3994	11226.5713	11215.0674	12634.5479	12544.7734	12399.8555	10911.0645	10633.3496	13022.3086	10595.7109	12970.6543	14080.1426	12657.6338	10909.2227	13625.7061	11397.3438	16136.7021	13023.8496	13446.8682	13985.9746	15056.6182	12425.9639
0.2668	13591.5322	14290.0615	12246.4307	15246.749	16670.6641	12688.3691	12881.0586	13722.5273	14215.0703	12820.1729	12738.124	11875.4932	14853.3662	11534.8047	13517.3281	15724.5742	14233.1689	12470.748	15679.1533	12733.4844	17844.0312	14660.3877	14173.8477	15764.8252	17945.5508	11893.7021
0.4003	15643.6514	15871.1592	15408.2617	17421.0645	19425.1758	13594.3076	15875.4502	14607.04	15555.7021	13009.5361	14722.1484	15442.9834	16571.9551	14046.8525	13361.3545	15865.001	16571.4434	13184.1543	14700.9307	13900.8662	20196.3496	16818.6309	14692.416	17020.4141	20001.6289	12246.4219
0.5337	16316.6035	18294.668	18728.1797	17672.9004	19736.3457	16097.0986	19728.9941	15300.1836	17502.1797	12218.0107	16777.2949	18031.9336	15412.9648	18475.0625	11852.3418	15860.1582	16153.0654	13985.7959	13493.9727	15401.2803	20429.8828	19262.2344	18366.793	16676.2871	20262.0781	12660.7227
0.6671	16143.3418	18425.1152	17436.9844	15413.9854	17010.4766	15312.5498	18924.7422	14215.666	18812.1445	13473.8076	16676.5742	18504.418	14962.9336	21775.1914	11688.3174	14733.3818	16076.2168	13841.2012	13474.8857	15462.8789	17987.3867	22187.4102	21278.207	15439.0088	18585.1133	14009.3105
0.8005	15072.6162	15689.9365	16046.5576	13953.5713	15812.6914	15179.0029	15975.377	14667.5986	20316.8184	12981.2373	15666.1279	17237.4805	15003.1328	22285.5488	11824.1094	14782.9746	14875.0869	13275.0576	13338.0859	14372.9775	16081.3574	24458.5078	20200.8027	15551.2061	17434.8594	15941.7266
0.934	14720.4434	13799.6299	15391.9912	13492.5879	15696.6885	14591.5625	14623.7891	14486.3818	17573.1895	12056.1475	14590.1543	15963.7725	14725.1143	21400.4688	11766.5332	14999.0488	14081.1436	12906.3994	13625.1338	13726.0342	16393.1016	23853.291	18608.1172	16181.25	18173.9219	16703.2109
1.0674	14320.043	13489.6768	15143.6299	12688.9756	16015.4248	13718.9424	14118.2656	14020.5459	15344.3818	11293.2266	14241.6543	15360.6309	14446.2373	18378.7246	11057.0146	14419.3809	13388.0859	13680.1807	12882.4902	12926.1895	15663.0928	19446.6719	18559.125	14953.7266	19037.7949	17355.9297
1.2008	14658.4219	14641.8193	14940.0439	13085.4512	16945.4668	12824.6035	15294.6426	12569.9785	15163.6885	10862.5527	13451.5625	14479.5957	13891.9482	16950.1504	11324.8701	15003.0459	13415.626	14535.8359	12238.3691	12537.5352	15931.2012	16324.416	17436.1113	15534.2852	18078.8223	16580.1914
