x	Y_20181208_15693_1_13g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_4g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_7g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g
0	13337.5537	12604.8584	11040.1133	12562.1514	13398.6953	12313.0498	9927.4883	11811.6348	12194.6631	13353.6602	12489.7783	11429.667	10189.707	11837.9941	10106.1826	16392.877	12415.2285
0.1334	14830.8076	15530.5967	11776.1172	12997.5459	15036.8184	12996.4004	10416.9844	13823.9316	12222.6729	14138.4619	15069.1152	11540.7471	10853.4365	12614.7559	10722.4512	16525.3027	15446.5635
0.2668	17805.1426	18209.8418	14552.1416	14115.2773	16534.1367	13626.7061	11386.3594	14179.8594	13468.9443	16560.3691	18261.4297	14174.6865	11960.0811	13747.0156	11617.0176	15296.7793	16584.2754
0.4003	19947.457	17302.0996	16630.7812	15024.8945	14954.417	16501.252	11687.916	14030.7725	16702.2012	20253.5195	22973.7969	16511.6934	12849.1045	15668.6787	12430.3174	14618.1719	15843.7285
0.5337	16625.3457	14718.4658	15160.1436	14433.877	13395.209	15024.7754	12716.001	13091.0977	17597.0117	19718.4531	23739.3457	17397.4062	13861.1904	18165.5293	13758.6455	13608.1797	15053.832
0.6671	13340.3125	13232.8838	13872.7598	13419.5977	13451.9229	14121.2637	14134.4482	12344.5537	16754.7227	17670.8867	20766.5391	13884.0283	14459.2295	21302.2637	13671.3711	13914.7314	14490.6201
0.8005	12653.8086	12307.8652	12534.0283	12930.5527	13527.0703	13041.9346	14593.6963	12466.3164	15250.1221	15757.5059	20012.4551	13969.3945	13483.71	19923.0586	13675.0752	13240.2715	14027.1377
0.934	12046.6777	11057.4121	12563.7988	12605.3799	12549.0527	13989.4678	13081.6621	12165.1855	13640.1279	15071.0723	19192.9941	13438.752	13140.8652	18293.582	14258.6729	13065.6025	15810.2236
1.0674	12306.4814	10934.6182	11757.1152	12836.2871	12329.1602	14685.8525	12885.6885	11641.9277	13097.5312	13845.0039	19641.7227	12933.9609	12586.0303	17110.7617	13716.2402	13443.1875	17988.7266
1.2008	12806.8359	11107.4414	11270.3115	12342.0059	11459.5098	13714.3916	13642.9297	11982.791	12176.7139	13417.4883	17663.7344	13151.207	11902.8398	16674.6348	13961.999	15616.7764	17960.4258
