x	Y_20181208_15794_3_12g
0	26820.2891
0.1334	25742.9668
0.2668	27434.998
0.4003	27452.7012
0.5337	30051.2441
0.6671	29296.7539
0.8005	29438.3262
0.934	29214.3555
1.0674	29375.0938
1.2008	30360.3027
1.3342	28451.9707
1.4676	28595.5234
1.6011	29650.1094
1.7345	30281.7227
1.8679	29267.0645
2.0013	28435.0156
2.1347	30673.7559
2.2682	28544.8594
2.4016	29242.9766
2.535	29903.8828
2.6684	29738.1738
2.8019	30175.9258
2.9353	32978.6719
3.0687	38267.1484
3.2021	53758.5938
3.3355	80845.9766
3.469	91594.8281
3.6024	62678.082
3.7358	41960.5898
3.8692	34752.8789
4.0027	33558.543
4.1361	31833.043
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
