x	Y_20181208_15693_1_1g	Y_20181208_15693_1_9g	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_3g	Y_20181208_15693_10_7g	Y_20181208_15693_10_8g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_14_10g	Y_20181208_15693_14_12g	Y_20181208_15693_14_8g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_15_2g	Y_20181208_15693_15_7g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_18_6g	Y_20181208_15693_19_2g	Y_20181208_15693_19_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_3g	Y_20181208_15693_20_2g	Y_20181208_15693_3_2g	Y_20181208_15693_3_7g	Y_20181208_15693_4_10g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_15g	Y_20181208_15693_7_3g	Y_20181208_15693_7_5g	Y_20181208_15693_8_2g	Y_20181208_15693_8_6g	Y_20181208_15693_8_9g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g
0	26784.207	25187.375	30484.791	28430.4473	27141.5547	27431.9043	33197.7266	30521.1992	27417.5312	28286.0527	30960.7324	31794.9902	32050.4355	28727.2852	27615.6602	29927.7598	31561.3125	30334.4336	30864.1504	31106.9551	28740.1738	27478.0879	30450.5801	32689.6621	32962.4805	26865.6641	32648.0684	30331.252	31055.1055	29243.2871	29135.8887	31915.4199	29145.6074	24614.752	34065.0117	29540.7422	30955.7266	28178.2715	25864.6152	28508.4648	29984.668	29894.9355	32763.7812
0.1334	27847.2539	26733.8457	30474.1309	28072.2246	26551.1875	29128.9668	33136.7969	29671.3008	28154.6641	27641.4688	29475.4902	30972.8984	31659.291	27587.1836	29037.6523	30604.6348	32254.8691	30020.0859	29830.7363	30338.5996	27201.1309	26541.6113	29996.4336	32281.5918	30281.4102	27440.9883	31598.4336	30155.0664	32279.7617	29582.0352	28905.1367	30034.4414	27161.2793	24057.3496	33396	28940.7207	29817.2988	28419.6621	25164.6582	28692.0039	29874.7793	29511.5781	32923.9883
0.2668	27252.543	26829.0254	31390.2598	27366.3906	27545.1328	28134.875	33261.6055	29434.9805	29279.9102	27720.4629	31331.1621	31989.168	32294.0488	27199.9395	29523.043	31248.7012	32605.6797	29675.998	31856.9629	29426.1465	27303.3125	25879.8535	29819.8496	32969.3906	32221.2832	27297.8594	31124.0918	30353.7617	31781.623	30719.1934	28974.8125	31003.7891	26965.5254	24424.668	35621.8164	29516.5195	29552.377	26390.9551	24449.7852	29348.3086	29822.6738	32059.6797	32806.0469
0.4003	27356.5234	26600.0664	32271.3438	27888.0469	26695.9141	28220.8105	33756.5039	30663.2402	27537.3477	27562.3438	31312.1973	31208.5059	32117.873	27877.2207	28405.2676	31464.127	31960.3184	30041.2305	31507.2188	29021.2051	28263.3027	26783.4336	31186.5957	33114.8164	33198.1758	27735.0312	31283.3242	31321.2676	32562.8203	30395.1543	28867.3438	31148.0137	26467.9414	24107.1953	36764.4492	30791.0566	29626.0703	28189.666	26069.9375	29559.9785	29412.0176	31253.9727	31995.5879
0.5337	27060.5762	26525.625	32493.7461	27545.3984	27176.6445	29651.7246	31889.7617	30237.125	27748.2227	27659.5996	31934.918	30742.0352	31071.6699	27614.4824	28292.1699	30372.3945	33466.1836	30139.6055	32065.0957	28903.7695	29188.1523	26690.2754	30225.7715	32780.7656	31144.9023	26211.9688	30552.3262	29329.0469	30831.5762	30120.1465	29573.3262	31656.8633	26300.752	23201.9746	35608.1562	30857.8066	29749.5	29541.2949	25793.5508	29811.877	28365.4668	29801.2793	31409.9297
0.6671	25597.5527	26194.2402	31792.9492	28748.2949	28838.9844	30130.9824	32777.7383	28853.4004	27308.2148	28101.6094	32705.1328	32458.8145	32879.1289	29812.5312	30047.6113	30635.3867	36911.2344	31388.0332	31917.9297	29648.4902	28624.8926	27155.7422	30781.291	32720.1191	32266.7617	27518.8281	32239.1484	31699.4375	32515.9512	30018.9473	27897.8242	32277.4785	26572.0762	25645.9355	34558.2734	30012.4141	30646.8965	28389.5352	25861.7012	28666.0156	28059.9258	31499.1992	32361.1074
0.8005	26157.1758	26204.127	30593.3809	28101.5137	27248.2012	30557.6699	32915.2539	30227.9199	28394.4531	29347.9707	31457.2676	33737.9453	33495.2422	31791.1133	30192.1914	31592.5488	39449.1953	32539.2793	30846.5879	29845.5547	29103.2637	26588.3984	29666.6016	31929.2188	32896.6953	27318.875	31543.9551	30676.334	32494.0977	29708.1953	29874.5605	34211.9062	26290.8906	25742.166	34342.4336	29223.6973	29809.0254	30906.2812	27012.373	30582.9336	29853.252	31676.707	33392.5977
0.934	26078.584	27164.3047	30752.7578	28022.877	29419.4629	29953.043	32142.9727	33804.9102	27989.8047	29805.5449	31751.3691	36276.2734	35478.9062	31577.6836	30858.4258	35511.2344	51144.2773	33645.5	31496.0586	29712.8809	30228.916	26216.1406	29830.7754	32917.1172	33424.0234	27816.748	31381.3867	32266.3438	32639.9512	30984.7402	30536.1387	35111.2773	27598.0742	25665.3086	34496.5469	29436.873	30034.3633	32102.6797	27463.834	29635.8555	29727.8594	31621.5449	35114.8086
1.0674	24678.2793	27341.1953	32983.0938	28921.0234	30247.9531	29250.4141	33976.8906	39333.375	28251.5605	29349.3301	33549.0078	43463.0352	42623.5391	33596.1836	32522.8594	44915.2227	73871.9844	35348.1875	31244.3574	30672.0156	31718.8066	28544.0938	30164.4551	32381.9609	34846.5938	28171.4824	34252.5977	30846.5527	33829.8594	30584.2148	28609.4238	38931.0547	28570.4121	30166.916	35571.9492	30745.8633	31540.4688	37169.875	27515.6641	29632.3535	30887.6621	32943.0977	35299.2812
1.2008	25449.3594	29078.9277	31765.332	29517.877	34785.5312	29792.7227	37631.7891	56778.5039	27608.4473	32035.7402	34336.2148	64039.9336	56395.9609	41710.7148	35267.4414	60560.8711	89185.3203	37513.0312	31932.0176	31512.9531	34787.1719	30578.1094	32791.6484	35493.5312	42198.207	29493.6016	39630.1484	31729.0547	36398.5312	32735.1309	31722.4922	54709.4961	31383.2891	38401.0156	36455.5781	31142.6367	30217.3887	52893.4922	28067.9102	30737.7012	31998.334	34879.0039	36279.3281
