x	Y_20181208_15692b_13_2g
0	23789.9746
0.1334	25182.2051
0.2668	25638.4668
0.4003	25759.3223
0.5337	26647.377
0.6671	25938.8398
0.8005	25570.5
0.934	26227.416
1.0674	24824.1367
1.2008	26464.4668
1.3342	26595.375
1.4676	26081.9062
1.6011	26328.9746
1.7345	25820.9844
1.8679	25885.3223
2.0013	25352.8184
2.1347	25384.3633
2.2682	26052.0273
2.4016	26478.8203
2.535	26619.0293
2.6684	28902.7559
2.8019	35419.1562
2.9353	51259.707
3.0687	69417.4609
3.2021	67640.9375
3.3355	53870.7031
3.469	38391.4102
3.6024	31334.4316
3.7358	28210.7012
3.8692	27090.207
4.0027	26759.373
4.1361	25242.1406
4.2695	NaN
