x	Y_20180224_15102_12_12g	Y_20180224_15102_12_7g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_26_5g	Y_20180224_15102_27_1g	Y_20180224_15102_28_8g	Y_20180224_15102_4_10g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_9_5g
0	36292.961	35709.188	40663.586	36215.879	37926.711	40330.398	37074.043	36735.332	36651.859	28295.879	40598.867
0.1334	37570.199	35586.746	41131.344	36378.703	36504.402	38003.453	36711.605	35545.43	35927.547	28126.418	41147.027
0.2668	36956.359	35189.578	40328.672	36887.594	37571.586	40018.137	37502.672	35305.875	34346.254	28559.551	38389.391
0.4003	36750.676	35320.828	40743.066	37477.629	39125.977	39136.539	37525.484	33831.246	34868.566	28748.785	39351.676
0.5337	37262.402	36339.836	39257.027	38132.871	39537.355	39283.535	37952.223	33543.871	37426.422	29153.152	38988.363
0.6671	38481.273	37605.438	40141.961	38557.816	39417.785	39421.105	38322.062	34393.688	38822.645	29944.984	38858.238
0.8005	39414.465	36423.738	41011.934	37632.559	39207.926	38533.965	38848.203	36321.68	39600.453	30524.996	37883.594
0.934	39332.234	38418.555	40439.73	39209.043	39120.977	40246.57	39093.367	36380.664	39097.891	30371.195	39410.637
1.0674	38147.895	38187.914	39206.566	40507.52	38629.051	38889.227	40978.199	34755.684	39158.18	29736.924	39861.227
1.2008	39392.742	37419.977	40042.16	41330.02	36935.57	38882.199	42909.516	35442.367	38695.898	29537.34	39390.48
1.3342	39240.828	39015.723	40702.555	39915.227	38511.402	40513.445	41955.426	35871.641	37472.461	29390.689	38933.93
1.4676	37337.895	38445.066	40650.199	38818.375	39788.953	41945.715	41996.781	34583.383	38637.617	31222.584	40811.879
1.6011	39146.586	37786.707	39014.652	38784.043	40507.121	42816.539	41923.117	36043.93	37810.035	31871.24	40723.148
1.7345	39820.082	38414.551	39455.707	38733.211	38312.238	41988.445	42117.363	35554.668	38321.203	32419.742	42121.715
1.8679	39317.777	36785.293	41165.277	39633.617	38395.613	43020.578	40946.816	37331.645	38926.996	31892.025	40920.562
2.0013	38378.172	37245.738	42011.52	40482.172	39548.754	42885.281	38759.078	37672.293	38976.844	32888.957	38721.66
2.1348	38953.305	36346.785	43632.359	39375.949	38455.047	41323.699	39694.992	38348.371	37250.82	34315.316	40314.645
2.2682	39778.344	37838.887	42621.824	39334.961	37610.117	39948.691	39545.039	36687.504	37251.473	34304.691	42409.496
2.4016	39269.824	36976.465	43808.434	39808.762	37920.066	38839.625	38050.773	37684.223	37161	34816.148	42429.418
2.535	39324.238	36691.148	40847.629	39951.215	39982.227	38269.469	38226.895	35676.543	36866.117	33605.906	42857.031
2.6684	39889.82	37160.258	39216.656	38823.121	37877.902	40628.273	39482.77	35439.555	37379.086	32845.734	41987.152
2.8019	39245.805	37904.117	41867.051	39504.07	37432.5	39694.984	38944.777	37195.559	37734.73	32596.602	40210.59
2.9353	40676.414	37432.152	42657.961	39520.461	39893.293	37633.746	39707.234	37500.066	37710.059	33494.414	42505.855
3.0687	41298.871	37306.379	41412.094	40221.582	40120.961	37771.828	40762.562	35953.652	42378.492	31961.037	42021.855
3.2021	40301.078	37636.289	40675.887	40340.848	40839.605	37428.883	39352.547	36591.113	48356.016	32441.65	42363.258
3.3356	40336.75	43436.859	41366.852	42537.617	43455.152	38497.406	43686.797	38766.23	67051.766	33804.547	45701.121
3.469	41580.02	53023.5	45598.121	48638.051	52513.027	37754.363	48915.438	41481.629	82193	34950.773	55911.516
3.6024	46686.023	67989.039	49160.297	57049.773	74356.391	40008.543	62006.688	52379.348	80661.328	39303.293	65747.039
3.7358	58059.27	72092.984	56170.75	64705.59	89939.445	43679.73	78955.953	59172.219	64449.43	45829.469	59484.355
3.8692	64576.199	59766.273	53745.43	60072.836	74657.234	49248.699	67969.359	56516.273	61872.379	51963.441	50592.598
4.0027	58761.059	51945.875	47104.605	49645.672	53588.707	60570.848	50309.945	44771.113	NaN	47920.129	47831.688
