x	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_17_1g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_30_5g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_5_6g	Y_20180212_14590b_9_7g
0	11893.415	12439.051	11754.832	14589.188	17943.676	13824.715	13800.994	14057.221	14709.05	13028.285	13759.576	12433.849	14442.664	12996.186	13215.505	17060.752
0.1334	13039.602	13321.68	12758.036	15174.482	19130.824	14358.657	14941.636	15225.627	15315.662	16728.141	13961.818	13844.308	17096.576	13097.272	13895.032	17440.637
0.2668	14839.3	16022.031	13287.547	16317.486	20781.887	14801.404	16125.209	17909.592	17530.842	18990.352	14508.083	18408.221	19864.803	16150.672	14964.016	19392.533
0.4003	17203.42	20430.688	14446.862	17730.822	22173.744	15013.083	17357.979	20033.941	20157.746	18002.359	15411.367	22716.754	18339.926	19192.125	17710.479	22008.291
0.5337	19842.977	27768.98	16698.92	17216.268	22051.764	15636.817	17278.168	20155.012	19270.479	17489.311	17165.711	21731.115	18974.416	21899.461	18517.332	20294.545
0.6671	18053.334	29628.445	17221.402	17609.297	20165.789	18001.363	16777.475	19143.766	18739.924	18754.424	17053.686	21254.691	19570.84	20176.805	17919.184	18705.41
0.8005	16643.684	26210.742	16490.514	18516.557	19232.033	19384.012	17561.189	17965.619	18559.734	18459.223	17256.109	23395.871	20917.639	17905.938	16088.137	18300.514
0.934	17045.879	23205.898	17269.445	18494.107	19186.029	19799.625	19202.301	17736.145	18235.957	18273.109	16930.934	23177.652	24922.24	17216.178	15848.104	19070.088
1.0674	17024.5	21309.77	16885.273	18557.439	18626.158	18417.791	19549.424	18462.67	21441.352	17282.75	17171.512	23082.344	29412.777	16442.631	15993.981	19514.385
1.2008	16140.354	22475.953	17265.959	21038.52	17113.926	17810.426	21731.635	20035.113	25748.889	19347.223	17129.668	19157.154	28075.244	17044.404	16818.283	20220.707
1.3342	15869.713	22905.525	18321.252	25056.334	16202.669	18200.898	29522.527	21920.227	29369.037	20103.6	16361.482	17081.191	24021.42	17589.607	19364.891	21568.422
1.4676	15901.251	21931.498	16714.789	25527.025	15277.278	20494.035	32234.209	26784.488	28464.035	23218.684	16253.456	16141.761	21428.863	17135.875	22161.039	23225.492
1.6011	16027.536	20439.965	16739.029	NaN	15878.357	23689.938	29150.883	30589.252	25020.195	24750.121	16184.937	15254.177	19357.664	16821.02	25639.014	24346.086
1.7345	14403.668	22683.719	15767.567	NaN	17651.211	25830.047	NaN	29582.951	NaN	NaN	15149.88	NaN	19165.701	NaN	NaN	24767.93
1.8679	14399.61	25759.391	16223.825	NaN	18223.014	31185.084	NaN	25041.92	NaN	NaN	14554.165	NaN	NaN	NaN	NaN	22067.576
2.0013	13160.763	26865.541	16355.473	NaN	NaN	36402.043	NaN	21433.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.1348	NaN	NaN	16917.043	NaN	NaN	36134.066	NaN	18496.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	32191.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
