x	Y_20180224_15102_14_1g	Y_20180224_15102_14_3g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_15_7g	Y_20180224_15102_16_1g	Y_20180224_15102_16_4g	Y_20180224_15102_17_6g	Y_20180224_15102_19_9g	Y_20180224_15102_1_2g	Y_20180224_15102_21_5g	Y_20180224_15102_21_8g	Y_20180224_15102_22_3g	Y_20180224_15102_22_5g	Y_20180224_15102_23_1g	Y_20180224_15102_24_3g	Y_20180224_15102_25_11g	Y_20180224_15102_25_14g	Y_20180224_15102_25_7g	Y_20180224_15102_27_9g	Y_20180224_15102_29_5g	Y_20180224_15102_2_4g	Y_20180224_15102_2_5_s_g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_6_2g
0	33563.977	39100.734	34741.328	33435.18	36992.871	36547.867	34404.918	37790.68	37837.723	39123.473	35774.371	35559.422	34803.152	35223.875	33138.41	36713.082	38460.125	36614.707	35692.25	35010.066	39631.66	35567.418	37624.25	33734.031	36657.508	36380.301	33302.27
0.1334	34546.625	37831.863	35184.77	32150.494	37155.773	36069.031	34744.445	37875.715	37177.074	39114.59	37290.164	35989.469	37220.477	35781.742	32278.422	35578.793	37016.336	36610.992	34618.375	36525.844	38719.125	36984.195	36981.426	33436.141	39533.121	37983.309	35605.859
0.2668	32741.291	38296.781	33004.176	32623.4	38051.344	36106.895	35825.328	37108.598	37957.023	40893.246	35980.379	36716.609	35867.59	34390.336	31550.678	37924.16	36626.219	37757.152	34171.922	34392.59	41791.051	35797.805	35555.262	33268.234	41381.082	35630.918	35508.344
0.4003	33541.172	40275.246	34975.191	33818.199	35739.301	36755.895	34609.617	38426.695	36990.461	40413.898	36176.551	34390.777	35841.809	35719.961	32649.818	38133.605	38543.676	38433.609	36027.719	34347.105	42142.965	37462.188	37048.164	35003.137	41226.797	35342.293	36395.312
0.5337	33990.359	38603.172	35268.727	35003.402	36140.719	37904.812	33776.094	40155.449	36541.281	39015.707	36782.758	36036.395	36741.434	36275.57	33136.434	38458.68	38844.098	37962.242	35150.859	34164.949	41766.664	38170.676	38016.977	33620.25	42889.734	36870.684	36237.02
0.6671	34698.523	39085.312	35291.684	33722.859	38119.914	37135.895	34934.523	38051.918	38331.16	39167.859	37603.465	35015.73	36633.961	37023.059	32601.912	38241.434	37728.621	38892.984	36455.586	34932.312	40677.785	39074.535	38590.781	34545.328	42825.242	36359.672	36595.816
0.8005	35447.211	40481.652	34374.93	34193.133	39482.922	38608.309	35750.254	37785.102	38037.16	40469.613	37351.652	35439.293	37310.125	36625.754	32679.98	39159.68	39636.266	38498.848	36347.711	36067.527	42044.133	37706.273	39314.703	35083.121	43529.117	36883.797	35417.086
0.934	34988.914	39042.727	35064.234	33614.375	38101.238	38335.137	36117.863	37314.266	36981.852	40822.195	38142.797	36679.914	37716.734	36385.109	33397.156	39986.645	38190.797	39466.301	34439.16	35715.289	42276.766	38429.766	38345.16	34542.289	41503.055	37854.801	36458.984
1.0674	34956.148	38624.191	35349.41	33579.133	39657.148	38606.414	35417.93	38062.605	37581.734	40478.496	37897.07	37247.883	37732.523	36906.102	34648.781	40239.09	39717.039	39740.848	34771.766	36389.984	41818.547	37030.078	37146.238	35738.875	42031.672	38634.523	34638.961
1.2008	34905.352	38483.781	36251.258	34486.18	40381.18	38132.629	35854.953	38021.035	39466.281	41091.828	38337.625	35713.055	38058.074	36116.227	34440.844	40850.355	40427.812	38502.484	35597.031	36701.621	42343.066	36302.039	40206.234	36122.344	40754.879	38132.227	33897.504
1.3342	33458.766	40640.73	36648.547	34105.371	39128.336	39459.363	37630.688	38304.84	39929.852	39623.051	37830.793	36590.324	38801.738	35643.777	35074.77	41252.871	38668.008	37659.551	35522.965	36687.129	44035.016	36634.723	41346.074	35156.32	40952.707	37687.867	33283.578
1.4676	34281.617	38649.891	35117.496	33400.422	40428.922	39651.875	36239.078	39136.32	41494.57	40095.492	38580.324	38050.516	39238.566	35109.477	33873.125	40524.801	41587.039	37629.215	34291.602	35523.254	42174.668	37703.039	40016.484	36261.023	40273.461	37125.027	35114.723
1.6011	33463.121	39286.902	36844.516	33874.215	39971.777	39186.949	34732.16	39089.441	40490.996	40863.422	38127.125	36896.336	38485.648	36401.672	32511.492	39266.625	41864.062	38261.875	34494.402	35014.902	40719.613	39201.855	38309.023	36950.168	39623.777	36056.867	34389.758
1.7345	32355.357	39542.324	36170.996	34600.406	39706.496	37739.895	33808.344	38557.535	38769.383	41622.352	36921.871	35682.211	39667	36323.121	33636.082	39388.824	42621.297	38441.137	34418.383	35116.371	41430.074	38351.629	36784.93	38422.121	39781.621	36201.02	33566.77
1.8679	34518.355	39676.426	35391.227	35228.746	39784.004	39723.742	35275.578	38575.363	39553.219	41269.742	38963.773	37352.457	39392.383	34356.359	35046.031	40031.652	42799.516	38320.395	35698.527	35841.914	41703.555	37840.953	36245.77	37913.188	41884.195	36224.109	34765.973
2.0013	32896.348	38948.082	35573.234	35300.742	39781.656	39804.68	36278.711	37453.863	40480.453	41120.953	38713.871	37757.727	41204.07	35817.566	34057.242	40718.008	43786.969	37116.262	36225.336	36914.969	40989.027	38528.348	37764.477	37389.59	42101.406	37177.684	35160.98
2.1348	32627.021	39902.715	35478.152	33892.211	40931.07	39446.465	34601.008	39628.418	41668.883	40925.051	37511.527	36261.668	40653.445	36427.434	35757.734	39835.086	43686.945	37809.531	34923.367	35619.023	40922.758	37363.574	39352.488	37154.359	38797.906	37431.793	33484.93
2.2682	33938.27	39898.723	35064.719	34861.438	42207.605	39724.168	35331.34	38580.668	41134.949	41673.52	39349.91	37578.09	41309.945	35505.152	35900.043	38703.426	44486.027	37393.988	35199.891	34620.453	41703.352	37997.816	36847.27	37786.375	40475.109	38067.098	33545.824
2.4016	37496.848	41046.621	36084.934	35337.879	45141.805	39004.195	36018.234	38854.938	39846.07	44355.73	39499.875	41013.828	41138.102	36015.32	35787.82	39469.672	44744.695	38840.895	38325.777	36613.77	43500.387	38058.27	38882.777	37145.66	42359.844	40590.168	35560.289
2.535	42682.668	42203.082	36629.047	34086.699	50898.148	39964.707	37898.27	39879.426	42642.777	46369.055	41968.074	42137.25	41039.121	37162.027	35720.043	38317.547	46584.211	40139.988	38529.125	37478.148	45168.883	38592.215	40192.598	37366.348	46564.828	42044.473	34156.902
2.6684	56996.129	53226.586	37759.629	33892.645	66411.422	43171.57	39167.535	42714.473	44604.34	54115.859	44528.336	47361.781	42024.289	43305.43	36787.082	41409.664	50903.848	42137.344	41545.02	38009.949	48132.273	38861.137	42126.312	38178.578	55050.113	52800.113	35306.199
2.8019	65541.625	75852.359	43529.281	35333.871	73347.719	48779.082	42101.758	50269.043	48649.828	83095.906	49797.887	62778.832	43820.145	56603.215	40459.398	44798.496	65970.734	48906.676	54640.285	41794.844	56180.652	38884.465	50549.664	38618.801	60501.918	68160.445	35246.48
2.9353	57245.387	93450.07	51932.57	37750.031	60920.285	65797.008	51007.344	65866.812	56803.695	127719.211	66944.109	100447.203	49407.473	69058.039	48859.215	48547.816	112163.016	62769.32	71889.211	46817.496	73970.695	41388.488	59392.586	42213.469	54367.105	74087.992	39392.039
3.0687	45456.559	78054.469	56535.727	44333.934	48928.332	81780.422	59798.438	75191.023	56208.648	142916	93586.031	158170.219	48308.18	71530.484	52223.879	62310.977	157164.125	67461.297	70215.047	59027.883	88640.609	50450.59	55918.355	59836.855	46891.508	60894.648	45702.629
3.2021	40049.078	56353.855	51655.688	49878.617	43595.039	72948.5	56966.266	64784.465	50527.531	103743.359	104938.742	169620.812	44163.688	54256.145	45375.047	81483.094	152055.562	52992.738	53973.027	56825.309	77712.43	61775.984	45344.582	79628.453	43058.773	48356.699	48099.797
3.3356	NaN	NaN	42570.055	44872.711	NaN	52595.703	47380.555	47879.125	46482.199	65243.559	82263.469	117467.922	NaN	41727.547	37888.582	87886.836	95466.117	43315.934	41183.391	46840.434	58083.824	61326.75	40106.109	76265.734	39726.613	40905.375	42225.309
3.469	NaN	NaN	41078.875	39731.484	NaN	44319.109	40473.414	41446.887	NaN	48332.383	55742.41	73142.305	NaN	35987.07	36824.812	68809.32	61684.516	40497.141	38234.59	41232.051	51290.531	52452.531	NaN	56205.059	NaN	NaN	37217.168
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44922.684	66641.188	NaN	NaN	NaN	54756.371	50860.855	NaN	NaN	36782.773	NaN	43687.324	NaN	44086.691	NaN	NaN	37339.195
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41013.203	NaN	37971.391	NaN	NaN	NaN
