x	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_3g	Y_20181208_15100b_19_6g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_12g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_32_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_8_4g
0	12640.0098	10986.9541	11336.4854	9798.4561	12247.0156	11408.5752	13809.9805	12408.6699	12507.5234	18331.9414	12400.8662	11115.2061
0.1334	13788.2285	13440.2744	13564.832	10539.3613	12891.3613	11883.8613	15263.8086	14316.6064	12573.3418	20055.1543	12534.0723	11640.3486
0.2668	15920.9414	17553.6602	15514.5498	10929.8857	13090.7061	15292.5713	16550.707	16889.2188	13837.208	20673.1055	13655.4609	12269.748
0.4003	20170.0371	22166.2285	14633.7568	11141.6289	12659.4971	17616.7812	15442.8721	17198.9043	15152.1846	20132.4531	15704.1689	12672.1504
0.5337	22283.6836	23106.5137	14844.4316	11251.0293	12596.1211	17417.6504	13149.3271	15624.3115	18400.3887	21195.3965	18116.8066	14368.2852
0.6671	21337.4141	22054.8145	15356.5137	12598.0137	12306.3613	16659.9082	12165.4443	16211.3838	20134.0781	22055.8105	18074.8926	15288.542
0.8005	18160.7051	18829.2773	14708.9795	14364.7383	11952.9219	15625.7041	12312.0811	15614.6396	18418.6602	22986.1543	17074.0234	15034.1631
0.934	16960.4453	18435.418	13689.4561	15223.1523	11363.4316	16846.248	12439.3389	15581.3721	16912.4844	19245.2344	15624.249	14540.1816
1.0674	17000.0957	17287.4102	12095.4355	14181.2207	10956.0791	17108.1289	11220.4824	16020.1953	15928.4922	18288.2715	14923.9893	14662.582
1.2008	16920.9141	16361.3896	11471.8193	14202.3838	11593.8516	16919.0508	11923.4902	17939.5605	15297.0371	16596.9316	15242.374	14019.165
1.3342	16944.2031	13995.4482	11305.251	13250.9902	10890.6055	16478.123	11755.8037	16243.1465	14736.9688	14380.25	15568.0156	13641.2295
1.4676	16676.2969	13025.3066	10864.4092	13535.7822	10646.6748	15369.9531	12157.1846	15738.5332	13801.6055	13853.9834	15094.3467	12968.9219
1.6011	17060.8516	12459.2871	10961.167	12094.3232	10579.8135	13797.8838	NaN	14398.21	13295.7715	13023.1387	13909.4629	13146.252
1.7345	15709.3115	11646.2275	11522.0049	12011.3008	10937.8408	13188.4053	NaN	14182.3652	12052.4736	NaN	13298.3584	12539.9092
1.8679	15305.2793	11334.1055	NaN	12442.127	9941.7002	12486.666	NaN	13300.7998	11797.2393	NaN	12922.2012	12328.1582
2.0013	14184.9824	11238.3262	NaN	11800.2998	NaN	12187.4785	NaN	NaN	12114.9346	NaN	12463.6494	12061.6025
2.1347	13419.2119	11413.0732	NaN	11841.2256	NaN	12637.1436	NaN	NaN	12097.7646	NaN	12375.7646	12550.8438
2.2682	13365.0635	NaN	NaN	12107.582	NaN	12926.4668	NaN	NaN	11454.0039	NaN	NaN	12779.4619
2.4016	NaN	NaN	NaN	11777.9229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12135.376
2.535	NaN	NaN	NaN	11289.8115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
