x	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_11_5g	Y_20181208_15794_12_14g	Y_20181208_15794_26_15g	Y_20181208_15794_27_6g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_30_8g	Y_20181208_15794_5_6g	Y_20181208_15794_7_14g	Y_20181208_15794b_2_3g
0	13420.9248	12198.5088	10565.9834	12938.8408	11534.8838	11979.7285	11382.624	11783.5938	12974.4932	11437.0908	10069.2207	12717.3174	11815.127
0.1334	14926.5381	13423.0811	11459.8125	13074.3623	12213.2637	12001.209	12657.1855	12650.2197	15393.123	12292.1729	10795.9648	13816.417	11598.5068
0.2668	16459.6191	15213.1865	13368.4766	13593.459	13634.8281	12923.8252	13411.1689	13900.5176	18353.7422	14509.3838	11413.7637	15866.3037	11134.877
0.4003	16179.668	16406.5742	14571.1582	14805.9824	19276.4238	14246.2178	15347.6338	15556.3975	17739.6328	14809.1836	11348.5156	18331.3379	11701.1729
0.5337	13937.0088	15148.9014	15428.3936	14787.7656	20949.332	15557.8037	18418.4863	17061.7109	16322.8184	13052.1426	12736.3086	18984	11865.9199
0.6671	12673.6826	12943.6895	14729.0938	14712.1396	19810.5332	18215.7871	17568.9746	16013.7764	15056.3174	13561.0645	15330.1719	17502.3945	11820.877
0.8005	11749.1172	12237.1787	13856.8945	15859.1162	16844.0195	18470.5703	14097.8945	13012.5615	13560.7061	13107.9043	17590.0371	16669.6152	12004.0283
0.934	11238.2891	13222.4805	13214.8682	14680.2705	16952.5508	16745.4102	12788.7158	12796.5303	13264.291	13672.4404	17460.8105	15421.4766	12552.9502
1.0674	11584.1191	14038.2256	12649.8232	14238.1738	15093.3779	14588.8691	12521.7305	12888.8018	13260.5791	13153.3545	17401.9961	15521.46	11627.6387
1.2008	12667.3594	13461.9033	12785.249	12833.084	14033.4229	13869.2227	12464.3691	12583.7764	13624.0488	12672.6777	16871.7793	15035.0967	10864.9404
1.3342	13034.0674	13813.2852	11900.2109	11423.5479	14566.3311	13516.4336	11835.6201	12014.8799	13090.9316	12566.1416	15745.6289	14842.9043	11231.1387
1.4676	13355.2422	13460.5371	12077.9912	10995.9854	16263.2295	12667.1406	11664.0547	11554.6445	12184.2334	11282.1699	15558.7646	13839.0186	10803.6562
1.6011	13807.2588	12841.5322	12168.5264	10775.0801	15299.4707	12007.7881	12604.75	11289.4326	12126.7422	11547.5312	15210.4561	13975.6484	10033.3877
