x	Y_20181208_15694b_1_3g	Y_20181208_15694b_2_1g	Y_20181208_15694b_3_4g
0	9328.5996	10308.1484	11121.4355
0.1334	9656.8447	12907.1641	11822.4297
0.2668	10727.5576	14435.9961	13932.9746
0.4003	12403.6514	13292.8047	15377.3193
0.5337	12558.9795	12292.8545	15621.3428
0.6671	12193.5566	12437.0889	14914.4395
0.8005	12272.918	12111.2646	14647.1699
0.934	12137.0146	11539.2158	13330.1562
1.0674	12221.2744	11053.0586	13181.3037
1.2008	12216.7021	11538.2305	12569.4336
1.3342	12521.6172	11173.1279	12392.3281
1.4676	13089.8506	11388.1201	12298.2988
1.6011	13229.5254	13116.5713	12224.5371
1.7345	12728.6035	13264.1104	12488.0469
1.8679	12452.6777	14702.7178	12264.75
2.0013	12231.5342	15096.0186	11799.5664
2.1347	12050.0859	14463.4209	12028.9893
2.2682	11294.4795	13609.0938	11954.2783
2.4016	11186.3232	13453.7842	11614.4092
2.535	11448.8896	12654.5986	12154.582
2.6684	11931.2197	12338.415	13874.3965
2.8019	11479.0791	12438.5234	13472.502
2.9353	11405.3926	11886.5928	12988.5342
3.0687	11685.2061	10964.251	12986.7061
3.2021	11304.4404	10305.5977	12432.8506
3.3355	10847.5713	10508.6953	12105.5244
3.469	10637.8145	10751.0732	12468.9521
3.6024	10602.3594	10580.8506	11930.9844
3.7358	10537.6318	10667.1133	11845.6816
3.8692	10800.0264	10507.3096	12534.2363
4.0027	NaN	NaN	12621.2568
4.1361	NaN	NaN	12339.9209
