x	Y_20180212_14590_13_1g	Y_20180212_14590b_20_3g
0	14231.506	13576.913
0.1334	14996.176	14663.073
0.2668	15060.924	15904.816
0.4003	16493.793	19145.766
0.5337	19217.967	19915.338
0.6671	17824.836	20491.914
0.8005	16916.848	18491.055
0.934	17741.33	17851.084
1.0674	16637.984	18141.566
1.2008	16629.725	18744.516
1.3342	16296.954	19680.256
1.4676	14793.523	20309.09
1.6011	16000.358	20293.973
1.7345	18146.258	21261.229
1.8679	17982.926	21789.375
2.0013	18977.104	23442.812
2.1348	21004.064	20981.857
2.2682	23478.115	18473.977
2.4016	27189.848	16760.02
2.535	31078.74	16443.846
2.6684	33311.812	16726.688
2.8019	28847.141	NaN
2.9353	NaN	NaN
3.0687	NaN	NaN
3.2021	NaN	NaN
