x	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g	Y_20181208_15100_19_4g	Y_20181208_15100_26_3g
0	30119.7676	28194.4902	28263.6113	28594.6758	30662.3398	28714.3125
0.1334	29149.2441	26534.2871	29062.5078	28118.5898	28646.8613	28301.8457
0.2668	30799.8223	27748.1953	27553.4609	29618.916	28481.8066	28372.7266
0.4003	30302.7148	28559.7969	27619.9824	29554.709	28900.043	28578.4395
0.5337	30779.3203	28228.5977	29383.9199	31673.0938	28523.9883	28414.7578
0.6671	30916.7754	28735.4004	29069.3086	30955.9297	28796.2324	29539.4648
0.8005	30759.5391	28852.4941	30585.0039	31866.2773	29383.8711	28478.9023
0.934	31863.498	29110.0918	30798.6484	32201.7598	28432.2812	29463.5137
1.0674	31301.1309	30862.0605	29570.3672	31535.2129	28127.1484	29738.7598
1.2008	33623.2852	31456.5137	30433.3066	31628.7246	27648.1113	28971.9863
1.3342	33380.0234	32717.2891	31516.8184	31484.3672	28718.2227	28870.5977
1.4676	33555.7734	32605.752	32129.7148	29486.6426	29647.002	29578.8223
1.6011	33430.6016	32670.1797	33422.6562	29283.334	29877.0957	29499.627
1.7345	33374.4531	33850.7344	31757.4121	30053.75	34850.75	28945.9551
1.8679	34264.2266	34526.668	32096.793	32483.9004	42831.2031	30527.0645
2.0013	37701.9141	35788.5742	36855.3984	36614.4141	52257.1055	35211.418
2.1347	40877.5547	40907.2617	44587.4922	41868.2461	54757.6719	41797.8086
2.2682	48964.6211	54755.7539	59127.25	55103.1875	43331.1133	47095.6523
2.4016	65033.9258	65006.0508	62173.0742	70319.5312	33809.4883	45785.2539
2.535	65614.0156	50326.5	51066.082	61820.8789	31021.9961	37145.5273
2.6684	51595.2969	37033.5547	38736.4727	46162.9805	29907.373	33404.3789
2.8019	40100.9648	34127.2422	34312.9922	35977.1602	NaN	32141.168
2.9353	36174.7266	31386.5469	32827.1211	NaN	NaN	31140.8105
3.0687	32963.6602	29758.1504	32657.793	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
