x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_33_12g	Y_20181208_15692_33_3g	Y_20181208_15692_36_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_2g	Y_20181208_15692_41_6g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_9g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_5g
0	13155.3965	10070.1709	12153.5996	11601.4629	13882.8398	11834.8945	12015.8848	10234.7412	9407.4795	11801.0254	12110.1553	11638.7891	11277.8027	9611.6387	13005.9473	10252.249	11504.7842	13785.4648	10881.2393	12761.5762	11570.4727	10548.5215	8895.3994	12490.502	11686.0557	11414.585
0.1334	13975.7041	10060.4443	13368.4785	12540.9697	15411.8965	13176.2686	12327.2471	10561.835	9598.2031	11545.5518	12624.335	11708.0869	12250.2178	10110.8555	13385.3555	11672.6846	11917.1201	14650.9414	11215.0986	12648.0068	11794.0459	11433.0742	9626.25	13408.7305	12340.5635	12729.498
0.2668	15042.6787	10318.5381	15468.6348	15365.8799	17956.377	15338.4287	12476.3652	11448.5791	9807.7754	11808.418	12754.9453	12124.8389	14032.9238	11152.4512	16265.8584	15684.3037	12306.8984	16025.8135	11137.2803	13511.5283	12714.8379	13241.249	10349.7344	14843.8574	13682.9404	14480.4834
0.4003	14831.2236	11382.7812	19124.0586	16718.1836	20227.9609	16252.0234	12352.5791	12847.3359	11555.6055	11452.9346	12957.1562	15540.7295	16448.6465	12680.0635	20126.291	20597.4922	13480.4795	16013.7607	13291.8955	16049.4766	14913.2041	14973.3652	11056.3604	18050.332	16907.2109	16704.0059
0.5337	15367.541	12247.3994	20392.2871	16336.2129	17791.4141	15717.54	13053.2158	14860.6709	14346.2861	11729.6553	12957.2734	18185.168	16559.7207	14577.7012	21095.7168	22077.0723	16402.0898	14857.4736	15409.0508	17610.2793	17614.4102	18947.8789	13570.666	21347.7188	18025.627	19229.6465
0.6671	14898.8887	14336.459	18765.1309	14263.9512	15671.6611	15642.0781	14464.6934	15574.6299	19355.4238	12460.5547	15625.6426	18148.582	15756.2246	18387.3945	19609.2891	18293.7715	18270.5625	13530.7129	18134.7441	17136.4219	20410.084	21121.0273	19003.418	19937.5547	17094.1758	20208.5508
0.8005	13451.5898	19916.6426	16929.0195	13031.0459	16466.3652	15587.3516	14083.2539	13321.7871	19684.6406	13078.0469	19319.1914	16413.2773	13906.9521	18486.498	18849.4141	16202.5049	17304.2539	13085.4727	16316.4453	14617.0479	17735.9219	20132.9199	19692.3867	19279.248	14494.7852	18524.0879
0.934	14277.5029	25282.9551	14707.2236	11656.4102	15836.7998	14908.5674	12852.9453	12493.2832	16296.2295	13242.1152	19243.3262	15661.2861	13150.9502	16105.4473	18376.6816	16224.4531	14411.1924	13113.0908	14099.375	13526.7432	15720.4844	16358.2783	15535.4453	18490.5879	13154.5957	17567.2637
1.0674	15661.0537	22856.2461	13380.3193	11610.4629	16149.8379	15167.0781	12657.1035	12851.3535	15499.3984	12871	18251.1875	15327.7119	12279.9717	15724.4668	17941.2363	15776.292	13540.2266	13200.958	12796.248	13730.5898	15430.2812	15953.793	13079.5928	16557.0078	12553.2539	17277.877
1.2008	16405.6777	17669.5039	12828.1533	11135.8154	15567.9414	15535.5566	12150.0879	13457.0342	14653.7988	12121.7891	16593.0078	14183.5576	12270.9844	15334.666	16414.1621	15464.127	13622.5059	13187.2012	13137.7168	13754.5996	15236.4912	14724.9854	12434.3623	15779.1758	12391.9883	17869.3086
1.3342	16190.5332	15599.2256	13337.4736	11346.2012	15286.541	15630.2432	12167.8213	13347.6025	14056.7129	12503.7129	17726.4219	14071.4912	12732.6416	15119.0977	15520.8818	15829.3291	13037.335	11944.957	15017.4199	13321.3428	13547.4971	15069.6553	12891.2607	16290.5361	11696.2852	18508.8516
1.4676	15556.2012	14776.416	12796.8926	11198.6504	15621.1426	15153.5156	12017.7402	14078.0361	14556.2549	12659.9844	17462.3555	13266.6943	12515.8818	14976.3516	14036.4072	15142.0352	12535.5322	11379.1279	14111.8779	13071.1387	12480.0557	15435.9492	12757.1904	15809.751	11154.0479	17553.6914
1.6011	15585.7148	15150.9893	12330.5	11477.8604	14910.8281	14858.8242	12132.2822	13101.749	13737.1143	12873.8408	17059.9531	12268.6084	11447.8594	15331.1543	12486.0889	15782.1738	13284.5908	11025.9678	13548.1953	13077.958	12232.8135	15011.0547	11594.9072	15347.1982	12032.7422	17210.2539
1.7345	15940.6826	15220.9268	12468.8418	11876.252	13914.4365	14177.7139	11784.999	13541.1836	14955.1982	12190.9258	15745.2354	12244.0361	12129.0244	15388.7949	11828.5127	15701.209	13131.7041	11501.9092	14681.9346	13812.2891	12614.1064	15164.3037	13166.8818	17304.291	12206.0303	18473.8359
1.8679	13697.3262	16245.9316	12706.0664	12493.4551	13737.9004	15190.4102	11791.1787	13550.6914	15575.9492	11575.0732	15471.0986	12669.9141	13127.4814	15786.1025	11562.1104	15312.6064	13531.8945	12357.1943	14817.8467	14050.7197	13164.2744	15232.46	13662.4072	18678.2188	12281.29	16509.6426
2.0013	12711.4336	17150.4688	13045.8516	12831.3457	13909.1025	14068.46	11951.0635	12995.8291	16312.585	10954.8379	13791.3838	13177.1064	12919.9004	14318.7939	11559.7275	15072.9629	13248.0732	12502.8096	13858.9385	13887.708	13473.54	15256.9023	13855.0508	17647.8438	12740.8809	16931.6367
2.1347	12285.4873	17526.166	13530.5	12290.8477	13409.4268	13626.7812	12273.4512	13218.5176	15544.7236	11155.3721	13905.8018	13778.0605	13132.75	12963.8428	11334.666	13600.5879	12322.9922	12112.6182	12985.5254	14027.8018	13058.1758	14983.501	14773.2559	15314.5205	12543.958	16168.7939
2.2682	12961.3926	16721.5059	12842.5684	12490.4492	12965.9131	13236.2471	11807.2266	13388.6094	15481.6816	11044.0332	12878.0898	14149.0342	12024.917	12261.3574	11465.6543	12454.7051	12008.1875	11659.5889	12815.1934	13556.4775	12391.5254	14563.0508	14471.1777	13177.4648	12059.6504	15701.3018
2.4016	12924.7559	15101.4336	11812.7324	12021.0859	12382.1582	13041.0586	11703.5947	12283.3652	15705.5039	10645.75	12863.2383	14397.582	12150.9785	11374.0713	12131.7656	12478.6943	11776.373	11873.6777	12947.3047	13346.2129	11528.4121	12911.8281	14312.7451	12308.7402	12217.0244	14092.2969
2.535	12193.2207	13939.5498	11113.8613	11704.7422	12222.3154	13023.4414	11252.3623	12096.2852	15076.5771	10297.46	12584.3145	13642.2051	11690.7646	11128.2842	12303.0205	12302.1865	11382.4707	11701.0547	12246.8926	12811.8965	11880.0498	11937.7109	14773.3496	12477.9473	12336.7295	12650.0918
2.6684	11716.0518	13463.8887	10749.3682	11385.3105	11988.6592	13336.9053	NaN	12056.5137	14278.4775	10568.3027	12288.9502	13077.416	11438.623	10951.6611	12685.5645	11660.6572	11723.6836	11661.623	11403.0039	13039.5029	11486.9287	11678.2236	13859.4648	12004.1367	12048.8496	12432.8145
2.8019	12098.6191	13455.4424	10342.8672	11866.6064	12114.9668	13205.0029	NaN	11964.4023	13739.6172	NaN	11913.7041	12552.4248	11091.0059	10595.2324	13496.9062	11628.1973	11228.9922	NaN	11574.5352	12880.7344	11538.2822	11837.1025	13304.917	11739.0049	12547.5615	12156.9033
2.9353	12407.0703	12690.2764	10720.1426	NaN	12011.2178	12663.082	NaN	11282.8281	14434.4717	NaN	NaN	11748.8838	11435.2061	10898.0137	12827.7959	12229.2559	11585.8643	NaN	11818.123	12815.7852	11904.4883	11944.793	13376.9072	11724.3564	12702.7773	12050.7783
3.0687	NaN	13098.7803	9895.9951	NaN	12197.2373	12848.0176	NaN	11320.0908	14729.6299	NaN	NaN	11779.0166	11543.3545	11231.5879	12940.7129	12466.2051	11797.3799	NaN	11738.7207	13533.8496	12021.9277	NaN	13798.1943	12656.0117	NaN	12026.7578
3.2021	NaN	12960.8008	10040.5859	NaN	NaN	NaN	NaN	10833.2441	14145.5195	NaN	NaN	NaN	NaN	11084.8242	NaN	NaN	NaN	NaN	11430.041	13314.1553	11834.4346	NaN	13028.1758	12189.1562	NaN	12790.6689
3.3355	NaN	12898.4561	NaN	NaN	NaN	NaN	NaN	10832.0557	13328.585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12090.0996	NaN	NaN	NaN	13472.1416	12597.3037	NaN	12513.2998
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13286.041	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12645.4678	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13448.499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13474.5117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
