x	Y_20181208_15100_14_2g	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g
0	11289.9707	15538.7588	14478.3555	10777.8564	14067.5908	13766.5234
0.1334	12985.9395	16808.6133	14569.7812	13298.6055	15550.502	15224.8086
0.2668	15327.1406	18295.3262	15023.7002	15291.0254	17244.2949	16120.7959
0.4003	15831.3477	19094.5781	17393.3047	16304.1279	19026.4492	20157.5215
0.5337	15322.8555	18488.5664	22171.3613	15352.8525	18578.4258	23130.1328
0.6671	14144.0977	15785.6074	24989.7246	14561.7656	16414.877	22684.3047
0.8005	14662.0215	14733.7627	23970.5137	12793.2617	15617.043	21103.0898
0.934	14672.6787	13643.2656	22624.9258	13005.5342	14318.9346	20292.3574
1.0674	14993.915	13200.6104	22019.8359	13497.3428	13712.4434	18980.5547
1.2008	14693.2646	13371.1729	22814.7461	14274.3037	14714.1143	17241.3809
1.3342	14240.1816	12983.2012	19911.2285	14785.7402	14894.5605	15022.1484
1.4676	15389.7324	13201.124	18096.9453	14211.5879	14541.2363	13741.6562
1.6011	14301.4756	12091.9414	17041.8047	12369.8408	15010.3076	12430.0215
1.7345	12916.8672	11714.4268	14584.1631	12500.4912	15460.8271	13008.1523
1.8679	12964.0977	12339.6279	13747.1104	12414.1006	13976.3789	12309.9727
2.0013	12704.9619	11288.0996	13912.1758	12561.7041	13465.1621	11614.6445
2.1347	12749.0312	NaN	13451.1221	NaN	11741.6113	NaN
2.2682	11926.5479	NaN	13084.4619	NaN	NaN	NaN
2.4016	NaN	NaN	12647.3047	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
