x	Y_20180224_15100_19_15g	Y_20180224_15100_25_3g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_29_8g	Y_20180224_15100_4_11_2g
0	15270.181	12591.31	15032.569	14156.863	14033.941	13210.5
0.1334	16876.584	14811.325	16212.267	15002.374	15392.881	14413.543
0.2668	18735.869	15853.45	18429.02	15042.303	17730.145	15929.321
0.4003	21607.898	18242.799	22513.934	17147.549	22854.365	17777.195
0.5337	22390.119	20679.883	25752.92	18275.701	27018.043	22054.42
0.6671	20752.701	20635.893	25129.389	18975.412	25475.793	26054.717
0.8005	21306.16	19383.615	22648.416	18348.459	21742.861	25930.58
0.934	21133.686	17460.348	21446.25	17720.898	20891.877	19419.732
1.0674	21028.695	17834.27	20182.283	16987.418	21923.494	16749.197
1.2008	19875.633	17421.033	19081.182	16942.541	22511.43	15620.076
1.3342	18482.02	16729.59	17752.744	15531.51	21609.303	17249.098
1.4676	20240.924	16895.727	15670.773	14510.444	23016.053	15253.779
1.6011	21988.117	16338.964	15521.284	15114.159	22951.039	15939.153
1.7345	20862.74	15669.278	15470.452	14572.45	24034.371	16987.838
1.8679	19398.094	16464.961	16152.011	14810.154	23871.811	17152.254
2.0013	20446.764	17279.74	15786.3	14646.133	22069.309	17761.906
2.1348	21271.643	18346.846	16220.812	15277.007	19220.469	18101.148
2.2682	20775.252	18236.508	15295.483	15338.604	17182.635	17689.693
2.4016	18860.037	17064.365	14721.979	15929.071	17897.328	17683.324
2.535	17556.65	17512.48	14757.252	16877.334	18299.611	17274.193
2.6684	16048.014	17084.266	14496.631	15958.36	16662.264	16867.801
2.8019	14933.24	16024.58	14115.315	16113.988	15837.052	15683.792
2.9353	14975.472	16297.686	15268.998	15269.396	15564.038	16422.84
3.0687	14445.529	15483.243	15107.281	15389.295	15225.571	16785.914
3.2021	14974.123	14242.5	15195.144	NaN	15496.265	15616.111
3.3356	NaN	NaN	NaN	NaN	15222.995	17071.117
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
