x	Y_20180212_14590b_16_2g	Y_20180212_14590b_28_3g
0	39801.941	32177.17
0.1334	38142.168	33557.121
0.2668	38149.438	34321.383
0.4003	37724.383	35183.141
0.5337	37140.523	34691.387
0.6671	38196.234	36215.531
0.8005	39144.094	37932.398
0.934	40096.926	36984.125
1.0674	39936.543	36545.988
1.2008	40890.848	36627.141
1.3342	42970.625	38142.145
1.4676	49141.172	45172.219
1.6011	65079.602	59304.754
1.7345	98106.695	69242.523
1.8679	111732.695	60367.418
2.0013	88110.555	48743.117
2.1348	59072.578	41279.922
2.2682	47243.039	NaN
2.4016	NaN	NaN
2.535	NaN	NaN
2.6684	NaN	NaN
2.8019	NaN	NaN
2.9353	NaN	NaN
3.0687	NaN	NaN
3.2021	NaN	NaN
