x	Y_20180212_14590b_18_2g	Y_20180212_14590b_20_3g	Y_20180212_14590b_22_1g	Y_20180212_14590b_27_3g	Y_20180212_14590b_28_3g	Y_20180212_14590b_31_5g	Y_20180212_14590b_33_6g	Y_20180212_14590b_44_1g	Y_20180212_14590b_6_4g	Y_20180212_14590b_7_8g
0	14331.472	11345.854	12137.101	11540.413	11264.651	13645.13	11144.088	12501.659	15592.962	14977.345
0.1334	15171.955	12497.243	14327.086	12301.283	11643.364	15448.2	12185.391	13649.846	16932.336	15807.729
0.2668	17792.59	13921.129	18618.502	14207.428	13073.996	20374.104	12642.018	15065.151	20069.268	19325.998
0.4003	21695.15	17834.287	24769.793	17531.283	17364.449	25255.828	16453.426	19545.039	27175.803	25146.061
0.5337	25424.35	25653.822	27219.91	21933.262	23159.16	24693.916	22015.75	28272.619	28036.842	34495.117
0.6671	25203.896	25126.086	23752.869	21565.615	25855.523	20815.307	24854.293	34764.789	24034.555	38365.605
0.8005	24676.686	21469.264	19131.355	18944.084	24679.354	18787.35	21706.268	31734.271	21018.24	34410.023
0.934	23823.816	20188.758	17972.439	16519.793	23527.928	17817.383	18847.711	25918.09	19678.861	27884.625
1.0674	21956.908	18378.633	17929.846	15995.324	21651.422	16712.369	17092.373	24512.949	18309.496	23674.219
1.2008	19558.008	17292.059	19353.816	15148.722	20989.16	15913.236	17775.238	21585.354	17213.426	21269.252
1.3342	17885.002	16410.732	18797.742	14658.915	19822.875	15026.97	16683.461	20282.672	15570.749	19356.508
1.4676	18285.336	15363.288	16704.527	15174.727	20565.863	16148.643	16292.592	18480.781	16090.549	18942.527
1.6011	18288.584	15102.913	15979.217	15320.763	18607.021	16307.988	14843.272	18181.957	15527.984	17223.424
1.7345	16764.859	14260.141	12936.3	15704.544	18403.904	16906.717	13830.476	21254.652	15672.217	16922.02
1.8679	14964.091	14618.227	13939.511	14827.705	18974.232	16162.712	13355.816	20469.846	16236.665	17566.703
2.0013	15265.8	14491.422	12732.6	14620.372	19497.85	14843.632	13656.245	19615.641	15742.178	17745.719
2.1348	15456.779	15562.604	13341.973	13549.283	18945.17	15248.777	12944.129	17399.594	15917.026	15674.087
2.2682	16090.068	16115.688	12829.361	14147.595	19144.871	16601.83	13740.896	15102.312	15909.982	14044.734
2.4016	17459.867	16668.014	13278.056	13767.14	18126.488	17806.645	13794.316	14220.651	17015.189	15159.196
2.535	17965.68	16073.381	13492.019	15579.677	15909.466	20315.428	13141.239	14528.287	17116.529	16939.693
2.6684	18532.322	17020.586	15183.39	17012.273	15847.526	25325.887	14505.772	14200.333	17575.705	18143.902
2.8019	21227.992	18618.711	17531.582	19206.832	14398.372	30311.021	15399.267	15226.05	18286.373	22911.18
2.9353	24763.926	22378.303	20836.645	22359.512	14566.999	31514.809	16084.161	17929.945	16916.928	28814.672
3.0687	28774.707	23708.639	NaN	25790.678	14365.376	29436.25	17282.039	21532.02	16597.199	33153.57
3.2021	NaN	21487.764	NaN	28806.479	14503.801	26371.199	16574.699	27349.65	16402.111	NaN
3.3356	NaN	20781.98	NaN	NaN	13818.652	NaN	16516.637	30443.275	NaN	NaN
3.469	NaN	NaN	NaN	NaN	13755.338	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
