x	Y_20181208_15100_1_1g	Y_20181208_15100_13_8g	Y_20181208_15100_16_4g	Y_20181208_15100_3_3g	Y_20181208_15100_6_2g	Y_20181208_15100_7_5g	Y_20181208_15100b_11_4g	Y_20181208_15100b_14_5g	Y_20181208_15100b_17_5g	Y_20181208_15100b_17_8g	Y_20181208_15100b_18_10g	Y_20181208_15100b_20_3g	Y_20181208_15100b_20_4g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_9g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_9g	Y_20181208_15100b_26_10g	Y_20181208_15100b_28_2g	Y_20181208_15100b_3_3g	Y_20181208_15100b_30_1g	Y_20181208_15100b_32_6g
0	15469.0332	14037.7168	12235.834	12091.0693	15764.9375	12047.9199	13058.3691	12185.7129	12790.6631	12079.9648	12368.5762	13805.9932	13594.1475	15551.665	11032.6416	11115.0391	12672.5098	12431.8281	12416.6104	11403.667	13287.333	12289.1113	12904.0742	12147.2236
0.1334	18168.3066	14700.7852	12066.957	13606.7402	19487.8086	13016.1211	13183.9492	13290.5234	13559.4561	13266.0586	12815.1357	13664.5166	14901.1631	16455.418	11217.8262	11544.2051	12849.0078	12992.0723	14682.5684	11822.3623	14755.2959	14189.3584	13615.0371	12345.6807
0.2668	21904.7109	15923.2725	13276	16463.9277	23327.0391	14483.9473	13856.2354	14814.9004	14898.8096	15396.915	12792.4443	14224.5117	16199.9951	16051.5117	11158.1182	14641.415	14857.4238	15842.1299	16592.7793	12944.1348	18206.1426	17315.875	15646.2607	12714.9951
0.4003	21991.8066	19393.8828	14474.5391	20153.5742	23831.9805	16754.2031	14856.3311	17562.834	19416.9453	17960.2188	13465.0908	16004.9648	16724.7168	14127.2725	12910.4805	17919.4023	17631.3223	17244.7715	17447.3672	14386.168	22542.0469	20119.8887	17024.1328	14700.5732
0.5337	19269.6113	20508.793	16405.332	18005.3633	21052.2402	15910.2842	16316.1934	17197.0801	23327.2266	18560.9395	15239.6172	18561.3652	13884.6826	13020.3389	14211.8574	19670.8047	18044.4902	16987.1074	14521.7803	15701.6152	21672.3418	19037.2383	16993.8145	18141.1211
0.6671	15998.1992	20257.7539	16140.2998	16989.5508	18822.2129	13380.0684	16890.8125	13900.3457	20666.2773	16642.3066	16440.4902	18897.2266	12675.6123	13405.2871	14689.458	18831.0488	15166.9297	16103.8057	12504.2861	14413.8486	16549.7207	16111.832	15202.4912	18877.3633
0.8005	14999.0283	18817.7305	15347.4072	17213.459	17495.1504	12887.2822	16626.6992	12301.1533	15820.0811	16759.623	18864.5156	17120.1582	11794.6387	13518.5508	14444.2969	16901.3848	13081.249	14444.7012	12373.5449	14189.8584	14054.1621	15084.0986	13589.2383	17036.0625
0.934	13755.2148	17090.9473	15085.6797	16197.9541	16843.5195	12191.6348	14442.1357	12844.9717	14173.9385	17655.2031	19517.5703	15537.4863	11427.3682	16252.8232	14226.0684	16993.1094	11765.2412	14922.5557	12672.0332	13590.0732	13353.7959	15916.6523	13669.1943	15785.2578
1.0674	14045.3398	14978.1982	14700.5449	13946.1152	16396.7988	12126.5576	12742.5781	12512.3252	13721.3652	17356.3652	17184.8672	14181.2314	11346.3477	17717.5742	13604.3535	16481.5215	12054.1357	14279.4521	13190.3369	13662.4268	12522.7363	16571.0195	13340.4004	14384.8691
1.2008	14236.6143	14565.2891	14960.877	13716.1123	15284.1621	11398.9531	12138.0566	13218.29	13961.0215	16183.21	14993.999	14388.8994	11683.543	17487.1367	14223.376	14460.2822	12528.2842	13816.4746	14181.54	13091.1162	12585.085	16583.8809	13567.9883	13751.457
