x	Y_20181208_15794_1_10g	Y_20181208_15794_1_11g	Y_20181208_15794_1_18g	Y_20181208_15794_1_1g	Y_20181208_15794_1_20g	Y_20181208_15794_1_21g	Y_20181208_15794_1_2g	Y_20181208_15794_10_12g	Y_20181208_15794_10_18g	Y_20181208_15794_10_8g	Y_20181208_15794_11_3g	Y_20181208_15794_12_3g	Y_20181208_15794_12_7g	Y_20181208_15794_12_9g	Y_20181208_15794_13_1g	Y_20181208_15794_13_5g	Y_20181208_15794_14_2g	Y_20181208_15794_14_4g	Y_20181208_15794_14_7g	Y_20181208_15794_15_1g	Y_20181208_15794_15_3g	Y_20181208_15794_15_6g	Y_20181208_15794_16_13g	Y_20181208_15794_17_3g	Y_20181208_15794_18_2g	Y_20181208_15794_18_3g	Y_20181208_15794_2_4g	Y_20181208_15794_2_5g	Y_20181208_15794_2_6g	Y_20181208_15794_2_7g	Y_20181208_15794_2_9g	Y_20181208_15794_20_7g	Y_20181208_15794_21_11g	Y_20181208_15794_21_1g	Y_20181208_15794_21_8g	Y_20181208_15794_22_4g	Y_20181208_15794_22_6g	Y_20181208_15794_23_14g	Y_20181208_15794_23_16g	Y_20181208_15794_23_1g	Y_20181208_15794_23_20g	Y_20181208_15794_23_2g	Y_20181208_15794_23_3g	Y_20181208_15794_23_7g	Y_20181208_15794_23_9g	Y_20181208_15794_24_15g	Y_20181208_15794_24_8g	Y_20181208_15794_25_5g	Y_20181208_15794_25_7g	Y_20181208_15794_26_11g	Y_20181208_15794_26_12g	Y_20181208_15794_26_14g	Y_20181208_15794_26_1g	Y_20181208_15794_26_3g	Y_20181208_15794_27_10g	Y_20181208_15794_27_7g	Y_20181208_15794_29_10g	Y_20181208_15794_29_1g	Y_20181208_15794_3_13g	Y_20181208_15794_3_7g	Y_20181208_15794_4_14g	Y_20181208_15794_4_18g	Y_20181208_15794_4_2g	Y_20181208_15794_4_8g	Y_20181208_15794_5_13g	Y_20181208_15794_5_17g	Y_20181208_15794_5_18g	Y_20181208_15794_5_20g	Y_20181208_15794_5_3g	Y_20181208_15794_5_7g	Y_20181208_15794_5_8g	Y_20181208_15794_6_22g	Y_20181208_15794_6_3g	Y_20181208_15794_6_4g	Y_20181208_15794_6_7g	Y_20181208_15794_6_8g	Y_20181208_15794_7_17g	Y_20181208_15794_7_1g	Y_20181208_15794_8_10g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_8_2g	Y_20181208_15794_8_4g	Y_20181208_15794_9_5g	Y_20181208_15794_9_8g	Y_20181208_15794_9_9g	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_3g	Y_20181208_15794b_1_6g	Y_20181208_15794b_10_5g	Y_20181208_15794b_2_6g	Y_20181208_15794b_3_2g	Y_20181208_15794b_6_4g	Y_20181208_15794b_6_6g	Y_20181208_15794b_6_8g
0	32781.7773	29668.0039	31959.2363	30919.6211	31105.5762	29150.6523	33871.6602	31105.6934	28024.3398	28760.7012	28322.7754	30198.2812	25755.9551	29494.1738	25006.2324	34548.1211	28891.3711	28221.5977	28625.3262	27559.4434	29763.5332	31882.3633	29499.3477	31839.9258	27417.4707	31038.7988	26002.6348	32476.0352	32405.2422	28125.7344	28635.832	28480.2461	29094.0762	24781.0801	31459.0547	26457.9023	30309.8203	29846.8125	31588.7422	33394.6719	28692.3398	30168.3945	31266.6973	25192.8262	25427.9062	23939.6953	25328.9824	31579.082	29391.4512	27006.0684	27886.8281	32531.9609	26882.707	28605.625	31786.1152	30593.4609	31022.2207	30130.498	24586.3691	30491.1406	29996.4492	32342.2539	27092.3477	28702.3438	25171.7871	29275.8652	28545.1992	30502.2773	29786.1973	31776.1836	30370.3496	30651.7988	29777.4941	30693.3535	28908.0078	26283.2754	32025.3242	26647.8066	29953.3047	30455.3594	31074.2246	33196.2227	31087.8457	26800.6074	28839.1641	27755.4551	27913.877	29080.3965	32140.9355	26525.4727	27566.1367	28496.2188	29549.7363	30927.2773	25269.6289
0.1334	29528.1055	29571.0488	32182.1699	29284.5566	31348.4395	29097.3555	33472.0781	31580.1113	27872.6523	29161.9824	28573.0449	31494.9648	28216.4414	30279.7266	24852.6289	33489	28999.457	27572.3887	29498.5234	27178.998	31558.6309	32305.9043	29848.8945	31933.0449	28632.7227	31119.1777	26412.2832	33203.4219	32402.8066	27317.1074	29057.3223	27568.6387	28796.9219	24420.9531	29962.2109	26639.248	31693.5527	30249.4902	31378.4609	32862.7852	29195.6855	30501.8848	29792.3809	26136.2812	25640.0371	24003.0156	24873.4473	30280.4922	30731.0039	28071.3535	28266.002	32093.8887	27154.082	27670.0918	32494.9668	31205.209	30045.3926	30164.8125	26484.9492	31631.4395	30977.5566	32647.6133	26134.3691	28942.0723	26224.3691	28620.8477	28579.832	28692.8652	28256.7715	32840.2969	29895.9766	31618.7832	29695.6797	31555.7793	29555.8203	25282.7305	30145.5742	26201.1992	29109.1367	28897.3223	30924.0645	31042.2559	31600.5996	26456.9512	28616.7676	27535.1426	26955.5156	27929.2773	31168.4941	27116.3438	27901.1348	26333.9746	29878.8535	30612.7383	26426.7871
0.2668	31301.6934	28230.4805	32877.3125	30099.3262	29983.3906	28753.7773	32936.9922	31213.9219	28424.4551	29617.5273	28268.0801	31533.9492	26357.8047	28309.4688	24828.2109	31731.3789	29328.1719	27751.457	28476.8086	27220.0039	30596.1992	32616.1543	29246.7715	32387.3906	29052.0938	29726.8555	25366.2832	32090.168	30172.6211	27935.9277	29656.8965	28260.6055	28707.0469	23437.4473	29956.3672	27062.5977	32495.3281	29921.1719	30727.3555	31711.791	29496.0664	32511.123	29243.5352	25871.9238	24955.4473	24847.0273	25676.6582	30748.8164	31289.4297	26842.4395	27478.8945	32093.5938	27672.1484	28133.1426	32121.7598	31073.8301	29604.582	30639.6445	26216.332	31566.5586	29797.9453	32873.3945	25282.7773	31190.8809	27431.043	29518.9629	27024.7227	28459.9668	30233.8711	32115.332	31001.377	31864.9395	29939.8555	31923.9434	29990.5234	25904.3613	30703.5137	25992.9707	29643.2109	30430.7363	31366.6309	31434.3789	30345.4004	27598.5938	28373.5176	26825.5098	25991.2656	27909.3496	31019.8633	27749.9883	28693.5098	27299.6309	30664.6895	30699.4805	25820.0566
0.4003	28795.9746	28171.7109	32395.6172	29787.9199	30666.334	29758.125	33601.5	29753.5527	29380.7617	29975.7305	28105.3418	33122.9414	25068.293	29805.043	25469.8789	32988.4453	29953.3457	28832.582	29738.8594	26358.2656	29864.8281	31655.5195	29437.0215	32036.6328	28336.8086	30491.6016	25635.6895	32433.332	31211.9043	27781.2598	29695.7324	25794.332	29324.7949	23531.8008	29989.3613	25874.1562	30706.7207	30123.8008	31149.1758	32075.5586	28039.9004	31788.4785	29596.7188	25847.4512	25040.375	24748.7031	25922.8711	31761.3418	31764.7734	26185.0977	29213.8086	32016.2148	26540.1074	27518.3555	31258.6133	30162.2871	29983.668	31450.7871	26891.8223	31822.125	30502.3008	32674.9648	26619.3301	30940.4434	26570.9961	27985.0957	27868.541	30037.6523	30149.6523	32312.9043	31041.2715	29397.9805	28929.6348	29353.7109	29683.002	24736.8457	31693.4727	26320.8438	29991.4727	30075.0508	31330.3457	30685.8242	30819.0508	28883.5547	28801.3184	28447.8574	27716.2812	29390.7969	31089.2734	27667.6797	28222.5469	27387.7734	31837.0527	29686.959	24447.3711
0.5337	29385.9141	29257.6523	32998.8086	30422.4961	32003.5625	29786.6523	33887.2656	28683.8633	29363.1348	29841.1211	28279.332	31395.5293	26045.4219	30153.1465	25808.7012	31408.5176	30565.625	27961.5586	29171.0098	27177.1055	31033.7578	32105.6699	29190.123	31302.7109	29003.3145	31813.9023	26264.2891	32526.2324	32951.1719	28714.8691	29154.7715	26865.0801	30550.6895	24709.8574	31135.2422	25996.4707	30473.5762	30643.1133	30703.5332	32707.3008	28930.8867	31184.3789	29104.6934	27728.6816	25007.1836	23705.6738	26839.4375	31343.4746	31780.166	26665.9629	29103.4863	31074.375	26720.7129	27095.9609	32279.8535	32233.2754	28982.0371	30677.7422	25976.0645	31090.5703	29782.0254	31886.2285	26723.8867	30209.8379	25736.0098	28062.9805	28491.6855	30341.1621	30404.8379	30850.3535	32712.1836	30567.0176	28577.6367	30584.8086	27871.1562	25881.584	32255.2773	26919.5469	30681.7246	30889.1973	32279.9258	30898.0078	31493.8516	27726.9062	28389.7812	27686.6855	26078.6309	29840.6016	32324.5332	27130.9141	28369.6211	28778.0586	32035.7578	32123.3711	26096.6699
0.6671	30914.4316	28517.916	32919.125	29749.8223	31640.0215	30942.5234	32059.3066	31507.4961	31293.7715	28153.4434	29802.0352	30496.6309	26497.9375	30680.6191	25496.7734	33798.0547	28478.4766	28606.623	29405.0508	29201.1309	30557.2188	30418.9668	29058.334	32293.4004	29792.043	30968.1855	27422.4688	32689.9121	30206.002	28131.8672	31163.252	27139.8359	31316.0879	25581.1348	31694.9668	25511.5176	32115.3555	30415.3398	31320.5977	30811.3867	27634.3984	31191.6152	29322.9941	27116.7871	25918.5918	24988.3809	26368.3047	31921.1152	31793.7207	26910.2676	30697.6582	32021.5918	26790.2578	28135.6465	31901.6543	32420.457	28014.5273	30742.9707	26707.0469	30947.293	30544.6113	33434.793	27399.8418	29838.7207	27036.9062	29106.4629	28585.1328	30764.5293	30241.0996	31531.8613	32046.5859	30823.3555	27964.6738	30783.623	27840.7148	26533.4863	32777.6211	26825.8926	30306.168	32200.168	31508.3672	30259.5137	30996.5605	28362.3848	27455.8477	27992.6211	27013.2305	29109.459	33067.0078	28587.6328	29009.2246	28238.5684	30930.2598	32011.7012	26643.0801
0.8005	30098.3438	28911.3711	34738.582	30834.1074	31522.8457	32676.334	32102.5996	30768.7852	35137.5234	29431.9277	28645.707	31915.1699	27285.2578	30452.6016	27044.3457	30631.3535	29566.9141	28124.2246	30257.0078	27656.1328	30557.1836	31091.7969	29291.5352	31423.1758	28584.1328	31196.9316	26915.6309	31920.6289	31537.4473	27626.6191	30801.4492	28045.4844	34228.3203	26748.1094	30386.6973	25842.2168	32728.7617	31577.5469	31402.6387	31669.5977	28496.4004	30990.7832	31766.3789	28098.0176	24916.082	24150.2812	27332.2695	33585.9883	30264.7969	27418.0469	29033.2578	32238.0898	25991.1602	28137.8965	33522.2383	34266.5781	29311.1445	30829.8984	27248.7441	31213.4805	29461.7695	33984.7773	27339.8457	30308.416	27816.498	27546.2578	28256.4766	30849.5488	30400.75	32305.8301	31095.8398	29029.7383	28222.5508	29050.959	27637.9062	27073.6602	32537.4824	27624.873	29867.0684	30939.5898	33323.6523	30853.3867	29808.5293	30047.2031	28711.416	27343.334	27112.291	28285.4004	33475.7812	30329.1484	29001.3887	28192.1777	30782.0957	34409.4492	26315.8652
0.934	30425.3867	29173.1445	36537.3203	32103.1191	33982.5781	36328.1094	32240.4941	30210.2207	39485.2422	29376.5156	27647.7441	32906.8438	26999.8672	30645.957	26019.6641	33019.4336	29311.6152	27615.7773	30193.9785	27679.5215	31842.8086	31725.7051	28353.4238	31321.3047	29589.6992	32151.1484	27638.5137	32921.5078	30760.6582	29262.0527	31343.416	28622.6562	38343.2383	32278.4316	31445.8496	26414.209	34691.2266	32994.5	31494.9941	33556.9375	30320.8789	31674.8867	31056.0117	27098.6152	25409.3945	24174.0547	26772.3418	36234.375	31875.0488	28058.1328	28950.0195	32106.4434	25935.3965	27984.8008	33467.5664	33160.5859	30271.4473	32031.3027	27637.4805	30424.4453	30176.4883	34698.3203	27059.2129	32258.2988	28472.6523	27832.748	29255.7988	30962.8027	29450.123	32122.9355	31951.2852	30088.0664	28558.6914	30085.2539	27789.5879	26573.0898	35164.332	27926.5898	29666.8594	31782.5371	32719.3672	33119.2461	30955.5781	32741.4883	30020.2637	28177.7715	26862.7227	28733.5391	34737.2812	28358.9043	29864.5469	28160.4375	32380.3418	39184.957	25633.1914
1.0674	29872.2734	30862.8496	39785.5352	34148.3008	36345.4258	47559.8516	32942.7539	30748.5195	50128.7656	29327.8477	28529.2129	35189.2734	26866.916	33232.1562	27925.1973	32624.7324	28906.5605	28566.5508	32726.7305	27670.623	31077.0879	32938.3633	27557.9863	32224.0449	30391.8691	32979.293	27548.002	32085.7246	30433.248	29307.918	32330.6719	29747.3574	46077.2109	40535.6133	34833.6055	28308.9453	35751.3164	39551.5234	32579.2285	36705.9219	29682.3965	31634.5586	31391.2031	26020.9336	26037.5176	23906.2891	27842.7617	39927.9922	32537.7031	30206.3379	28741.1367	32350.5391	27092.123	28872.2578	35633.1602	35211.293	33805.0664	32070.5117	29593.9434	31818.9609	30682.9922	37975.8906	29088.0645	35225.3477	28009.6875	28094.6895	29079.0762	31768.4707	29209.793	32010.3457	31376.0234	29230.4805	28480.041	29203.1895	27850.6504	28765.9531	38132.9492	27956.9746	29567.5156	32693.9258	35403.1641	34395.4844	30851.625	39235.1758	31550.0605	32739.5605	27774.8887	29010.1992	40565.5938	32173.9277	30052.7051	27491.1699	32794.4258	51165.6875	25830.9434
1.2008	32573.0625	31354.8496	49616.4258	43048.832	40205.957	69626.8438	33351.4492	31219.9414	70000.0547	31188.9238	28690.7285	37094.1484	29176.2422	37602.7148	30747.6328	32366.4043	31243.4883	29026.6465	31505.6855	28338.2207	31977.9062	35288.5625	30450.8164	32188.1387	32291.7324	34566.6523	29006.1191	31721.3066	33197.7539	35329.0703	37537.5781	30143.3477	63659.4258	49682.125	45091.1875	28319.1309	40341.6523	51057.1992	34871.7031	40733.0977	30462.0273	33280.0469	31019.1445	28319.5391	26368.5215	22946.6992	28575.4492	48499.3828	31794.3711	34098.9102	29935.9414	32501.2793	28507.3105	29094.6914	37893.2617	38569.6328	38517.0742	33386.9375	28056.7129	31822.4043	33850.0547	46518.8945	28780.418	38599.5156	29371.3164	29073.3086	29443.4883	32298.8945	29872.1387	33074.3359	32149.9629	31271.5059	28851.5742	31260.5254	27928.4395	30018.0469	45770.043	28682.832	31117.0586	34612.6172	42073.7812	39691.7969	29400.791	54442.5234	32351.6523	39247.5938	28205.1035	29363.9277	55479.4805	36527.5781	31522.5996	28527.9395	33637.5703	71995.0625	27505.2676
