x	Y_20181208_15693_10_11g	Y_20181208_15693_12_8g	Y_20181208_15693_13_7g	Y_20181208_15693_15_3g	Y_20181208_15693_17_5g	Y_20181208_15693_2_4g	Y_20181208_15693_2_8g	Y_20181208_15693_5_15g	Y_20181208_15693_7_4g	Y_20181208_15693_8_7g	Y_20181208_15693b_1_13g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_1g	Y_20181208_15693b_11_1g	Y_20181208_15693b_2_13g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g	Y_20181208_15693b_8_4g
0	10685.2383	9692.0205	10589.0029	12248.335	10942.3408	9320.166	11210.3691	9272.2344	10802.9355	9533.5283	10650.0029	9872.2725	10656.124	11205.6045	11507.2764	10446.0889	11058.1738	10151.9814
0.1334	12116.5068	10053.4102	11287.418	14017.334	11412.3594	10122.835	11834.1172	9512.4404	13277.3076	9460.667	10579.4004	11066.0742	10699.0371	13004.3164	13362.8213	11788.9502	12384.1104	10270.4658
0.2668	16005.6221	10716.917	14986.5322	15231.1279	13981.8125	11307.6123	12757.2617	9369.8838	15505.3477	9421.752	11651.5039	12670.8457	11813.5225	15922.7891	15693.2637	12762.2471	14455.917	10978.3525
0.4003	16455.6172	11509.4219	18290.6348	15007.665	15396.9863	12870.1895	15926.8779	9356.9043	15850.5605	10050.6357	12890.2822	15035.7646	15101.6582	18570.459	18774.5918	15383.8379	14800.1758	11744.1396
0.5337	17804.4297	12584.0674	17911.9102	14651.2793	16785.9258	14837.6094	16948.8496	9708.2031	16015.2236	10124.7549	14195.2803	16053.3623	20249.4453	17251.793	20403.7949	16633.4707	14069.4844	14540.6611
0.6671	18272.4688	14285.8711	17368.8945	13909.1689	16688.6738	14810.2705	16837.6055	10489.5625	14855.2812	11372.29	14187.5928	15900.0156	23208.1133	15439.3252	20798.0898	16103.7949	13788.9492	15095.7236
0.8005	18028.0195	14280.0957	16688.9238	13793.0791	16475.6074	14863.1719	16289.6377	11699.7578	15170.2734	13757.5273	14959.9092	15081.2783	20792.8184	15600.1172	18196.0703	14093.3223	13139.0029	14153.1836
0.934	16991.6973	12940.7461	16191.2051	14119.8408	16018.0117	14341.0693	16945.6387	14493.6289	15087.1846	15628.2588	14496.1475	14447.502	17488.1875	15149.5771	17895.0098	13400.4209	13792.3672	13191.0918
1.0674	16023.1914	12040.2744	14600.9814	13908.9424	15368.5654	14833.1426	16564.459	16471.8711	14607.207	15344.6777	15547.3369	13409.3115	16188.7529	14415.5762	16962.4258	13107.9688	14538.6807	13145.3164
1.2008	15688.1963	11822.9258	15339.1123	13978.6768	16309.5947	14142.5645	15924.6416	15409.0645	13987.9092	14355.5752	16599.4961	13554.624	15320.3887	14986.3965	16440.8496	13415.918	15162.6768	13507.8506
1.3342	16080.4238	11378.7432	14681.5703	14644.3838	16912.4512	13953.584	16723.2129	14898.9521	14972.3818	13895.7637	16774.5449	13648.3525	15576.502	14705.2061	15876.5576	13283.4111	14556.2061	13863.0986
1.4676	17963.6465	12083.6055	15152.4082	14687.9717	16018.9248	13076.1777	17360.0781	13252.0166	14478.2773	13698.9287	15921.5879	14298.1895	15722.3516	13253.2803	15922.2803	14040.2686	15065.291	13467.4248
1.6011	18118.5293	12251.666	15553.165	14460.7168	15597.46	13293.5801	16293.7891	14911.1377	14423.3789	15131.1953	16106.96	13169.124	14309.2764	13220.7412	15745.6016	15476.126	16012.9697	13785.7529
1.7345	17696.1602	12421.6982	14416.2324	14989.8857	15930.1396	13906.5596	16219.2637	14230.168	14346.1748	15948.2314	16268.9883	13342.8047	14069.3174	13372.2607	15837.6865	14780.5781	15899.918	13312.5967
1.8679	16292.4795	12373.2441	15477.3398	15429.1748	15489.9658	14389.9482	15331.4795	13269.5244	13835.3467	16248.4893	15683.4414	12585.3408	14361.1953	13190.3037	14998.1553	15240.7822	15633.6475	14018.7578
2.0013	16631.6914	12354.835	14588.291	15189.6006	15600.9443	14618.6309	15314.1924	12943.1533	13334.334	16018.2979	15225.9844	12714.3105	14619.293	13646.0605	14870.8213	16281.8779	15787.9395	15100.9951
2.1347	15861.3838	12204.8057	14808.6602	14019.7988	15467.1133	14367.5996	15139.0918	13162.7354	13070.8223	14431.0459	15502.6406	11757.7305	15080.0762	13932.8623	14221.709	16325.6035	14729.3965	15125.3799
2.2682	15790.623	11983.0518	15788.1406	13383.2617	14112.4395	14811.7676	15116.708	12804.2432	12318	14138.8926	16401.6875	11905.1523	15297.0703	14392.9121	14264.7139	16270.6514	14640.332	14634.0186
2.4016	14953.1484	12616.3477	14697.8369	13140.3184	13473.2969	14980.6953	15230.9404	12746.708	12225.6445	13491.1943	18323.1816	11794.2637	16248.4639	14632.1582	14946.7822	16524.7344	14763.2998	14135.7109
2.535	14440.873	11832.0674	15572.9492	13113.543	12773.3887	14921.3271	14571.0967	12284.7314	12502.0039	13397.3418	20838.2598	11499.6943	16652.2148	16499.8809	13588.2676	16643.7305	15054.2354	13197.9395
2.6684	13885.3789	11727.377	13563.6367	13397.5049	12272.2402	14929.4336	13682.7217	12009.9053	13289.8213	12588.7832	21367.2891	12230.7656	16778.7773	15962.8359	14005.9092	17909.2363	14739.9521	12561.0098
2.8019	13603.3135	11945.3057	12012.5059	12088.5713	11754.0127	14337.4033	13976.3037	12103.083	12759.3467	12413.5449	20794.2695	12164.3389	16696.0547	15271.2256	13712.6494	17700.8359	13177.3691	12616.3369
2.9353	13365.2207	11646.3926	12084.9355	11684.4873	11096.2217	14126.25	15528.9766	12600.4238	12447.3594	12370.6074	18674.2852	12170.7178	16368.6426	13734.1914	13747.9902	14568.7646	12439.4189	12671.498
3.0687	13030.7197	11488.3975	11964.6602	11666.0479	11213.9023	13922.8604	13850.4658	12772.9014	12994.543	11015.1562	16951.0391	12424.0986	16687.8184	12978.9414	13536.6748	13353.1797	11219.0723	11684.8867
3.2021	12031.0908	11002.6309	12108.7676	11460.1104	12193.9463	12819.0586	12602.3115	12370.9473	13057.0918	10783.7422	15354.1885	11863.876	15632.2012	12299.2861	14081.7725	12051.9199	11669.4688	11681.2139
3.3355	11301.8906	11260.5391	12691.0029	10649.7412	12184.2529	12449.8145	11796.4355	12775.1572	11595.7246	10845.3066	14150.248	11651.0781	13314.5908	12572.3398	14091.083	11934.2529	10966.8906	10915.6504
3.469	11002.5303	11513.5059	12538.2344	NaN	12263.5527	12214.2803	12081.4258	12026.2441	12004.7812	10758.1836	13386.2363	12460.7646	12567.4004	13330.4414	NaN	11771.9385	11007.5762	10856.3008
3.6024	10186.1895	NaN	11372.752	NaN	12581.8477	11940.127	12458.5596	11562.0762	12362.5137	10618.4219	13494.8359	11299.2822	11736.9434	12781.6455	NaN	11537.7393	10897.3701	11332.252
3.7358	10210.1182	NaN	12047.0908	NaN	12538.1162	11819.3652	12161.4863	11180.5732	12544.0752	10576.0928	NaN	NaN	11352.7324	NaN	NaN	NaN	10907.5576	11141.0078
3.8692	NaN	NaN	NaN	NaN	12431.9717	NaN	11725.5586	11810.7354	12211.668	10608.0615	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10448.7383
