x	Y_20181208_15692_31_14g	Y_20181208_15692_31_5g	Y_20181208_15692_32_2g	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_37_11g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_1g	Y_20181208_15692_41_1g	Y_20181208_15692_42_1g	Y_20181208_15692_43_12g	Y_20181208_15692_43_17g	Y_20181208_15692_43_4g	Y_20181208_15692_44_3g	Y_20181208_15692_45_16g	Y_20181208_15692_46_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_10g	Y_20181208_15692_47_11g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_11g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_5g	Y_20181208_15692b_12_18g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_2g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_1g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
0	10721.1416	12317.8721	14579.5029	10943.3857	12893.3691	11445.0166	10527.3867	11685.1201	10321.7334	9864.5312	9733.2705	10055.4492	13780.5967	12971.5557	14112.2168	11912.7627	13650.2949	12565.2998	11314.5918	10392.9883	15021.6436	11346.9287	12822.5996	11623.6064	11517.585	12397.8604	10258.4209	11170.6523	10392.123	15117.458	10431.8057	10091.2812	9704.7861	11222.9541	8813.2598	11359.6426	12356.0674	11606.082	9899.4072	10148.333
0.1334	11381.584	11949.3438	16690.8398	11682.1143	12716.3408	11930.2402	11029.5527	11512.9824	12104.6865	11648.6963	9914.9023	10472.0391	14003.6318	13092.4756	16065.5674	12760.4424	15282.7109	12736.4014	12042.498	11083.0381	17593.6777	12158.5176	14247.5049	12382.624	11077.9062	14195.208	10888.4854	11867.1748	11158.2861	15408.0742	11595.8281	10468.376	10383.4551	11332.2891	9307.1895	11811.0205	13514.4219	12819.6182	10136.7578	11873.6797
0.2668	12205.707	13044.1318	17027	13636.4648	13768.7373	11779.3574	12246.8457	13510.7344	13286.6914	13531.8809	10014.4609	10733.8359	16828.8848	15655.5527	17026.1758	12926.0928	20522.918	14059.665	13082.1162	13293.7646	20495.7988	14675.2129	16939.7305	14135.6338	11711.1494	18419.3809	13660.2217	13704.7275	12544.1787	17681.6562	13828.4902	11063.7939	12639.9277	11811.4385	10365.8105	13571.5811	16364.3877	14513.8809	11033.2002	15981.6387
0.4003	14944.8467	14074.1533	15998.9453	16511.0293	16155.7686	12726.8955	13149.6211	15681.7939	16586.7402	14841.2344	11538.918	11049.6592	19659.9863	18636.2578	17489.459	13512.8164	21284.1836	14020.4932	16633.5879	16765.2109	19893.7012	19045.5176	19836.8301	15928.1436	13183.4199	20959.123	16539.8047	15435.3369	15126.0479	21132.3887	13904.2676	14318.21	13396.2793	14901.4775	12048.4717	15079.8457	16569.4355	16000.4102	11825.9834	18848.7695
0.5337	17743.2578	16245.5479	14285.7197	18808.7031	17354.9102	14426.4854	14704.377	17810.7246	21306.9473	14863.3369	14763.0811	12880.208	19962.9004	19919.4316	15246.0547	16284.9727	17928.0059	15740.4473	19108.0039	18022.1562	19173.1094	18774.6113	20461.9102	17522.9785	14816.4023	20239.0781	18193.6582	17111.1094	15684.2451	22352.3027	12402.1846	18216.6191	15478.0059	19835.5312	13569.1387	15747.377	14017.2354	15309.3184	12871.876	18142.1582
0.6671	19196.2598	17355.5859	12588.249	17067.5742	17685.9883	16139.5342	16201.6396	18057.4238	25981	13326.6846	17341.8691	14102.7148	19010.875	17762.2812	15324.0674	15742.3877	16031.377	19502.1582	19270.6133	15370.1387	18649.9707	16428.1191	16910.0488	17324.3496	16457.9395	18327.3027	17377.0586	16595.8535	14699.2852	22631.6523	11865.0088	21462.3418	17498.7305	19802.1094	14739.8477	14034.2305	12465.4355	12660.7217	13913.7314	15653.3721
0.8005	18797.4727	15186.2295	12185.8906	15642.043	16912.1602	15412.3623	14630.252	15105.2705	25957.5488	13885.9424	16959.9609	16847.0078	17381.6953	16122.7773	14206.3887	14797.8721	14477.1768	19520.3027	16612.4473	15332.4287	18566.5176	15076.9619	15056.8584	16433.3027	14874.7227	15401.4629	13545.0303	15175.3955	13207.2324	20850.2539	11994.9482	19335.1211	16920.7695	18194.9453	13775.3662	13226.6631	12379.7979	11316.4316	14100.3369	16097.3311
0.934	17240.334	12993.4482	11649.1182	16190.5635	16671.5977	15091.4551	14363.6787	14397.4678	22025.1992	13832.9297	14699.8506	16482.9102	16451.877	14548.5049	13110.9961	13813.4453	14206.1914	16850.1895	15976.8037	15082.1934	16873.5156	13858.6602	13940.4893	14545.2803	14258.1338	13959.9297	12714.4922	13320.5322	13331.7041	18983.457	12490.5605	18533.043	15469.4814	17222.3926	12824.8516	12090.3506	13793.9072	10713.6338	13596.54	15396.8037
1.0674	16486.6348	11706.3105	11365.041	16825.3867	14008.5654	15193.2002	13377.5068	13292.6348	20258.2461	13034.7578	14305.1025	16321.5586	15673.4199	13032.9639	13771.3887	12299.2295	14304.9033	14832.1064	15037.3242	14417.3486	18160.4453	13049.2891	13268.9873	14476.8955	14302.4639	12671.1084	11859.248	13164.998	14006.4365	17296.1562	13112.0928	16946.5488	13939.9443	16460.8848	12295.7588	11538.5771	14281.3115	10382.0107	12640.7207	14995.3955
1.2008	14554.0615	12399.6738	11727.4834	15373.1836	12642.9775	14969.3066	13827.9736	13745.8418	17658.6309	13631.5859	14388.4404	16400.6211	14683.7559	12790.6738	14247.3086	12938.4053	14495.833	14469.8271	14980.3154	14319.6455	17310.7598	14829.7998	13034.832	15186.9844	13514.2158	11291.5312	12453.584	12717.4053	13417.5059	18013.9258	12710.668	15912.0049	12474.4512	17183.1348	11675.376	10992.9326	13357.1221	10181.0732	12261.1094	14482.0342
1.3342	14600.7812	12998.0771	12573.5869	14206.4502	13038.0713	14003.1406	13250.376	12706.4746	16596.1367	13226.0752	14903.2744	14878.168	14002.2744	12284.3301	13082.7539	11716	14017.0703	13630.0928	14626.6631	15432.166	17693.625	14810.8145	12696.7734	15694.4258	11957.9619	11359.3682	13708.5146	12274.6426	13095.9238	16233.6494	12570.7803	14890.4287	11795.1377	15909.6689	11803.0566	10898.542	12312.9404	10619.5234	12281.0234	14907.6113
1.4676	15113.251	13649.6084	12460.2402	13233.2168	11794.8652	14122.1172	13041.708	13405.0439	15790.9814	12551.3174	14000.1904	14495.1455	13051.5293	13559.124	13234.9375	11490.6836	13164.3789	12898.0117	14836.2539	14627.0322	17082.8027	15600.7627	12213.3467	15751.2783	11908.6055	11402.7197	14487.1172	12276.7217	12613.9863	14985.0361	13384.4805	13548.8447	11834.3076	13532.9541	11238.4062	11127.5723	11880.8945	10774.502	12016.8262	14824.1055
1.6011	14235.4834	13925.1758	12796.124	13103.5586	11912.3916	13394.4092	12895.1348	14309.6348	16064.9492	11981.8047	14089.4277	13487.8516	13958.8574	13926.2002	12442.7041	10829.2383	12773.5293	12136.4346	14152.2422	14654.9121	16495.3398	15888.3027	12660.959	14957.0439	11724.3887	11506.4678	14287.0166	13091.2188	13111.3848	14015.8086	14120.3545	13280.2393	11612.8369	13273.0029	10454.5518	11380.6895	11784	11029.3594	11221.5195	14427.1084
