x	Y_20181208_15100b_18_5g
0	28594.6543
0.1334	27915.5918
0.2668	27615.0566
0.4003	28146.6133
0.5337	29268.3457
0.6671	29066.2559
0.8005	29087.9668
0.934	29218.9629
1.0674	30727.1328
1.2008	31126.6055
1.3342	29296.0605
1.4676	30850.7754
1.6011	31596.0078
1.7345	31415.002
1.8679	31129.8301
2.0013	31115.1562
2.1347	30517.1016
2.2682	27971.1426
2.4016	28203.7676
2.535	30104.1016
2.6684	29494.9453
2.8019	30616.6816
2.9353	34180.4102
3.0687	38270.6758
3.2021	52510.6484
3.3355	69586.2578
3.469	65517.125
3.6024	46802.0859
3.7358	36373.0508
3.8692	NaN
4.0027	NaN
