x	Y_20181208_15794_3_12g
0	10214.1982
0.1334	11310.3096
0.2668	13709.333
0.4003	17346.5488
0.5337	18098.8672
0.6671	17584.5469
0.8005	15678.8242
0.934	16142.0938
1.0674	15644.9131
1.2008	15558.6348
1.3342	16314.1807
1.4676	15921.1777
1.6011	16099.1572
1.7345	15781.6709
1.8679	14047.2471
2.0013	15148.3486
2.1347	14450.709
2.2682	14069.4766
2.4016	13781.7832
2.535	13136.5693
2.6684	13535.0186
2.8019	12932.457
2.9353	12217.167
3.0687	12075.5176
3.2021	12280.6787
3.3355	11559.3564
3.469	11399.9277
3.6024	11062.6484
3.7358	11335.4131
3.8692	11346.9951
4.0027	11012.3369
4.1361	11656.8242
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
