x	Y_20181208_15692_30_5g	Y_20181208_15692_31_16g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_37_9g	Y_20181208_15692_38_1g	Y_20181208_15692_39_12g	Y_20181208_15692_42_12g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_47_3g	Y_20181208_15692_8_5g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_12_6g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g
1.7345	62043.5469	31589.6895	84904.9062	92738.8516	48753.4609	33380.2266	46156.6797	33779.5938	45580.6094	59084.8438	85261.5781	44385.043	116542.2188	47389.7227	56798.6875	31173.082	36661.1406	57979.875	104534.9141	69449.4531	36085.043	52301.6055
1.8679	47344.543	29087.8008	56301.2812	81616.2891	69747.8984	32225.6953	34789.2031	29077.2988	33343.8203	54828.1836	54902.8867	35347.1641	136794.8906	37543.4766	39504.3281	28584.7109	47604.5195	72580.1875	87265.7031	50079.3242	30102.1602	52652.3984
2.0013	37376.2734	28213.5801	40563.8555	55475.0781	100296.6172	31623.5762	31059.8848	27441.9219	30053.4609	45309.8906	41631.0391	31779.709	99868.125	33229.9766	34900.4062	28724.1934	67576.2031	64875.2539	57644.9883	38153.8906	29334.0762	40926.8438
2.1347	33496.8945	26268.3867	36784.5625	40548.9727	96381.5234	NaN	30037.873	25680.248	28758.3145	39106.3086	35595.3984	29779.4551	61392.6914	30797.127	32676.1172	26273.0195	75346.3125	48204.6523	41853.6289	33955.1914	30850.7812	34835.8867
2.2682	32025.8066	NaN	NaN	34574.7305	63537.1523	NaN	NaN	NaN	27084.0215	37813.7656	35106.6367	30389.0762	43882.5469	30097.291	32924.3828	NaN	57211.5234	36836.6523	36624.293	NaN	29056.4961	32991.3398
2.4016	31907.7578	NaN	NaN	33100.7578	45351.8242	NaN	NaN	NaN	NaN	34149.8164	33838.8398	NaN	37123.0312	NaN	31540.123	NaN	39917.0352	33879.375	35715.6328	NaN	NaN	32034.6992
2.535	NaN	NaN	NaN	33437.6758	37940.9688	NaN	NaN	NaN	NaN	33498.5625	33775.7031	NaN	35127.3242	NaN	NaN	NaN	33007.7461	31420.2168	35280.7734	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	33561.6641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33233.6875	NaN	NaN	NaN	31782.123	30890.8633	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	32413.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33841.8906	NaN	NaN	NaN	29656.5508	29597.6445	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29389.1523	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
