x	Y_20180130_15100b_13_1g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_8g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_22_13g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_3_1g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g	Y_20180130_15100_3_13g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_2g	Y_20180130_15100_6_19g	Y_20180130_15100_6_5g
0	15328.375	11362.729	14665.854	12735.51	10858.298	13100.019	12158.572	13214.444	11869.325	12383.159	12744.087	13952.012	13174.046	12287.141	13434.46	11773.47	11759.575	10806.414	10732.656
0.1334	16011.991	12630.706	15308.933	13401.19	11280.792	13934.59	12825.294	16131.362	12243.022	13065.995	13995.722	14131.204	15460.125	13248.297	14485.291	12866.698	11918.974	12014.861	11622.652
0.2668	17456.904	14799.325	15526.963	14793.631	12306.217	16606.057	14452.568	17875.109	13137.026	13786.591	16692.973	16258.215	17919.168	13898.598	16666.992	13930.48	12863.543	14440.611	14743.566
0.4003	20223.127	17689.279	19299.148	16492.359	12575.13	19408.93	15896.885	19582.34	14798.944	16637.479	17831.99	16611.975	20832.789	17419.217	19625.77	15291.271	14506.472	18302.434	13924.255
0.5337	21912.135	19871.891	21651.582	17085.195	13972.028	19822.205	16374.887	17774.959	17913.504	21261.551	16324.914	16314.082	21182.398	20863.037	21185.516	16033.978	14666.775	18830.371	14024.313
0.6671	20740.562	16932.223	18477.771	16453.494	15769.982	18808.039	15026.634	16452.73	20302.541	23612.939	14887.797	16167.544	18495.824	19376.078	20292.613	15843.802	13691.679	17743.518	14217.805
0.8005	19440.838	16238.229	15717.968	14676.367	14515.082	17337.963	12926.229	15329.207	18614.15	21305.871	13561.788	16615.727	16152.877	18138.686	18272.328	14864.542	13816.437	15919.519	13678.88
0.934	17828.025	16627.201	15296.637	14753.9	13695.767	15989.395	12616.183	14728.386	16786.93	19560.227	12723.78	16859.668	15423.403	16785.934	17185.133	13478.843	13074.027	15898.839	13949.454
1.0674	18908.725	17100.102	15552.722	14417.814	13784.438	15514.416	13345.806	14827.699	16314.833	18669.117	12416.53	16762.65	15362.993	15807.231	17059.66	13087.564	12782.12	15258.396	13720.258
1.2008	18766.395	17380.691	15120.853	13806.252	13421.518	15223.185	14034.895	14858.151	14922.742	18670.143	12496.98	15950.93	16270.3	15046.703	15942.299	13007.674	12674.793	15202.701	14357.585
1.3342	19034.787	15871.198	14432.948	13995.86	12840.407	13680.825	13909.001	15255.907	16300.491	19414.012	12442.495	15737.352	16525.953	16555.717	15078.524	12589.431	12882.51	15195.724	14194.321
1.4676	18452.332	17134.891	15093.015	14316.812	12957.123	14109.238	13277.241	15466.013	17056.887	21400.742	12603.853	15168.823	15747.617	16510.588	15012.056	12780.263	13143.511	16050.904	14269.616
1.6011	17463.404	16688.152	15572.187	14067.229	13578.101	14722.634	11793.075	17052.498	16356.783	22973.525	12379.07	14641.208	14591.727	16203.996	15143.816	13247.986	12837.029	16223.829	14528.078
1.7345	18822.691	19684.246	15955.759	13289.059	15311.696	15925.907	11621.584	17212.939	15557.146	22357.252	12303.019	15156.386	14906.719	16078.177	14592.081	14071.857	12670.848	16336.278	14677.574
1.8679	17970.547	20545.855	15680.207	14324.849	16013.224	16654.924	12034.6	16201.579	15018.283	22392.887	12131.848	16565.68	15172.436	15715.857	14637.227	14910.287	13169.744	15765.161	13526.63
2.0013	17891.883	17544.85	15270.97	15098.958	16072.672	15480.56	12389.62	14326.993	14423.937	22862.109	12207.52	17452.01	15656.682	15956.342	14502.883	14539.74	13333.56	15332.227	13073.485
2.1348	18877.473	16691.875	15727.599	15616.63	17077.096	15193.719	13358.671	13860.572	14002.388	22924.725	12344.221	17910.232	15438.755	15915.426	14016.35	14660.568	13603.846	16310.561	12884.408
2.2682	19204.42	16393.438	16736.938	16376.018	17480.283	14378.659	13241.817	12950.802	14834.129	21631.143	12364.056	17331.439	14851.629	15033.097	14031.266	14644.315	14375.364	15907.183	11997.296
