x	Y_20181208_15100_17_7g	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g	Y_20181208_15100_8_6g	Y_20181208_15100b_1_6g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_17_4g	Y_20181208_15100b_19_4g	Y_20181208_15100b_2_2g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_3g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_1g	Y_20181208_15100b_7_3g
0	11606.5254	13731.9287	10408.9678	12817.2227	10762.3643	10430.3027	9753.6133	11905.6445	11876.585	10918.6523	13728.041	9755.2705	10588.7451	12745.7295	10349.1133	14568.96	9596.0898	11531.9863	10541.0947	11140.2236	11641.9219	11347.9688	13262.833	12266.1982	10628.9365	10880.5732
0.1334	12131.3525	16147.6494	11932.0742	15674.3564	11003.4238	11522.5967	11546.2031	12255.5361	13267.2451	11855.2861	16743.6172	10298.291	11155.4668	13972.3662	10277.2793	17395.7871	10144.5986	13967.8545	10807.3184	11406.3535	12435.4121	12719.5254	14837.7021	12996.7334	10865.7334	11616.417
0.2668	14033.54	17441.0371	14663.4766	18404.9785	11844.6514	14677.9424	14055.8271	13969.3486	14108.9287	13202.4844	18669.623	12652.5684	12224.9268	16057.7412	11830.7646	19998.2441	11283.7549	17252.416	11706.3389	12644.1035	14207.4258	14856.1143	15536.9551	12265.1924	11808.5947	12110.9043
0.4003	14748.0371	16639.7754	17215.3281	17334.6934	12631.7168	17884.2363	15613.7578	18164.9316	16154.335	15628.9678	16644.4062	16221.0752	13568.4766	19532.1797	13725.1084	19546.709	14494.3662	18010.252	12726.0098	13144.5723	15216.7666	15391.7207	15050.8232	12897.1699	13129.582	12612.876
0.5337	15896.5752	16035.9951	18075.084	16997.8281	14443.9678	19320.9238	16141.5596	20588.877	17953.1719	17787.9375	15576.8701	18247.7988	15552.5166	20173.6289	14449.6289	16756.6992	16160.2793	16623.2129	13506.957	12904.0879	15353.8359	15384.4883	14434.127	13357.7021	14589.1426	15758.6797
0.6671	15057.3691	15691.5029	16549.8828	15948.2031	15211.4932	18163.1094	14728.6484	17889.9512	18508.2129	17014.9551	12927.2637	18487.9453	16441.457	18935.5254	15260.0234	16579.1543	15337.916	16202.4805	14049.0703	12213.8926	15434.3252	15712.9795	14388.8584	13098.8232	15601.9434	16481.3945
0.8005	15167.0918	15821.9961	16136.7754	16622.7578	14126.7471	16275.4531	14011.4326	15209.3809	17469.4395	15807.9297	12846.3428	16521.1836	16647.9355	17989.3086	15685.5254	15224.3223	15647.6885	14803.4209	13978.2578	12576.8672	15562.4678	16257.7109	14047.5254	13383.1494	14553.4482	16928.457
0.934	15412.1572	15966.0645	15936.9082	17293.1426	14732.6377	15178.9219	14381.377	14250.8682	16692.0977	15101.1299	12648.332	16192.9639	15719.2031	18379.5918	14921.79	16063.3916	15781.4219	14746.0996	13122.5957	13473.7988	13764.3916	15989.4209	13361.7949	13727.5977	12789.6035	15796.6914
1.0674	15271.8984	16879.3555	14756.9658	17536.6191	14701.9863	15534.04	13848.6396	14143.7529	15539.7666	14547.7344	12895.459	16581.7852	15257.625	17397.1543	15198.9111	15342.1309	15778.8037	14899.8008	12609.2871	13873.4482	13867.1426	15565.4355	12317.1318	13651.832	12488.0166	16404.4238
1.2008	14331.584	17418.0176	14015.0518	17002.4121	14528.002	14874.2158	14116.4961	15519.8154	15282.1982	14434.0977	13062.7637	17189.1719	14692.251	16836.9062	14812.7275	13428.709	14287.6572	15581.8682	12553.7363	14715.2646	13420.0518	15806.3574	12521.3115	13702.6416	13498.5723	15731.5898
