x	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_42_1g	Y_20181208_15692_43_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_5g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
0	28564.8457	28771.3535	24446.5762	29729.8965	28620.3711	29529.2227	25276.4297	32695.0488	26389.0664	30548.3477	27572.8965	25638.002	34964.0898	30603.7617	28578.1797	31487.6504	28110.832
0.1334	29728.457	29136.8848	24452.7129	29970.2461	28218.3164	29317.2656	25811.2773	33281.7109	27243.6914	30001.4688	29247.1953	28174.1992	34430.0273	28833.2832	27240.6953	31564.5586	28673.4609
0.2668	30150.9707	29071.3789	26303.0059	30631.2949	28021.2852	30271.3789	27583.1504	33640.6367	27034.1914	31101.1797	28937.75	29108.6289	33072.8789	29889.543	28602.1172	32368.8105	29608.0586
0.4003	30163.2812	26806.543	25188.8789	30282.8164	30706.6621	29760.0488	25911.0449	32174.6855	26450.1641	30433.207	28669.9746	27998.6797	32481.4023	30075.3027	27833.5117	33062.7188	30069.9336
0.5337	30231.1934	28905.6094	24807.3047	30119.5859	30833.6875	29490.877	26348.3242	32175.6875	26716.6367	31467.043	28251.0547	29146.1016	33524.8203	31809.8652	28138.1875	32536.8672	30022.4102
0.6671	29730.7754	29254.5762	25800.8418	30511.9785	29310.1348	30053.9902	26979.0918	31989.9648	27216.2324	31418.7832	29012.1836	28942.748	33997.4531	31171.3047	29727.0859	31199.666	29034.2012
0.8005	30584.6621	28545.0723	25065.1562	30155.8887	28500.5566	29648.6348	25572.7559	31292.5312	26835.9043	31569.6055	29200.7852	27936.6543	33668.5352	31474.9316	30627.1895	32011.5547	31056.5957
0.934	30711.9746	27810.668	24252.4395	30818.4492	30035.9688	31217.0449	26838.3672	31598.0469	26889.3066	31118.7715	29624.1562	28439.6504	32385.4023	31071.5684	29563.5176	33930.5977	31113.5234
1.0674	31539.8145	27756.959	25086.5332	29650.5215	30124.9551	30834.8301	25691.9512	31197.2422	26558.4395	31299.8574	31745.6094	28669.5137	33425.1562	31254.6895	27722.9609	33898.5664	30508.5059
1.2008	29831.9824	28466.0234	26097.709	30994.6094	29361.3633	29878.8047	26036.5566	30906.041	25224.2305	31380.791	31045.8398	28816.0117	33402.6016	31341.8984	28936.6797	33572.6289	32744.5996
