x	Y_20180224_15100_10_4g	Y_20180224_15100_11_6g	Y_20180224_15100_12_3g	Y_20180224_15100_13_10g	Y_20180224_15100_13_6g	Y_20180224_15100_14_1g	Y_20180224_15100_14_2g	Y_20180224_15100_16_1g	Y_20180224_15100_16_4g	Y_20180224_15100_16_5g	Y_20180224_15100_20_4g	Y_20180224_15100_21_8g	Y_20180224_15100_22_7g	Y_20180224_15100_24_6g	Y_20180224_15100_2_8g	Y_20180224_15100_30_2g	Y_20180224_15100_30_4g	Y_20180224_15100_30_5g	Y_20180224_15100_31_2g	Y_20180224_15100_33_1g	Y_20180224_15100_6_3g	Y_20180224_15100_6_8g	Y_20180224_15100_7_10g	Y_20180224_15100_7_3g	Y_20180224_15100_7_4g	Y_20180224_15100_9_2g
0	13483.568	14529.634	13396.154	16080.537	15818.036	14111.666	13920.353	14250.473	16469.807	13970.41	16583.826	13023.947	14095.978	15920.373	17497.801	12359.675	13615.299	12123.517	12773.112	15973.454	17457.586	15929.158	14981.556	15437.899	13953.922	15357.975
0.1334	14066.803	15676.964	13779.688	16074.704	16298.428	14699.073	14938.481	15498.399	17161.617	15613.776	16036.206	14017.629	15884.468	15648.251	16875.994	13376.551	13206.427	12259.039	14020.635	17114.105	16973.576	16806.713	16676.424	15977.862	14787.071	16505.104
0.2668	15553.17	16713.252	16015.1	16942.232	18665.562	14821.414	18459.414	18556.537	18047.623	17200.008	18956.664	16152.451	17736.836	15750.104	18146.111	14998.757	14907.315	14489.989	16119.557	17302.953	19337.471	18196.656	19763.072	19309.709	18383.652	17631.191
0.4003	18345.785	20881.23	18040.951	18565.406	23669.107	18127.607	22293.613	22086.625	18945.74	21554.186	21342.213	17224.109	19395.246	17735.744	19261.344	18111.457	17834.15	17528.84	18556.025	19116.371	20334.49	22880.697	21905.389	20130.898	19672.107	20409.213
0.5337	19502.609	26515.557	18935.029	18015.779	29957.908	18659.512	23854.285	25060.443	18163.41	25031.516	21296.307	17723.123	17956.375	22412.744	20459.678	21694.916	21148.918	20359.211	18751.24	21067.529	22818.297	28091.189	22083.168	19120.902	20873.305	24540.643
0.6671	20382.516	26958.379	18486.324	18473.506	31310.939	19333.703	23143.309	25036.438	18745.582	23474.018	18797.84	18199.055	17878.605	24238.67	19352.518	21851.422	22787.578	21519.793	18471.707	24188.346	21711.639	33247.086	19603.672	17374.557	19754.768	25383.725
0.8005	19408.592	25364.889	18622.16	18724.326	26914.391	18477.568	20731.916	23315.934	17318.461	20567.162	18745.893	18565.309	18109.77	23104.92	19522.516	20800.033	21792.697	19808.297	19334.352	23966.191	19636.428	30856.99	16887.783	17494.525	18171.188	23014.438
0.934	18649.262	24785.043	18177.814	18947.662	24919.197	17859.213	21602.203	20742.914	17024.047	20659.57	18271.816	18423.766	18015.066	22575.814	18604.809	18754.822	21663.242	18404.826	19574.082	23198.131	19112.674	28544.99	16154.622	17766.152	17870.5	20892.471
1.0674	19577.717	22769.414	18395.531	17825.234	24645.342	18886.689	20537.309	20245.982	16238.052	21536.971	17628.57	17796.861	18050.16	19648.352	18628.912	18162.141	21238.562	19496.037	19367.99	21700.988	19030.723	26016.133	16071.878	17834.078	17716.057	20449.639
1.2008	19517.943	22709.729	18147.684	17330.879	23072.672	18446.826	19364.992	19806.262	15256.893	20966.16	17639.475	18061.166	17826.67	19151.809	18218.496	18688.303	20873.367	19715.367	19615.551	20651.34	18181.195	23308.369	16090.981	17407.85	16308.532	21229.062
1.3342	18658.797	22559.465	17612.492	17031.221	21271.248	19181.949	17157.734	18134.775	15071.442	19332.994	18276.111	18075.439	18682.441	16519.535	17589.273	18757.793	20565.625	18373.979	19825.525	20749.658	18115.898	22284.805	16256.073	16712.779	17396.67	20899.777
1.4676	18669.348	21324.32	17816.227	16349.039	19950.83	19275.334	17008.723	16677.014	15590.725	18740.316	16875.701	17308.418	18264.406	16170.41	17108.531	18028.877	19392.635	18281.834	19850.586	19395.242	17394.209	20969.771	15362.049	16390.938	17076.996	19684.061
1.6011	18980.299	19804.1	16973.436	16462.268	19358.615	19477.51	17192.973	16839.242	15403.985	18340.652	16874.514	17471.285	17148.4	16742.41	17293.166	17681.285	17996.725	18996.369	19033.742	17769.852	17499.77	18571.18	14830.346	17406.934	16123.67	17982.283
1.7345	18766.07	18524.633	17913.133	16230.421	18283.035	18282.285	16077.187	16182.904	NaN	17546.16	16544.971	16785.307	15289.086	15791.09	17237.684	17103.18	17632.432	18066.967	17186.154	16676.988	15801.08	16804.691	15348.612	16763.398	15469.904	16548.568
1.8679	17703.135	17423.178	16965.277	15488.51	17502.531	17022.811	16032.625	15171.972	NaN	17254.17	16289.696	16030.582	15187.911	15631.059	16348.563	17056	17978.516	15859.86	15746.622	15708.61	15235.008	16264.178	15308.603	15925.693	15093.858	16033.646
2.0013	16904.764	17203.172	16591.986	14915.578	17052.004	15320.8	15220.199	15771.67	NaN	17503.592	16424.002	14667.815	14884.053	15054.956	NaN	17251.84	16602.322	16798.348	15206.377	15333.941	15177.108	15462.056	14931.11	16003.258	NaN	15514.351
2.1348	17649.15	17145.041	17207.764	14672.528	16692.959	15785.64	15081.177	15274.407	NaN	17813.518	NaN	14880.584	15058.395	14642.562	NaN	15176.937	15861.706	15965.916	16069.783	15092.171	NaN	15203.514	15896.776	15878.479	NaN	15626.624
2.2682	17743.379	17227.314	17704.322	NaN	16314.382	15404.658	15317.78	15917.739	NaN	16518.703	NaN	14636.72	NaN	NaN	NaN	15780.822	15430.531	15815.98	15871.396	NaN	NaN	NaN	15978.927	NaN	NaN	15811.997
2.4016	18399.061	16509.477	NaN	NaN	14780.519	16659.559	15419.771	15389.891	NaN	NaN	NaN	16136.681	NaN	NaN	NaN	NaN	16070.736	15362.746	NaN	NaN	NaN	NaN	16914.6	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	15109.058	15713.638	NaN	15961.456	NaN	NaN	NaN	16274.676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	14654.481	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
