x	Y_20180130_15100b_1_3g	Y_20180130_15100b_10_10g	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_10_8g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_3g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_14g	Y_20180130_15100b_12_3g	Y_20180130_15100b_12_4g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_7g	Y_20180130_15100b_13_9g	Y_20180130_15100b_14_11g	Y_20180130_15100b_14_12g	Y_20180130_15100b_14_2g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_3g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_7g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_2g	Y_20180130_15100b_17_5g	Y_20180130_15100b_17_8g	Y_20180130_15100b_18_17g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_23g	Y_20180130_15100b_18_4g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_6g	Y_20180130_15100b_19_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_20_11_1g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_15g	Y_20180130_15100b_20_1g	Y_20180130_15100b_20_8g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_7g	Y_20180130_15100b_22_2g	Y_20180130_15100b_22_3g	Y_20180130_15100b_22_8g	Y_20180130_15100b_23_10g	Y_20180130_15100b_24_10g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_24_1g	Y_20180130_15100b_24_3g	Y_20180130_15100b_24_5g	Y_20180130_15100b_24_6g	Y_20180130_15100b_3_13g	Y_20180130_15100b_3_14g	Y_20180130_15100b_3_15g	Y_20180130_15100b_3_8g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_13g	Y_20180130_15100b_4_15g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_4g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_5_9g	Y_20180130_15100b_6_10g	Y_20180130_15100b_6_6g	Y_20180130_15100b_6_7g	Y_20180130_15100b_7_12g	Y_20180130_15100b_7_3g	Y_20180130_15100b_7_4g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_14g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g	Y_20180130_15100b_9_9g	Y_20180130_15100_1_1g	Y_20180130_15100_1_9g	Y_20180130_15100_2_10g	Y_20180130_15100_2_12g	Y_20180130_15100_2_13g	Y_20180130_15100_2_4g	Y_20180130_15100_3_11g	Y_20180130_15100_3_1g	Y_20180130_15100_3_20g	Y_20180130_15100_3_9g	Y_20180130_15100_4_10g	Y_20180130_15100_4_13g	Y_20180130_15100_4_1g	Y_20180130_15100_4_3g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_11g	Y_20180130_15100_5_14_1g	Y_20180130_15100_5_15g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_18g	Y_20180130_15100_5_25g	Y_20180130_15100_5_3g	Y_20180130_15100_5_5g	Y_20180130_15100_5_9_1g	Y_20180130_15100_6_11_2g	Y_20180130_15100_6_18g	Y_20180130_15100_6_6g	Y_20180130_15100_7_10g
0	12527.684	13515.923	11092.768	13081.144	12922.776	14106.851	14111.837	13993.035	13768.251	14027.625	13849.877	12871.152	12354.423	12726.6	14043.722	12519.725	12432.924	12222.666	12767.482	12852.352	14860.157	12873.522	12433.081	12938.357	12790.766	13788.835	12830.463	13320.958	12967.738	12430.738	13164.465	12912.475	14026.577	14014.684	13866.902	12077.105	13795.957	12125.398	13616.841	11412.292	11691.703	11643.451	11439.128	12098.132	11961.198	13840.026	13722.067	12559.617	11713.334	12987.314	13533.729	12169.35	15156.26	12932.96	15218.403	14415.552	13354.979	11737.817	15001.153	13371.112	12927.788	12244.188	13805.7	14103.581	15233.787	12984.866	11834.605	14215.258	12871.107	15517.086	13917.405	14041.453	13440.482	11828.425	14329.47	14634.957	16020.383	15654.72	13241.054	15040.783	13300.456	11123.896	12660.4	13291.483	12779.904	13053.914	11966.9	13579.271	12619.806	13045.235	12886.765	12186.1	13922.199	11757.969	11583.044	12313.729	12936.823	12757.415	11909.463	11316.701	12307.569	13205.991	12672.475	13078.065	12116.181	11354.8	15479.061	11577.289	13540.024	12313.873	13288.44	12882.862	11352.411	13058.247	12288.809
0.1334	12101.262	14544.456	12024.045	14220.612	14292.416	14703.944	14684.128	13607.047	14776.206	14032.681	14105.034	14837.337	13660.704	13221.332	13623.229	12627.194	13596.935	12616.406	12248.65	13468.317	15084.253	11638.015	12481.849	12800.019	12695.404	14223.041	13162.914	13588.743	13506.614	13143.71	13231.458	12870.47	13981.326	15110.027	13682.142	13052.778	13899.08	13055.238	13518.035	12227.146	12531.032	12205.013	13644.44	12291.797	12799.268	14494.018	14273.557	13003.76	13225.984	13452.811	13244.007	12475.231	16071.205	13833.591	16233.226	14916.382	13739.543	12517.973	16737.006	14534.952	13651.923	13864.489	14580.981	17313.072	15011.016	13411.275	11781.893	13842.809	13327.131	16306.812	16201.529	14185.85	13928.703	13097.789	14959.598	17077.701	19420.527	16021.745	15371.376	15253.265	13665.149	11979.282	14301.09	13600.129	14168.904	14563.717	13312.474	13845.437	13382.092	12587.89	13334.99	12242.744	13492.429	12352.606	12800.685	14087.206	13509.62	13616.039	12160.497	13105.133	13599.183	14662.629	12569.312	15292.782	12686.608	12555.639	15968.89	12325.189	13560.827	12600.589	13867.44	13942.512	11031.527	13505.988	12095.854
0.2668	12294.644	14921.318	14238.397	15060.854	16389.641	16198.646	15692.732	14048.77	15903.624	15569.826	16512.633	18580.141	16138.569	15127.581	14822.525	13258.048	16214.816	13623.438	12901.48	14784.123	17542.801	13328.288	13888.473	13199.806	14088.835	14823.255	15417.291	14794.686	15208.368	15906.682	13870.396	14220.903	15332.351	16096.955	15102.315	14173.428	15286.957	13822.872	13589.867	13959.396	13369.611	12831.159	15890.837	13925.037	13673.344	15189.44	14978.367	13874.453	15978.345	14321.666	15196.256	14252.813	20521.793	14874.718	16285.55	15215.261	13871.181	13152.998	20144.596	17065.148	15288.858	16237.106	15331.102	22000.816	14858.279	14127.704	12660.085	15471.311	14624.722	20801.57	20776.6	18654.611	15040.892	14466.213	17542.4	19328.117	19826.641	16239.739	17426.164	15539.438	14256.072	14282.25	14230.854	15775.104	15314.909	17044.627	15699.98	14343.095	15680.001	13896.299	13630.962	13784.801	13633.657	13474.461	14458.391	15861.525	14172.516	13906.974	13078.808	14992.546	14277.198	16164.418	13522.005	18759.471	13390.751	15371.704	18708.617	12469.846	15400.898	12975.017	16299.873	16507.793	11590.729	14400.133	13501.556
0.4003	13219.852	16771.338	16581.664	16220.059	18185.199	17993.732	18949.947	15307.341	17817.453	21149.512	20002.57	23959.639	15882.972	18636.689	17468.484	14693.574	19675.18	16258.942	14222.982	16898.441	18888.021	16547.322	16248.501	14255.572	16011.951	17323.465	17947.936	17232.307	18500.447	19590.049	15867.582	15349.41	18633.264	17507.924	19019.617	16759.361	19916.262	16106.338	14090.729	17397.951	15340.449	13910.453	16745.426	15750.803	15399.41	17124.512	17390.76	16838.719	16928.457	16032.998	16696.939	17021.881	24382.354	17706.639	17149.326	16560.264	15718.234	14484.574	24128.752	19236.742	17016.072	17580.072	18140.764	20480.66	15861.961	17219.479	15504.798	16672.104	18242.496	27970.41	26830.344	24013.404	16484.984	17138.924	21555.381	17671.441	19116.102	19660.15	21246.006	18509.352	17088.602	15823.915	12860.748	19810.301	16010.917	18328.961	18530.707	16099.071	18037.672	15019.738	14499.263	15813.919	15163.688	15074.871	13997.577	17337.502	16097.421	15755.954	13295.189	15366.637	15377.309	19039.627	15777.685	18125.725	14811.579	15333.182	21983.352	14844.519	16938.861	14668.899	17742.689	16510.502	13042.301	14914.31	15125.289
0.5337	15279.047	16696.906	15314.739	20350.436	20424.014	19092.104	20553.639	17550.691	21190.031	22172.822	21051.127	25947.268	15662.931	16777.447	20317.854	15748.739	22723.996	16367.712	14958.397	16585.469	19199.908	17962.102	16401.133	16907.531	19974.047	19714.473	16927.561	20354.934	20056.053	20178.484	18433.961	18474.75	20837.027	19353.336	20377.369	16227.91	23581.184	19753.305	17095.666	19876.689	14562.451	15828.571	15420.636	16891.516	16314.509	20499.051	19175.553	20950.34	16514.369	19567.873	18067.744	17360.381	24535.408	23045.248	20353.619	19269.268	17872.887	16356.532	22560.506	18906.484	16688.832	17329.082	16782.461	16335.169	16105.945	20498.252	18955.203	16554.486	21934.936	28152.271	27819.492	23189.285	19277.281	17856.77	22273.598	16086.629	17244.451	21720.805	21009.365	19013.787	20662.324	15735.852	14127.39	27445.561	15945.859	17678.172	19372.934	16523.008	21586.607	15198.04	15454.106	18978.838	17902.598	16631.848	14959.072	16556.859	16025.315	17455.379	14875.898	14668.3	15793.547	21822.49	15328.647	16530.021	16416.988	16508.473	21840.305	22141.77	17467.293	16717.393	17560.293	15434.681	14957.145	17356.646	15879.882
0.6671	17258.014	15704.655	15625.728	23085.125	19314.211	18440.336	17024.738	16359.819	22562.963	19033.248	19300.461	21358.299	15719.301	16651.305	21228.496	15963.074	20765.721	16265.585	16051.933	15581.481	18278.691	17960.309	14394.343	16448.234	21037.467	19770.137	15537.641	20414.797	17784.135	20382.373	17615.053	17386.957	19711.203	19636.57	19530.16	16445.115	25500.484	20435.178	19818.166	17487.551	13296.873	14944.841	14996.02	15337.197	15688.435	18942.719	18710.834	20481.676	16280.103	19367.279	16307.458	16410.113	21629.422	23650.572	23139.305	23783.73	24318.016	19420.758	18730.646	18009.107	15819.473	16596.715	16931.643	14551.426	14577.429	20092.756	18858.248	15298.476	21284.682	24966.18	22174.109	19897.273	17840.438	16063.193	18344.342	14902.787	15761.426	20707.041	17586.643	19287.729	21882.951	15266.833	13810.423	33020.422	16539.525	14526.849	17220.869	15773.682	20301.402	14592.788	15157.19	17597.344	18445.338	15180.382	16008.126	15279.997	15622.969	17469.408	14426.164	13965.316	15601.499	21199.645	14214.87	14932.092	15718.287	15338.283	19590.943	27811.492	15138.626	17304.664	15315.145	13673.474	19583.992	19833.752	14803.947
0.8005	18162.719	15007.208	15480.162	23130.186	17777.207	17485.344	16062.89	14833.984	20781.666	15989.479	18612.682	16660.004	14429.377	16537.668	20224.814	14419.437	17969.496	15164.283	14585.236	15232.079	17659.791	16115.399	12441.608	17636.48	17892.588	17344.486	14738.991	18505.619	15477.751	19944.363	18221.535	14438.993	18104.549	16157.432	18637.158	14790.343	22553.045	18713.309	20439.223	15544.131	12748.228	14197.137	14188.628	13721.443	16642.273	16678.516	16253.927	19445.66	15830.702	17450.545	16854.035	16818.635	19215.201	19512.732	20791.959	24681.291	26685.344	21648.791	16041.695	15668.426	14975.918	15125.966	15249.7	13428.746	14793.074	18469.475	18395.592	14480.392	18623.102	22480.775	18903.318	16702.539	16469.379	14481.47	16677.299	13552.771	13880.556	19040.898	15252.049	18159.92	19621.07	14635.777	14379.868	31572.139	16195.291	14819.356	15413.346	14474.356	18281.32	14013.279	14380.492	15776.851	18363.84	14380.459	16528.635	14097.15	14884.091	17199.4	14513.302	14511.457	16192.903	20252.811	14255.779	14717.295	15351.512	14611.771	17801.678	30915.508	13602.151	16501.826	14986.797	13938.141	21529.189	20782.943	14350.465
0.934	18039.035	14773.028	15723.483	22987.027	16707.102	15793.044	14939.045	14600.588	19671.951	13571	19613.238	15105.26	14819.995	14068.428	18633.207	13966.432	16786.863	14088.414	14446.466	15215.721	16551.549	14531.544	12264.278	18526.299	15664.759	15270.688	13187.444	18393.652	15813.575	17806.529	18059.441	14273.012	16765.527	16314.979	19820.035	13681.462	20839.17	17383.049	17962.168	15117.038	13091.522	14883.495	14615.197	13437.601	15879.402	15956.765	15664.058	18025.033	15127.179	15278.444	18296.49	18477.191	18369.811	17658.555	20750.168	22583.221	25386.867	18590.273	14506.935	14222.888	13584.337	14519.008	14607.855	13999.966	14995.245	17745.109	17307.986	14618.561	16763.215	21338.873	16926.783	16140.754	15734.704	13599.382	17045.057	13910.462	13434.307	16624.215	15005.25	17125.303	17999.551	13793.912	13841.636	26939.238	15287.173	14310.161	15737.187	15546.79	16828.223	13476.262	15145.325	13593.977	18217.201	14195.333	15597.863	13502.109	14310.388	16780.689	14039.891	15101.943	15947.9	18479.711	13419.749	14197.497	14613.041	14815.764	16923.992	27817.385	13130.881	16709.059	13563.467	12553.478	18897.658	19482.414	12890.496
1.0674	17742.502	15382.189	14366.133	20436.695	16021.074	14235.312	15293.24	16971.076	21180.49	13617.298	18891.766	13909.823	14479.503	13092.985	18069.238	13153.201	16615.281	14141.341	14073.659	15134.521	16642.543	14123.073	12821.817	19169.729	15021.669	14972.104	12831.869	16567.703	15272.616	16885.189	17775.35	13860.453	17401.646	16516.582	19271.049	12776.319	17548.902	17103.682	16885.564	13799.073	13758.164	14065.817	14682.555	13062.723	15834.985	15446.821	15215.202	15945.203	14841.278	13705.412	18292.695	18255.699	18486.654	17363.154	20978.438	20420.162	23673.988	16323.645	14242.383	14155.076	13121.072	14317.528	13892.135	13670.329	16894.598	16602.404	16056.135	14250.424	14274.87	20662.801	15646.24	15649.552	15085.523	13972.325	17273.561	13687.284	12974.936	15315.671	14383.893	17816.658	16491.852	14261.822	13676.422	23812.773	14824.086	13926.048	16460.242	18452.312	15660.865	13627.371	16906.428	14367.154	16085.498	14376.978	15205.235	12932	14360.888	15264.503	13567.29	17154.369	16544.121	16690.723	13331.231	13998.06	14074.804	14885.218	14740.976	22332.525	11598.098	16423.191	13108.24	12349.54	16186.896	18341.559	11993.288
1.2008	16754.184	15979.695	12400.279	19680.203	14364.25	13927.624	14162.353	18454.953	19560.023	14434.87	17903.088	14491.552	13734.581	12200.065	18859.883	12113.084	15566.772	13411.003	14327.159	14375.116	15973.393	12614.328	13938.107	18026.781	14623.691	15030.312	12561.53	16431.201	14371.572	15470.32	15554.199	14066.221	17089.141	15642.317	17262.459	12352.205	16576.471	16871.156	16601.512	13894.986	12986.864	14096.222	15130.592	12459.546	16978.904	16709.938	14806.314	14574.69	14277.163	13233.55	17188.287	16914.592	17829.703	15790.102	20332.102	17855.051	21202.078	15709.93	13072.672	13679.632	12526.061	14638.785	13676.524	14130.201	17277.18	14912.852	16198.129	14385.512	13810.265	19630.496	15857.514	14697.697	16899.334	15295.517	17917.971	13963.701	12729.564	15155.127	14093.077	17816.727	15702.683	13867.687	13091.576	21514.164	13629.878	14187.84	17286.641	21689.494	15064.183	14716.906	16244.086	14072.142	15488.98	13856.829	14662.548	11784.803	14350.891	15210.124	13839.101	16686.996	19162.148	16752.777	12104.029	12644.868	12690.029	14251.408	13799.314	18467.02	11699.589	14809.331	13430.223	13232.188	14520.326	17220.139	11432.899
