x	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_6g	Y_20181208_15693b_3_20g	Y_20181208_15693b_3_2g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_3g	Y_20181208_15693b_7_13g	Y_20181208_15693b_8_15g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	10651.8438	10274.8096	9907.4863	13068.4434	10978.1582	9634.7871	11451.3643	9656.6494	10668.6348	12294.9668	12439.8438	14195.6562	10725.1729	10688.7891	9270.4893	11368.4287	11808.0205	10609.167	11511.7412	11460.5225
0.1334	10621.3135	11282.502	10588.8555	13577.835	11818.3613	9972.4551	11387.4316	10540.3018	11855.083	12441.8564	14599.208	17481.2168	11038.6758	12618.5703	9306.6035	12347.7578	11366.8643	10706.4893	12761.9707	13445.1504
0.2668	11060.7344	14172.3398	11122.3418	15898.6992	12463.7471	10503.165	11928.0557	11299.4287	13545.9453	12869.0967	18522.9062	17835.5352	12155.0176	13587.3818	9761.0469	14675.2129	12298.3447	11366.7305	15947.3486	17165.4844
0.4003	12696.5303	17781.1875	11423.9004	18876.6426	13512.8369	12680.8691	12764.8926	13112.5674	16016.0947	14177.4141	20562.0332	16819.5859	13387.2832	13274.9287	9908.3564	18675.9375	14490.1104	11588.4111	18328.5098	18451.1543
0.5337	15461.833	18754.373	12059.8438	23015.2969	13001.001	15132.8711	14565.5537	14552.7842	18206.3223	16875.2734	19806.293	16082.1709	16095.2363	13524.4219	10928.4922	19492.5273	17111.2852	12394.877	16750.5684	17022.5273
0.6671	17841.5391	16982.5605	12925.6777	20738.7832	11922.0361	15890.5049	15376.5625	13925.3809	20254.5098	16639.582	18790.8926	15346.7422	17687.8184	13739.6006	12928.8135	18885.8945	18234.1035	13388.1152	14300.8057	13376.5605
0.8005	15780.3867	15578.7432	13570.0713	18853.8047	11641.3564	15725.9023	15757.1709	12540.6318	18904.6641	14603	18729.7012	17048.2891	17939.0332	13262.9561	13456.1816	18097.8809	15874.4346	14960.7373	13743.7969	12969.9219
0.934	14189.4932	13958.0186	12682.1953	17829.7441	10873.4014	13995.2168	15174.6768	12290.1943	18080.166	13293.0576	18013.8066	16329.3945	15810.2383	12789.5068	14856.4219	16751.1738	13868.748	15694.6289	13766.6787	13310.7715
1.0674	13402.6289	13956.4189	11593.5762	16051.3848	10828.0684	13593.3467	13617.9482	11215.3047	17830.2422	12904.1211	16183.752	15595.4775	15076.4033	13279.9795	16522.9414	14951.3008	12923.8154	14654.6309	14133.7324	13043.5527
1.2008	13691.8955	14360.0264	12152.0928	15312.0986	11298.1758	14347.1572	13309.4932	12882.6494	16861.8789	13003.0303	15584.1162	15200.6602	14036.5928	13440.3838	17534.5625	14554.8008	11999.501	13463.2363	14002.8174	12999.4863
1.3342	13331.3779	14260.3301	11741.1602	14802.1973	10734.5	13583.1152	12677.6055	13358.9209	17956.4805	12836.1475	14673.5547	15249.4531	14098.1709	13307.9258	16978.1133	13919.2969	12166.9443	12152.4658	13815.417	13399.8535
1.4676	14407.9141	14247.8584	11650.5557	14517.5449	10401.8438	15070.8584	12643.251	14340.3672	17031.4023	13028.2773	15436.6699	14107.2998	13520.3184	12822.7168	17789.5312	13364.2588	11938.1191	12237.498	12983.0381	12854.9512
1.6011	14342.7266	14315.5645	12248.7139	14388.707	10929.7812	15828.6572	12515.9766	13862.2373	16684.748	12860.0742	14949.1523	13910.1133	12087.5605	12924.6709	15569.9844	12577.623	11464.9062	11699.0635	12178.0195	12997.8818
1.7345	14301.9639	14497.3271	12684.8408	13296.4424	11966.1797	15777.2393	12540.5342	13766.5088	16829.3867	13136.2422	14697.7461	13362.6006	11566.4922	11676.5498	14232.876	11983.5947	11157.4609	11816.8516	12853.9648	13566.3213
1.8679	13434.6436	15421.6729	13403.3828	13462.2881	13300.0127	15151.4336	12326.0361	14782.9893	16176.8877	13118.6475	13241.3936	13282.6914	11185.8555	11777.4014	13485.5029	12143.5439	12378.7266	11839.0664	13806.2451	13886.1885
2.0013	12479.7734	14768.3115	14724.3018	12076.5459	12472.3027	14265.4766	12517.5244	14849.9141	15046.2051	14405.9512	12622.3066	13533.7891	10704.3623	11803.833	13480.377	11663.7578	12469.5322	11908.209	13281.9473	13990.6836
2.1347	11927.5752	13967.1738	13810.7832	13201.584	11709.2363	13218.8018	12913.6064	14346.2158	15117.377	15187.5469	13524.1895	12875.6904	11434.376	11723.7188	13467.1484	11736.2227	12124.291	12460.7295	12512.7148	15011.1963
2.2682	11610.0527	14247.5371	13421.5088	14118.4541	11226.7334	12819.7158	12937.6865	13785.8145	14938.1396	15165.1514	14758.4111	13530.6465	11310.9072	12134.499	13519.4268	11937.4424	11521.6543	13020.8574	13209.7002	15769.7432
2.4016	11929.5156	14888.002	12590.4023	13692.7744	12022.4443	13070.1025	12670.5059	13249.6143	14453.2246	15248.543	14459.1611	13302.8193	11841.9482	12345.9785	13254.5039	11208.8662	11787.751	14493.1943	14335.5381	15049.0742
2.535	12025.4688	14007.582	12384.8447	14945.2607	11668.4756	12739.7607	12678.9248	12530.4277	14642.5801	15795.4463	14998.7148	13586.3828	13852.5342	13047.3135	13085.5059	12038.1992	13228.2559	14367.9482	15202.709	13614.0273
2.6684	12965.4746	12364.7061	12932.7354	15112.4443	10974.3818	12641.3496	12545.6787	12665.0381	13834.5342	16500.1602	14786.3506	13469.4355	13505.5518	12941.7148	13051.208	12429.3027	13634.0723	14001.1953	15159.4512	13460.1025
2.8019	12119.9951	12192.4824	12905.8984	14594.9072	11969.9102	12571.7646	12843.3564	12250.6387	13705.6885	16163.8818	13317.5703	13665.8682	12033.5918	12378.7773	12602.8496	11974.0684	13695.1133	13295.5352	14608.8086	12649.1074
2.9353	12128.9443	12533.9316	12023.3164	14316.1113	11662.125	13184.2451	13409.3574	11793.1758	13678.1602	14786.9717	12584.4619	13149.2549	11131.3457	12355.9502	12839.7881	11514.0352	12381.3301	13446.1982	13163.0176	12295.8418
3.0687	11736.0332	11874.0752	11438.0527	12826.9492	11440.7178	12774.6973	11887.9727	11967.1748	13980.8301	13795.1611	12478.833	13140.7305	10895.2148	12142.0664	12750.8223	12410.9258	12494.6768	14820.1562	12619.1221	11721.8223
3.2021	12119.9717	11183.3018	11546.0908	12888.1885	11232.8799	13940.7568	11968.874	12646.8594	12386.5391	13880.9316	11891.2998	13454.3779	11753.4531	12351.2998	14285.5654	11961.8242	12033.5273	14013.5264	12195.1699	12508.3994
3.3355	11842.3291	11162.3516	11426.8945	11830.2754	11043.5625	13828.8584	12384.4873	12539.1152	13066.418	13744.2705	12447.4033	13579.0049	11510.9258	11661.8535	14208.7939	11385.9258	11872.6953	13696.1729	12075.7236	11586.6475
3.469	11852.127	10906.9727	11875.1572	11311.9355	11570.748	13470.7363	12270.3408	11740.166	12737.0986	13055.835	12186.2656	13176.7607	11467.46	11205.5049	14450.0205	12135.3965	11227.1377	13854.8789	12937.7012	11499.1328
3.6024	11431.3252	11594.5361	11161.373	11744.2461	NaN	13411.1562	11660.8662	12401.9258	12229.3154	12314.9492	12528.2295	NaN	11392.2822	NaN	14302.0479	13001.4414	10639.5264	13437.9424	12335.3496	11513.9844
3.7358	11295.6611	12432.3809	11434.5	11014.2051	NaN	13688.9766	11274.8945	NaN	12554.6436	11826.7754	11935.9961	NaN	11417.3369	NaN	13198.6465	12090.5381	11217.6475	12427.1836	12006.9385	11109.7178
3.8692	11281.2295	11911.9102	11552.6816	11443.8125	NaN	13672.6445	11390.4375	NaN	11840.0342	NaN	12372.0693	NaN	11718.2129	NaN	12420.8223	NaN	10611.2822	11691.0801	12319.9043	NaN
4.0027	11204.4219	11735.0225	NaN	10962.1729	NaN	12822.4395	NaN	NaN	10664.8838	NaN	NaN	NaN	11261.3145	NaN	12023.6758	NaN	11040.2949	11311.3975	11777.623	NaN
4.1361	11277.7783	12025.2041	NaN	11427.4639	NaN	12477.7188	NaN	NaN	10875.4355	NaN	NaN	NaN	11657.3066	NaN	11704.5996	NaN	10887.8828	11363.8145	NaN	NaN
4.2695	NaN	12272.7451	NaN	11064.1172	NaN	NaN	NaN	NaN	10987.2705	NaN	NaN	NaN	11742.6777	NaN	12420.7695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	11368.4551	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11044.7002	NaN	11442.4678	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12207.0186	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11722.584	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
