x	Y_20180224_15100_11_1g	Y_20180224_15100_12_2g	Y_20180224_15100_13_2g	Y_20180224_15100_13_6g	Y_20180224_15100_2_4g	Y_20180224_15100_2_9g	Y_20180224_15100_21_1g	Y_20180224_15100_21_7g	Y_20180224_15100_22_6_1g	Y_20180224_15100_23_1g	Y_20180224_15100_23_2g	Y_20180224_15100_24_3g	Y_20180224_15100_26_6g	Y_20180224_15100_29_1g	Y_20180224_15100_33_2g	Y_20180224_15100_4_1_2g	Y_20180224_15100_6_9g	Y_20180224_15100_7_13g	Y_20180224_15100_9_6g
0	16147.279	13817.035	16474.246	17287.379	14685.017	14721.531	15490.473	16185.013	16012.437	17086.465	14104.589	17607.297	15437.915	15748.755	15327.24	16201.301	14456.53	15332.94	16395.725
0.1334	18503.5	14357.502	15793.676	17482.527	15449.359	17086.223	15713.464	15468.749	18069.082	16698.592	13762.073	17624.121	16601.182	17578.494	17036.404	15883.494	14811.35	14951.571	17071.221
0.2668	24749.52	15881.634	18862.686	17646.68	18066.281	18950.178	16617.459	16498.998	20970.074	17060.672	14107.48	18570.898	18725.383	20150.281	20017.953	17469.092	16159.971	15894.652	19282.182
0.4003	31520.377	19407.424	23790.688	19839.898	23556.447	21379.926	20295.898	17661.346	25946.523	21255.92	14518.922	20697.537	19087.422	22921.574	26091.273	20801.371	19675.689	16508.754	23050.238
0.5337	31672.291	24420.887	30582.74	22742.162	28302.902	26306.541	22970.162	20656.008	29870.477	24786.576	16450.184	24484.783	19517.455	23455.275	26012.992	24788.477	26776.951	17850.283	32075.049
0.6671	24840.207	25335.533	34677.805	25164.182	24856.535	27340.615	21590.023	27414.701	25358.121	26750.746	17120.67	25341.605	17753.236	22038.73	23216.209	27663.043	30385.043	23071.406	39395.316
0.8005	21930.283	20353.051	28704.682	22446.078	21252.064	22968.99	19262.072	32879.879	21502.041	24294.027	16978.535	23711.363	17966.662	20713.18	20503.602	26336.457	25432.219	28265.516	31106.969
0.934	20259.9	17670.553	22836.865	22238.541	17020.102	20258.178	18499.135	31814.635	20242.148	20671.086	16388.643	20958.301	17339.398	19124.254	18517.846	23776.281	22358.096	26092.633	24680.961
1.0674	20263.463	15391.75	20367.215	21218.523	17119.85	19602.537	19833.023	26935.914	18492.143	18706.627	15302.146	19767.943	16344.319	17196.811	18086.26	22564.73	21497.408	21813.191	21171.631
1.2008	21245.275	15433.521	19680.756	19374.098	18732.117	20123.412	19865.844	21323.295	18155.283	16854.656	15133.367	19549.43	15347.489	15901.724	17125.736	19867.281	19707.355	19061.869	19054.158
1.3342	20766.172	15475.501	18653.82	18142.973	19918.877	19933.166	21406.203	19725.387	18221.928	16254.615	14240.261	19254.143	14716.177	15787.77	16141.649	20628.967	19947.154	19509.234	17710.584
1.4676	19341.029	16393.406	17704.619	17636.018	18320.961	20519.146	20838.852	19361.846	19731.023	15566.895	14094.572	19300.309	14369.239	15054.739	15608.737	20175.441	20061.504	21315.453	15792.521
1.6011	18381.332	16222.477	16153.965	16002.536	17338.807	20357.975	20412.922	19120.898	19524.49	15494.964	15009.764	18444.73	14866.596	15871.822	17769.525	23043.803	20722.045	24991.746	16425.172
1.7345	17150.354	17353.305	15674.416	16650.809	16972.336	20502.486	22220.344	19255.074	18601.926	16066.562	15316.202	19036.285	15948.545	16011.59	19892.857	27309.139	20525.922	24244.375	16758.498
1.8679	17837.395	16768.119	15229.168	17043.715	16693.701	19793.432	22784.057	20079.246	17088.809	15824.395	15630.695	20356.799	15320.39	16383.737	24312.574	28896.229	19130.309	22584.518	19192.1
2.0013	17912.85	17892.17	15263.396	19994.637	16243.42	18420.641	21750.201	18558.887	17686.738	15767.77	14553.817	20303.252	15296.028	14603.137	24385.053	28842.918	18245.617	23310.947	20389.332
2.1348	17288.502	19969.416	16033.119	21372.07	16291.759	17985.643	18018.389	19697.699	17837.172	15890.268	14619.067	20093.131	15292.33	14714.444	19667.229	24380.93	19226.652	22313.6	20474.523
2.2682	16056.038	19130.158	15607.229	18852.67	16097.631	16821.91	15619.125	20933.467	17671.146	15695.818	14440.925	17564.004	14845.607	15313.88	16286.891	20017.633	19489.865	22191.469	18535.752
2.4016	15925.624	19834.324	15000.309	16091.771	15300.798	15667.129	15770.263	18719.225	16870.258	15780.688	14472.718	16212.961	14775.979	15661.422	15760.394	17469.537	17922.408	21142.592	16560.463
2.535	16249.628	19117.639	15203.036	15600.027	15686.281	15421.297	NaN	16666.369	15508.2	15503.288	13784.91	15440.193	14461.693	16073.561	15116.746	16605.191	16615.443	20784.758	16277.479
2.6684	16346.977	NaN	15508.491	14692.226	15739.344	15189.286	NaN	15731.374	15129.872	15258.575	13888.767	NaN	NaN	15623.807	NaN	15846.865	16024.534	21482.395	16067.083
2.8019	16014.19	NaN	15847.438	15132.573	NaN	15296.695	NaN	16830.121	NaN	14895.002	14597.511	NaN	NaN	NaN	NaN	15420.901	NaN	20477.941	15308.32
2.9353	NaN	NaN	15382.411	15237.235	NaN	15279.916	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14820.176	NaN	19107.984	15447.788
3.0687	NaN	NaN	NaN	15526.749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17703.934	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
