x	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_4g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_2_2g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_3g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_6g
0	10258.4209	12185.1094	11170.6523	10392.123	15117.458	10974.749	11382.667	10091.2812	12761.5762	11570.4727	10548.5215	12356.0674	8895.3994	9899.4072	12490.502	12577.4912	11686.0557	10148.333	11414.585	12055.8223	11398.7061	14118.6445
0.1334	10888.4854	12601.7715	11867.1748	11158.2861	15408.0742	11202.1758	11670.0303	10468.376	12648.0068	11794.0459	11433.0742	13514.4219	9626.25	10136.7578	13408.7305	13602.3242	12340.5635	11873.6797	12729.498	13052.9209	12085.3027	14697.7959
0.2668	13660.2217	12612.4717	13704.7275	12544.1787	17681.6562	11625.5303	12624.585	11063.7939	13511.5283	12714.8379	13241.249	16364.3877	10349.7344	11033.2002	14843.8574	15409.0723	13682.9404	15981.6387	14480.4834	14635.6963	13061.2812	16850.2676
0.4003	16539.8047	13798.0947	15435.3369	15126.0479	21132.3887	12184	14831.4609	14318.21	16049.4766	14913.2041	14973.3652	16569.4355	11056.3604	11825.9834	18050.332	17019.3574	16907.2109	18848.7695	16704.0059	15077.3184	14018.707	19175.3164
0.5337	18193.6582	13570.6426	17111.1094	15684.2451	22352.3027	13181.5508	15925.7559	18216.6191	17610.2793	17614.4102	18947.8789	14017.2354	13570.666	12871.876	21347.7188	17401.8223	18025.627	18142.1582	19229.6465	14532.4814	15731.2529	19398.5586
0.6671	17377.0586	15852.7959	16595.8535	14699.2852	22631.6523	15717.9883	16744.6211	21462.3418	17136.4219	20410.084	21121.0273	12465.4355	19003.418	13913.7314	19937.5547	15757.6133	17094.1758	15653.3721	20208.5508	13259.8672	15670.96	18025.8906
0.8005	13545.0303	15326.9766	15175.3955	13207.2324	20850.2539	16323.9043	15530.5791	19335.1211	14617.0479	17735.9219	20132.9199	12379.7979	19692.3867	14100.3369	19279.248	14712.8965	14494.7852	16097.3311	18524.0879	12770.0811	14341.1162	16399.1211
0.934	12714.4922	15169.75	13320.5322	13331.7041	18983.457	15962.293	15120.4854	18533.043	13526.7432	15720.4844	16358.2783	13793.9072	15535.4453	13596.54	18490.5879	15180.1484	13154.5957	15396.8037	17567.2637	12974.8467	13612.6338	15667.4678
1.0674	11859.248	14299.8828	13164.998	14006.4365	17296.1562	14829.4775	13928.209	16946.5488	13730.5898	15430.2812	15953.793	14281.3115	13079.5928	12640.7207	16557.0078	14509.626	12553.2539	14995.3955	17277.877	13628.75	13612.5137	14442.7393
1.2008	12453.584	12872.625	12717.4053	13417.5059	18013.9258	13978.9902	12805.2715	15912.0049	13754.5996	15236.4912	14724.9854	13357.1221	12434.3623	12261.1094	15779.1758	13357.6309	12391.9883	14482.0342	17869.3086	13355.8789	13549.7803	12993.249
1.3342	13708.5146	12679.8701	12274.6426	13095.9238	16233.6494	13512.252	12875.0078	14890.4287	13321.3428	13547.4971	15069.6553	12312.9404	12891.2607	12281.0234	16290.5361	13382.0254	11696.2852	14907.6113	18508.8516	13652.5938	12756.9824	13366.5518
1.4676	14487.1172	13481.4434	12276.7217	12613.9863	14985.0361	13362.1855	12510.1426	13548.8447	13071.1387	12480.0557	15435.9492	11880.8945	12757.1904	12016.8262	15809.751	12188.1943	11154.0479	14824.1055	17553.6914	13365.1738	13307.5469	13333.334
