x	Y_20181208_15693_1_10g	Y_20181208_15693_1_14g	Y_20181208_15693_1_4g	Y_20181208_15693_1_6g	Y_20181208_15693_10_14g	Y_20181208_15693_11_11g	Y_20181208_15693_12_6g	Y_20181208_15693_13_3g	Y_20181208_15693_13_6g	Y_20181208_15693_14_13g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_2_7g	Y_20181208_15693_20_5g	Y_20181208_15693_3_9g	Y_20181208_15693_6_2g	Y_20181208_15693_7_2g	Y_20181208_15693_8_3g	Y_20181208_15693_9_11g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_6g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_6g	Y_20181208_15693b_3_20g	Y_20181208_15693b_3_2g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_3g	Y_20181208_15693b_7_13g	Y_20181208_15693b_8_15g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	29801.5176	30786.9863	28825.6777	29334.7812	32932.3594	30891.0078	27977.3418	31034.4082	27771.9668	31349.9004	28023.5703	31897.0566	32144.1387	27299.1875	27634.4277	29421.4961	30880.9922	28053.7168	27619.4531	30318.9531	25970.9512	28280.5605	30729.3809	30322.4824	25799.4805	29333.8691	28143.9473	28699.9102	29331.6465	27668.8477	31323.8789	27760.5684	32246.7637	28700.377	29764.166	26078.8047	27767.9004	29528.1895	29189.293	26602.916	27684.1953	28107.2598	29955.8633
0.1334	31687.1699	31341.9922	29376.8105	28735.3125	31987.9844	30190.5098	27494.1582	29899.3691	30015.7031	32101.709	29245.5332	31190.7695	31309.8125	27472.4961	28388.1387	29268.3223	30019.4297	27489.1211	29384.9434	32186.5234	26909.3496	29141.2246	29230.1191	30622.3184	26756.7871	28067.0996	28512.3398	28793.8984	30360.2891	26669.5	30858.3379	27570.0859	32640.8359	29506.707	30306.7129	27598.7891	27049.0586	28588.6504	29171.2188	29506.4863	28693.1875	27086.8906	31107.709
0.2668	30766.4336	32388.2188	29354.8027	28615.0371	31661.8027	30367.8887	28169.5391	30459.791	27564.2168	32750.0059	29264.8359	29825.4434	30451.8398	28181.3691	28222.8379	29788.6836	29891.8262	28408.5215	29622.8223	31494.9512	27759.8125	27442.6152	31202.8242	31093.0898	26729.8242	29325.6309	28798.6543	28301.7949	29474.8828	27792.8223	30694.4941	28037.7461	32755.5508	30280.582	30294.9902	26597.7305	27660.1758	29507.5508	30495.7832	29330.6816	28180.1289	27485.1719	30543.3887
0.4003	32924.1641	31462.7539	29641.5566	29141.9043	31690.2891	31881.9414	28802.1816	31619.4688	28230.2988	32419.002	27637.0391	29231.1797	32180.9219	28704.2539	29241.2168	30158.9785	29801.1074	28637.4746	30304.0977	30544.8184	28910.207	28011.7188	31376.2012	31001.6074	27521.1934	29693.6523	29369.5625	28485.791	30447.7852	28872.0215	30331.0879	27144.7207	31416.8555	30954.0723	28166.4531	27115.2441	27513.7539	29358.3359	28800.457	28515.418	29864.1055	27408.3848	30491.7422
0.5337	32168.3359	31580.9551	29845.3477	29593.9922	33169.2422	30777.0703	27725.8379	32021.8789	28350.3359	32481.5566	26491.5293	30477.8613	31317.9199	29123.582	28812.7891	29395.5879	30001.5098	29595.3203	29779.3242	32121.3867	29377.2207	30089.5039	30873	31932.6797	28713.207	28181.7812	29429.0703	28568.2891	29642.9648	29581.9727	30805.2949	28941.0801	32878.8945	30694.9766	29143.6797	27299.1758	27223.9688	28310.8594	29040.6699	29168.9199	30474.293	27909.8105	30463.9141
0.6671	31534.8047	31743.2383	28821.7969	28547.4258	32938.3867	30106.6777	28640.6055	32191.3105	28847.084	32809.3789	25635.6016	30625.6875	29876.3516	29694.9355	28726.2246	29881.1172	29254.9688	29008.3457	29228.4473	31957.7656	29450.3262	28971.5684	30872.5527	31754.9199	28901.002	28740.6289	26922.6953	28726.6523	30051.3477	29287.1934	29627.2305	28617.0762	31814.0117	30326.3203	28590.5117	25585.3672	28034.8906	28166.1953	30392.1406	27580.1973	29917.9102	27323.7715	30806.1445
0.8005	30712.7715	31981.707	29684.3125	28972.8711	32488.7734	31539.4316	28654.3535	30954.9375	28396.8945	34172.5352	24849.6387	29660.5234	30209.4961	28807.6172	29192.4395	29015.6348	28872.2949	29739.5566	29302.5273	30728.498	30247.9434	28060.5098	30992.4414	31118.5039	28121.793	29816.5195	28650.2676	28634.4355	29862.5977	29059.3906	28799.2441	28398.7793	31290.2227	31639.3594	28746.5703	26096.2578	27707.1426	29718.6309	29831.6953	28779.3223	29129.0215	27267.707	29461.6484
0.934	30675.1094	33735.4922	30601.6777	29569.8008	32226.6152	31695.4961	30044.1836	31839.9453	28918.7266	34033.9766	26018.5605	29123.6406	32707.2617	30182.9844	29231.7988	28532.0879	29678.8242	29109.1562	29175.5078	29810.916	29962.3711	28392.2773	30290	32191.4082	28712.8867	30744.2461	28394.7324	27570.6113	30355.1777	27410.1699	29502.5742	27753.502	31989.373	30677.4629	27572.5508	26285.4492	27456.625	29699.2109	28695.0098	29855.8223	29090.5801	29002.9609	30546.8867
1.0674	30268.7617	34021.9961	27830.8496	29613.3613	32596.1016	30870.8223	28868.3027	31074.2051	28792.2812	33284.1836	27608.0293	29207.2949	30478.3398	29781.9492	27877.5059	29073.3398	30327.7461	29333.9707	30503.3379	30732.9434	29443.6777	28873.6758	31402.293	31090.7656	27331.2715	30472.0742	26695.166	28390.9434	29495.498	27899.8652	30159.3535	27680.1641	33439.5391	30972.666	28197.4062	27332.9609	28833.6191	28531.8086	30659.9922	28429.8906	28824.3477	28120.4062	30272.7988
1.2008	29026.9023	31954.1387	31704.2207	26807.1016	31945.7266	30614.127	28371.9863	30756.4492	27852.5469	34174.2617	25881.2227	30151.1172	30614.1055	29519.6406	28846.6875	29699.2773	27884.25	28235.7832	30063.8633	30451.1172	30448.043	29563.1816	30883.8145	30969.1855	27667.998	29614.627	27669.1445	27551.7695	29913.0664	26836.4395	30626.7676	27643.1152	32511.041	30905.9707	28118.4238	27017.6875	28682.498	28581.627	30030.2754	28412.6309	27955.457	27139.2461	31346.9941
