x	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_12_8g	Y_20181208_15692b_17_5g
0	29831.8652	30838.9062	30275.4531	29709.0391	28095.2109
0.1334	31442.1484	31133.6074	30765.2109	28890.0059	28715.2656
0.2668	32596.2949	30125.3477	30705.4688	29438.0469	28024.0469
0.4003	36360.9023	30308.2617	30983.3652	29519.8457	29030.7559
0.5337	44560.957	28967.252	30497.2051	30452.6914	28486.8965
0.6671	63064.4609	29750.3906	29493.1035	29119.7168	28641.5293
0.8005	78840.0312	29502.4473	31107.8066	30561.1328	30315.5312
0.934	76086.0156	30755.4648	31134.0488	29870.3984	30865.7188
1.0674	54775	32536.9609	30817.6934	29526.7207	30942.7012
1.2008	39735.5195	34006.75	30621.9277	30542.002	31802.541
1.3342	35639.2773	39930.8242	33831.6992	30451.6797	32749.8809
1.4676	33702.1719	52891.418	46533.3359	31813.3848	32652.7207
1.6011	32359.0469	71812.6719	50922.0234	33041.6094	32956.1133
1.7345	32882.6875	76814.9844	53079.4961	38023.9258	33231.7266
1.8679	32063.2168	59812.8867	42873.2617	48170.2344	34325.5938
2.0013	NaN	43718.1133	35774.0469	63082.9258	35934.2852
2.1347	NaN	36257.7148	33848.043	62245.0898	37039.0898
2.2682	NaN	31556.8477	NaN	45378.4961	33490.9062
2.4016	NaN	NaN	NaN	35654.3086	31426.0371
2.535	NaN	NaN	NaN	30876.3008	33052
2.6684	NaN	NaN	NaN	31693.0977	NaN
2.8019	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
