x	Y_20180224_15102_1_2g	Y_20180224_15102_11_8g	Y_20180224_15102_11_9g	Y_20180224_15102_12_15g	Y_20180224_15102_12_5g	Y_20180224_15102_12_7g	Y_20180224_15102_12_9g	Y_20180224_15102_13_7g	Y_20180224_15102_15_13g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_3g	Y_20180224_15102_15_7g	Y_20180224_15102_16_3g	Y_20180224_15102_16_5g	Y_20180224_15102_17_2g	Y_20180224_15102_18_3_1g	Y_20180224_15102_18_3_2g	Y_20180224_15102_19_2g	Y_20180224_15102_19_3g	Y_20180224_15102_2_6g	Y_20180224_15102_20_12g	Y_20180224_15102_21_1_S_g	Y_20180224_15102_21_3g	Y_20180224_15102_23_1g	Y_20180224_15102_23_5g	Y_20180224_15102_23_8g	Y_20180224_15102_23_9g	Y_20180224_15102_24_3g	Y_20180224_15102_25_6g	Y_20180224_15102_27_14g	Y_20180224_15102_27_3g	Y_20180224_15102_28_10_S_g	Y_20180224_15102_29_4_1g	Y_20180224_15102_4_11g	Y_20180224_15102_5_1g	Y_20180224_15102_5_5g	Y_20180224_15102_6_3g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_8_2g	Y_20180224_15102_8_8g	Y_20180224_15102_9_5g
0	38225.828	37588.562	38994.84	37430.328	40679.398	33843.547	39153.492	37799.043	38450.055	31981.049	37472.414	38169.531	33984.723	38309.117	35111.332	35515.41	35952.41	35513.191	34856.105	41846.582	32837.254	33550.398	41109.586	38888.773	33924.707	35212.848	32613.82	37862.91	33139.152	37739.988	36359	36570.277	32979.219	35559.031	34429.699	39496.613	36752.863	39242.078	38730.434	35947.375	39180.824	39406.406
0.1334	38416.73	37150.703	39952.32	35934.137	40409.598	34666.277	36776.809	39006.258	39700.914	32617.689	35984.113	41049.793	34280.109	41057.719	35222.09	34615.438	35574.195	34490.395	35439.055	42923.324	33588.617	33757.785	41486.617	37157.59	34146.605	35601.363	32490.951	39474.703	33393.422	39311.25	36733.047	35695.883	33540.93	34592.555	36100.527	40668.809	36630.238	38206.586	39088.773	36779.348	39123.652	39660.609
0.2668	39650.094	37509.941	38395.246	35385.508	41521.828	35870.637	37391.891	38160.895	39569.422	32170.723	35290.453	41923.641	33945.699	39014.051	34778.785	35283.164	34740.699	34677.031	34280.621	42563.191	31945.992	34134.672	40797.625	38782.328	35102.629	34953.047	31858.242	39635.605	34778.121	40679.086	37861.266	34354.07	33402.496	35034.695	36420.34	39886.266	34952.918	38016.191	38591.812	36310.195	40347.008	39098.254
0.4003	37885.75	37667.246	38408.238	35757.773	41539.859	35041.891	39100.168	38392.184	37651.652	32386.381	38079.395	40584.48	34921.797	40680.922	36066.066	36484.188	35615.652	35742.828	34399.012	44598.934	32351.402	31639.793	41288.703	39563.656	36790.539	34060.82	33340.641	40530.504	34062.293	39334.457	38128.594	34230.52	33789.316	34448.355	35573.066	39519.027	35638.332	39094.238	39479.488	37125.102	38825.824	41290.16
0.5337	38070.242	37126.723	38979.422	36305.73	40033.047	35492.879	38734.152	37739.637	38394.266	32030.93	36658.41	39001.145	33121.039	41018.082	35801.641	34662.832	35025.848	36108.027	33478.992	43347.277	33469.992	31427.66	42357.508	38489.465	37754.871	34158.602	32309.988	39194.82	32730.115	40211.023	37031.371	35643.625	33309.844	36070.43	36420.484	39318.754	34795.383	39618.895	41067.016	37321.52	37734.809	40464.293
0.6671	38174.062	37470.465	39659.688	36488.598	39885.402	35469.082	39529.344	37750.25	36638.098	32106.643	36668.035	41167.613	32460.959	40918.699	35252.312	35416.707	35993.535	35928.281	35457.273	42003.859	32852.227	31972.361	40700.453	39071.902	36992.355	34488.711	32902.539	40771.074	33335.359	40353.859	38626.762	36273.848	33813.43	34422.812	35353.949	39585.938	34915.527	40390.578	41913.043	37738.621	37184.973	39866.039
0.8005	37819.012	37362.613	38706.434	37585.352	40690.164	34795.676	38291.828	39181.445	35982.023	32262.033	38272.078	39307.43	34350.469	39526.148	35170.621	35338.867	36240.578	35768.379	35453.906	43306.367	32717.113	31570.418	42652.816	38459.191	38434.184	36006.672	33892.613	40961.773	33856.242	38399.734	38350.082	35333.508	33029.188	34793.199	36724.754	39864.184	36626.766	39232.441	41136.785	38278.801	37030.359	40102.137
0.934	38955.16	36393.414	39556.523	37971.355	39912.957	36259.961	36963.324	40480.789	36071.859	31275.994	38384.07	39002.461	34494.32	38512.281	34286.461	35835.012	35590.383	35514.824	35894.098	44255.422	33561.887	32366.582	43061.332	39186.293	41637.793	35203.246	34402.684	42319.703	34052.711	38671.078	39783.281	35901.684	32918.527	35922.023	36987.609	38878.188	35548.629	38358.805	40080.551	36971.961	35916.867	39104.289
1.0674	37801.305	37933.395	38144.242	40402.023	39176.73	35295.055	37835.82	40063.465	37330.422	33292.949	38719.598	38328.234	35800.141	37224.504	33900.773	36205.992	37874.945	35513.047	34147.043	43001.32	33209.18	34056.84	41980.039	38982.586	38515.465	35052.707	33428.125	41324.133	33589.484	39017.629	38648.648	36493.844	33922.004	35902.445	34470.27	38533.246	36510.129	38468.145	40068.469	35692.422	36791.098	39553.836
1.2008	37043.082	39635.887	39729.812	39817.926	40069.977	35468.258	40305.098	39701.637	36913.844	32150.631	37573.859	39823.184	33543.195	36710.945	33241.32	35841.168	36453.977	36873.965	35940.496	42035.461	32852.273	31374.51	41899.008	39111.836	37154.434	34597.691	32151.73	40454.547	32857.125	39737.316	39540.469	36072.926	34394.168	34825.641	36461.383	37555.543	35442.668	40179.621	39599.621	36973.438	36683.18	38400.691
1.3342	37153.172	38386.098	41237.984	39953.844	39091.727	35027.766	38338.594	39876.02	36397.676	33019.898	37399.969	37924.59	33931.414	37580.77	34459.656	37070.973	36836.699	37781.738	36166.918	41862.551	33381.391	32793.391	43906.449	39005.5	36793.41	33965.562	31970.502	40379.355	32739.312	38251.562	38659.062	35712.871	37159.055	35257.34	36278.844	38263.117	34055.629	41098.785	40291.176	36911.941	37047.484	37478.844
1.4676	37840.191	38480.539	41509.672	38262.309	39036.09	36117.031	39324.344	40832.52	35222.996	34351.938	38378.012	39528.508	33927.484	34906.652	33380.242	36984.957	36588.539	37799.844	36920.387	41214.5	34089.66	34310.977	42906.59	38261.027	37388.75	34678.773	33299.969	40733.301	31964.977	40801.613	39405.23	37595.664	38271.285	37504.105	38404.141	41034.734	35148.434	42887.449	39733.898	36106.594	39515.219	40034.09
1.6011	37584.574	39444.816	48630.191	38857.906	39963.984	38017.238	40017.465	42662.102	36918.938	35222.34	41463.281	39220.449	34144.738	36900.824	36444.172	36789.285	37051.348	38810.078	39111.75	42947.035	34957.691	37367.723	45170.414	41527.699	37059.453	35833.223	33333.246	40538.613	32266.836	43911.965	39841.93	42193.355	40271.172	39426.617	39743.453	41155.297	36225.957	46676.461	41684.824	34591.289	38943.082	42327.941
1.7345	38747.301	39677.57	61389.523	41699.613	42051.859	38420.262	41590.148	42570.324	38477.887	37578.539	47475.539	41644.75	35894.473	37231.688	36788.984	38075.746	39377.031	41579.836	40799.469	43747.246	35230.246	39340.047	48313.488	49649.977	40912.484	36404.57	34910.949	42113.922	32600.363	51754.105	41521.797	45381.98	42142.16	39542.598	42666.051	42473.82	35992.852	59615.375	45653.789	35272.137	41182.48	51401.289
1.8679	41718.312	41423.852	78531.375	44663.781	46794.508	42857.746	46820.512	43051.285	45239.43	44126.855	58780.738	49579.395	38310.711	38230.047	40786.961	39985.941	40360.395	46741.961	50055.41	48759.887	40351.75	50338.484	54500.156	69658.508	46877.863	37885.215	38927.852	49632.238	33163.641	70174.867	44119.945	53062.094	53907.395	42818.234	49392.656	45836.277	36509.414	87034.406	57155.41	37443.098	52258.785	69715.852
