x	Y_20180212_14590b_1_10g	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_2g	Y_20180212_14590b_1_5g	Y_20180212_14590b_1_6g	Y_20180212_14590b_1_7g	Y_20180212_14590b_1_8g	Y_20180212_14590b_10_1g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_11_6g	Y_20180212_14590b_12_1g	Y_20180212_14590b_12_2g	Y_20180212_14590b_12_6g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_1g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_13_6g	Y_20180212_14590b_15_1g	Y_20180212_14590b_15_2g	Y_20180212_14590b_15_6g	Y_20180212_14590b_16_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_17_4g	Y_20180212_14590b_17_6g	Y_20180212_14590b_17_7_2g	Y_20180212_14590b_18_1g	Y_20180212_14590b_18_3g	Y_20180212_14590b_18_6g	Y_20180212_14590b_19_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_21_3g	Y_20180212_14590b_23_6g	Y_20180212_14590b_24_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_26_2g	Y_20180212_14590b_26_7g	Y_20180212_14590b_27_1g	Y_20180212_14590b_27_2g	Y_20180212_14590b_28_1g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_4g	Y_20180212_14590b_28_5g	Y_20180212_14590b_29_3g	Y_20180212_14590b_3_2g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_5g	Y_20180212_14590b_3_8g	Y_20180212_14590b_30_3g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_2g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_3g	Y_20180212_14590b_32_4g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_1g	Y_20180212_14590b_33_2g	Y_20180212_14590b_33_7g	Y_20180212_14590b_34_2g	Y_20180212_14590b_35_1g	Y_20180212_14590b_35_4g	Y_20180212_14590b_37_2g	Y_20180212_14590b_37_4g	Y_20180212_14590b_39_2g	Y_20180212_14590b_4_1g	Y_20180212_14590b_4_2g	Y_20180212_14590b_4_9g	Y_20180212_14590b_40_1g	Y_20180212_14590b_40_3g	Y_20180212_14590b_41_2g	Y_20180212_14590b_43_4g	Y_20180212_14590b_44_2g	Y_20180212_14590b_44_3g	Y_20180212_14590b_45_1g	Y_20180212_14590b_45_5g	Y_20180212_14590b_46_3g	Y_20180212_14590b_46_4g	Y_20180212_14590b_47_2g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_3g	Y_20180212_14590b_48_4g	Y_20180212_14590b_48_5g	Y_20180212_14590b_48_7g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_12g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_6g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_6_2g	Y_20180212_14590b_7_2g	Y_20180212_14590b_7_9g	Y_20180212_14590b_8_6g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g	Y_20180212_14590b_9_7g	Y_20180212_14590b_9_8g
1.3342	159445.781	66147.141	97478.398	43921.875	120787.602	85194.312	99078.945	94447.297	56844.852	101583.234	67382.289	86976.148	102664.883	148406.969	111644.539	136852.5	45549.625	138497.172	64605.238	55515.602	45491.074	78374.109	83148.539	128395.148	68781.195	51760.008	52559.715	89419.836	170369.969	55740.637	39386.059	44495.414	131574.641	47120.781	53769.613	61801.41	88987.812	95541.68	131913.203	40304.332	129126.398	99613.477	108770.336	92348.5	120681.156	113802.664	46509.453	106497.305	97049.492	134454.016	78944.156	138817.984	130647.32	81948.609	44837.41	148330.219	67678.016	106431.906	65551.297	99649.438	85936.672	59538.582	114884.594	74761.156	106038.992	92928.164	82510.875	64786.168	100434.008	156923.094	119581.859	149460.797	103269.859	101811.852	132268.062	45104.145	147221.422	68479.82	193218.109	120356.93	51380.703	128024.828	140331.391	134443.531	114577.344	98580.406	97724.336	151299.719	107348.625	147725.719	112426.82	40247.508	107946.344	49975.953	106920.859	57179.496	142108.625	61021.758	41810.074	110210.758	82143.25	135958.297	90942.211	40518.633	73132.086	70197.273	149017.719	94642.547
1.4676	120556.68	93883.453	140054.094	51263.539	91260.117	58614.793	132730.359	138012.609	90158.531	73888.273	94731.562	127681.969	153117.031	115844.805	70665.906	120385.641	59289.801	124455.047	93654.781	78604.844	65822.727	97217.461	116098.406	154484.938	98790.367	66587.086	73223.266	62312.957	145060.953	83970.672	45413.32	48819.297	132459.719	56471.219	74051.062	95060.148	91735.789	94535.375	116549.984	58217.133	131239.25	162475.984	63469.434	96838.953	127676.789	158549.844	52511.59	148310.094	118041.797	110385.547	100317.195	186993.25	126260.93	107160.891	59340.629	103862.328	104859.047	147023.656	103398.531	101036.555	139214.922	89440.703	147116.641	91349.422	79423.805	120461.461	118570.289	100405.977	144157.484	177203.234	71485.297	124594.664	151518.391	63664.57	103167.508	55277.891	172353.828	104028.094	166091.422	147447.969	69356.484	128846.758	131956.828	149425.828	155246.156	123995.328	120560.102	107307.703	81669.258	137867	108095.375	57443.152	111288.781	70166.391	123607.859	83151.984	96660.234	93961.547	59106.402	68147.609	67600.062	172017.594	113462.18	50381.672	117061.688	91557.008	132806.078	68145.172
1.6011	73923.898	98915.445	132665.875	70060.039	56912.344	45869.398	121943.992	131044.023	133394.266	49159.617	93713.086	130560.203	147397.391	75898.523	50349.816	78605.82	100648.328	86338.031	114495.812	112867.008	99940.617	78319.898	102137.406	119445.773	93944.219	105640.68	121622.266	53310.535	87162.164	117617.062	61869.891	61515.758	91118.156	77917.008	123919.742	152608.75	66741.555	66479.25	76445.578	88948.5	81830.125	158997.297	NaN	73119	87545.078	134011.641	71343.648	146474.828	95289.609	72746.453	94121.211	153859.562	87567.672	91181.305	77317.844	60998.586	130945.93	145885.906	138393.656	70689.516	153708.234	108135.617	116406.789	77672.312	54065.273	106973.648	116504.578	152314.406	139598.094	130669.883	51888.496	76423.406	147316.734	48958.082	64747.797	81901.586	135617.734	146132.734	101287.016	118319.953	118694.203	90273.039	90276.547	104855.703	142164.969	98554.945	96823.508	69276.125	56313.68	87603.703	72013.219	87552.969	78599.578	115243.219	96125.25	106559.148	59425.402	131993.719	80201.828	45589.828	47162.484	135873.438	95589.414	69539.281	148568.156	82404.453	82500.352	NaN
1.7345	54768.582	72047.781	84876.344	87121.312	NaN	39516.031	81686.391	84754.492	135810.391	NaN	70570.695	83735.703	98115.352	54586.184	NaN	NaN	159055.469	57630.977	92131	120411.203	122484.188	54120.191	67799.281	78450.906	66727.781	137078.453	161082.547	NaN	54449.281	115182.188	96636.25	99153.555	59921.582	105575.5	190711.672	170175.188	46000.48	50390.488	53895.379	103828.367	49529.215	103325.07	NaN	47917.914	56443.781	87165.055	111495.117	96090.945	64321.199	54417.18	67995.117	100216.078	NaN	62676.48	71510.383	NaN	112167.406	100245.039	115124.633	49905.168	113411.406	83584.453	72135.109	55592.988	43312.5	70509.625	82520.984	145984.391	87864.891	75324.289	NaN	55689.363	98000.07	NaN	49989.227	110525.617	78858.844	160022.469	65544.125	74299.32	173272.625	61737.301	58863.797	68476.547	93302.594	60869.668	63032.566	52237.914	48591.594	57229.621	50156.457	118585.016	52077.047	161106.594	71861.141	96649.328	NaN	120908.484	78446.641	38785.191	39807.254	80954.656	63215.312	96610.695	114980.406	57928.523	52652.402	NaN
1.8679	NaN	51423.469	59583.008	82639.234	NaN	NaN	57306.012	60182.621	94631.203	NaN	51987.062	56078.082	62906.086	NaN	NaN	NaN	151401.344	NaN	64813.844	89490.234	100293.594	NaN	51211.414	NaN	44880.289	113668.141	133397.094	NaN	43904.668	81998.742	113823.391	143217.922	49554.383	94806.195	188352.5	118766.266	38797.031	43972.48	46042.293	84429.258	39450.457	64360.934	NaN	41049.676	42761.246	59515.273	158363.078	63281.133	NaN	NaN	50873.629	65354.488	NaN	45168.012	53369.516	NaN	71359.828	66119.031	72487.18	NaN	69383.484	54201.09	50657.16	NaN	NaN	50315.891	58735.973	94907.688	53870.793	NaN	NaN	NaN	65052.242	NaN	NaN	104211.531	54248.078	136986.594	51984.656	54872.215	160382.297	47374.332	48796.266	52784.133	59513.789	NaN	48400.816	46209.777	NaN	44933.883	40309.859	102107.188	41336.117	135464.094	58544.539	65428.258	NaN	79446.547	57215.887	NaN	NaN	59055.77	46410.445	89773.133	76364.047	NaN	42041.215	NaN
2.0013	NaN	43879.121	49887.453	58865.156	NaN	NaN	NaN	51236.27	59535.562	NaN	44737.547	43772.781	NaN	NaN	NaN	NaN	90935.039	NaN	50051.668	60156.812	65889.609	NaN	NaN	NaN	NaN	73477.102	79226.805	NaN	NaN	56866.387	83026.672	130654.508	NaN	68475.43	119947.5	79539.273	NaN	NaN	44696.41	56201.215	NaN	NaN	NaN	37917.594	NaN	NaN	150780.188	50297.066	NaN	NaN	NaN	NaN	NaN	41281.84	41766.68	NaN	51131.148	NaN	51957.086	NaN	NaN	41213.504	NaN	NaN	NaN	NaN	47105.398	56878.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72897.273	47509.281	105427.156	46692.406	NaN	103512.539	NaN	NaN	45576.555	NaN	NaN	NaN	NaN	NaN	39744.656	NaN	67866.188	NaN	83819.648	51043.168	48743.207	NaN	NaN	43346.812	NaN	NaN	NaN	NaN	63224.539	54309.305	NaN	NaN	NaN
2.1348	NaN	NaN	NaN	46973.566	NaN	NaN	NaN	NaN	47159.566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45905.18	NaN	NaN	NaN	NaN	53529.469	51671.973	NaN	NaN	46534.105	55508.48	87192.156	NaN	51085.648	70862.25	60657.289	NaN	NaN	NaN	42877.676	NaN	NaN	NaN	NaN	NaN	NaN	97045.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38410.32	NaN	NaN	NaN	NaN	NaN	48236.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54329.184	NaN	74941.852	NaN	NaN	66601.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45152.25	NaN	57804.25	50108.484	40367.738	NaN	NaN	36861.078	NaN	NaN	NaN	NaN	47838.57	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41162.105	NaN	NaN	NaN	NaN	61561.148	NaN	43944.367	49421.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45296.113	NaN	54039.648	NaN	NaN	51304.332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37836.109	NaN	NaN	NaN	39275.617	NaN	NaN	34522.785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40012.645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45741.691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
