x	Y_20181208_15794b_6_6g
0	10460.4297
0.1334	10960.1904
0.2668	11699.1465
0.4003	12692.1699
0.5337	14283.6299
0.6671	14443.4023
0.8005	14516.1621
0.934	14332.5459
1.0674	14334.0391
1.2008	14007.2764
1.3342	14359.5488
1.4676	14594.166
1.6011	14172.6006
1.7345	13988.3076
1.8679	13812.4551
2.0013	13082.5449
2.1347	12835.1738
2.2682	13049.668
2.4016	12832.7939
2.535	12331.8643
2.6684	12811.1455
2.8019	12315.4844
2.9353	11412.2061
3.0687	NaN
3.2021	NaN
3.3355	NaN
3.469	NaN
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
4.1361	NaN
