x	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_14_10g	Y_20181208_15693_14_8g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_20_2g	Y_20181208_15693_5_10g	Y_20181208_15693_7_3g	Y_20181208_15693_8_6g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_15g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_9_13g
0	11630.3633	11689.8662	9840.627	12095.1904	12110.8721	10979.7666	15604.8379	11150.9355	12013.1562	11668.8984	10796.4609	12145.5273	12493.75	12189.8721	14927.1748	10835.7559	11439.4531	13352.7246	12143.6514	12132.3076	11206.2148	11127.1387	12314.6367	11764.7861	11178.5977	10635.5234	12153.9609	14888.6924	11852.5791	12142.168	11147.5098	13207.4277	11118.0947	11019.5557	11240.0342
0.1334	12888.2764	11764.1475	9841.9346	13470.5127	14144.2754	12574.0908	17951.4766	11946.375	11535.585	13725.6084	11199.2207	13043.0273	14024.4688	13151.1846	17675.6953	11013.2305	11596.5801	13702.335	12143.958	14012.8643	11502.9102	11660.0068	14275.166	11331.3311	11145.7969	11112.2725	14613.1953	15329.7725	11650.3262	13636.666	13086.7031	13920.2402	12135.7695	11755.4277	11724.9639
0.2668	14613.7354	12097.6738	10170.7412	14608.1279	16538.7891	13640.8613	15378.4658	12454.832	12373.2432	17193.3008	11336.1094	15615.3418	15823.8672	15304.9531	19263.8926	12265.0547	12986.9287	15860.3076	12848.085	15722.0283	11800.2461	12077.3105	14805.959	11267.4551	12079.1387	12798.292	16267.9697	15007.0273	11743.3389	15514.6338	15615.8535	15961.5674	12197.5547	14469.5342	12024.1465
0.4003	17366.7441	12420.3428	10305.6846	17512.1406	18999.7695	13229.5957	12722.2373	13740.1494	13252.5557	21277.3262	13009.0615	18366.7871	19020.0898	17585.127	16772.5508	13976.8047	15062.21	19941.457	13816.7129	19356.209	13726.209	12499.9697	11909.377	12164.2021	13038.9189	14847.5645	16465.0176	15625.3467	12855.3291	15892.6787	17468.5078	16771.2637	13488.7529	16404.084	14790.9404
0.5337	18451.1895	14351.5117	10497.8125	17611.2871	17903.7969	13233.9248	13489.8477	15923.8193	14294.8271	20578.4414	13892.5391	18826.9102	18132.9727	16832.8164	13737.0479	16271.8232	14976.3018	19702.7285	14914.6533	22522.8379	16799.127	13967.4727	11229.2529	13830.0566	14325.6172	16132.7422	15330.6797	19542.9766	14869.4092	16754.5273	17747.1191	15165.6699	14119.4473	15002.6729	16730.9297
0.6671	16213.5078	15089.7031	10331.4014	16918.9492	16660.7754	12456.8242	14940.5498	16176.0459	14304.1221	16303.9082	15336.9717	16248.8076	16172.8799	14371.6406	12147.1104	15420.7432	13043.5273	18080.6797	14042.1436	21892.8633	17677.2402	13696.334	11310.0176	15088.4795	14365.9121	14678.7451	14261.5527	22717.4473	17222.6523	16549.998	16246.0537	12934.4756	13745.9424	13208.5137	18012.877
0.8005	14658.4102	14821.1289	10800.373	15708.4004	15603.1357	12591.748	15464.3643	16242.0791	12006.6475	15043.3799	13917.7598	15362.6777	16302.8955	13303.665	11604.29	14777.5215	11307.4375	17164.3477	13931.4482	18139.8398	14510.21	12320.3047	10846.1084	14543.3379	14170.4033	13197.3467	13564.9043	23251.1172	15579.7422	14301.4365	15699.0068	12591.3848	13715.291	12092.1162	16965.2598
0.934	13335.2617	13816.2383	10503.7988	14379.0107	15298.8027	12843.1748	14447.6279	16305.9512	11624.7246	14985.9326	14249.2744	14955.8398	15657.4678	13863.7734	12217.6338	14036.0391	10968.5312	16186.6104	12806.7637	16179.6377	13426.6055	11388.5381	10861.6855	13746.1279	14316.0508	12063.0801	14374.0645	20264	15172.2539	13194.6895	16039.3232	12942.2656	12975.5576	11701.335	15273.376
1.0674	13427.4951	13432.2715	10581.5273	13956.9307	14200.041	13291.501	14169.3389	16503.5977	10889.0859	14219.5664	14607.6406	14450.0674	15247.0986	14503.873	11781.6348	13467.2129	10936.5566	15065.5225	13412.5508	15396.4541	12878.1475	11117.5498	11837.874	12758.8652	13492.9434	12123.3818	14213.7314	16566.7871	13576.2188	13406.3223	16518.6387	12426.3291	13088.7158	11234.5684	14787.8584
1.2008	14216.0986	13740.5791	10658.3184	12721.1963	12253.2109	12989.2861	14013.0586	16338.1748	10723.0498	13806.7578	15552.8682	14571.8223	14771.2363	13266.7354	12221.0303	13323.7881	10974.3877	15435.1621	13494.5752	14041.9551	12629.9766	10981.916	11650.3555	12292.0811	12827.9922	12172.085	14373.8975	15679.6934	13469.9707	13556.8545	15817.6611	12265.6777	12315.8994	11461.9756	15980.8467
