x	Y_20181208_15794b_1_3g	Y_20181208_15794b_2_1g	Y_20181208_15794b_3_4g
0	27847.4082	23994.6367	29525.752
0.1334	26401.9844	23984.1367	28813.9688
0.2668	26621.4043	25963.25	30337.8613
0.4003	27398.5566	25576.3027	29893.0117
0.5337	25925.3516	26369.0234	29927.1055
0.6671	26035.5859	26492.332	29716.5957
0.8005	26929.5684	24858.1836	29666.5332
0.934	27893.5723	25166.1562	30166.3613
1.0674	27685.1328	25719.1855	32850.918
1.2008	27036.5566	24992.4102	32018.0586
1.3342	27169.2441	25987.1582	33348.0156
1.4676	28894.1113	25815.0215	33293.6953
1.6011	29256.1738	26322.1328	32507.3125
1.7345	28964.2324	26657.7871	31487.6895
1.8679	28808.291	25427.6875	31485.5879
2.0013	29693.2246	25833.459	31374.7207
2.1347	29510.4082	26923.5137	32067.9473
2.2682	27833.4316	27138.1621	31885.6445
2.4016	28615.9043	27048.4395	32745.4121
2.535	29288.8086	28038.3125	31572.0859
2.6684	30815.4922	31175.9316	31804.9336
2.8019	31280.3477	40225.5547	32889.4648
2.9353	30173.9004	57803.9414	35261.7031
3.0687	31844.6758	74739.1719	40172.9023
3.2021	36003.6719	61306.6484	47844.1211
3.3355	42011.1367	40768.25	52479.1133
3.469	44048.3516	31153.2227	46868.4609
3.6024	37413.0352	27824.7109	39016.9023
3.7358	32370.4902	26687.8008	35421.8555
3.8692	29332	25030.3906	32822.1016
4.0027	NaN	NaN	31675.373
4.1361	NaN	NaN	31919.127
