x	Y_20181208_15794b_10_2g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_6g
0	8672.8291	13106.7979	10460.4297
0.1334	9256.1201	16857.4121	10960.1904
0.2668	10145.9775	20123.7578	11699.1465
0.4003	11580.9219	19852.5605	12692.1699
0.5337	12428.2139	18276.248	14283.6299
0.6671	13275.5771	16528.3398	14443.4023
0.8005	12010.7744	16279.4395	14516.1621
0.934	12514.9541	16592.8477	14332.5459
1.0674	12702.001	16856.9609	14334.0391
1.2008	12563.2129	15771.2754	14007.2764
1.3342	11761.7031	14583.2725	14359.5488
1.4676	12580.5479	14548.1504	14594.166
1.6011	12030.2529	14830.3242	14172.6006
1.7345	11676.2334	14059.8789	13988.3076
1.8679	11880.5615	14116.959	13812.4551
2.0013	12340.583	12761.2158	13082.5449
2.1347	11678.5723	12640.5	12835.1738
2.2682	12010.0391	12001.7559	13049.668
2.4016	11874.2793	11233.0947	12832.7939
2.535	11541.2656	11162.5703	12331.8643
2.6684	10862.5752	NaN	12811.1455
2.8019	10472.7842	NaN	12315.4844
2.9353	10759.5059	NaN	11412.2061
3.0687	10223.9326	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
4.1361	NaN	NaN	NaN
