x	Y_20181208_15693_1_11g	Y_20181208_15693_1_13g	Y_20181208_15693_1_15g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_10_6g	Y_20181208_15693_12_8g	Y_20181208_15693_13_11g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_14_9g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_18_4g	Y_20181208_15693_19_7g	Y_20181208_15693_19_8g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_4g	Y_20181208_15693_4_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_12g	Y_20181208_15693_5_6g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_6_8g	Y_20181208_15693_7_10g	Y_20181208_15693_7_1g	Y_20181208_15693_7_4g	Y_20181208_15693_7_7g	Y_20181208_15693_8_4g	Y_20181208_15693_9_4g	Y_20181208_15693_9_8g
0	31897.6914	32910.5625	31162.4219	27627.0195	30754.1191	27380.4883	30173.7852	27812.0625	32287.6875	26906.3672	31665.7793	28321.1055	27295.0781	30139.3906	31307.1094	26241.9082	30189.4512	30470.6504	32197.1523	32137.4766	30891.6543	32814.7852	29704.8359	31353.1074	28256.6465	30527.2559	29629.6523	32043.2266	29623.0078	26418.6133	32963.6445	32774.8242	30256.6621	28506.5312	33769.207	30511.1582	29515.8711	26813.3516	32137.2832
0.1334	32501.4473	34410.7461	32102.9199	26352.3555	31744.5898	27728.6973	29772.8008	27901.0371	32633.1074	28600.0391	32071.8242	27172.7754	26979.1855	30764.6074	31124.8027	28111.6172	31127.0957	32482.3066	31144.834	31584.2148	30765.9355	31977.7422	30274.7012	31808.25	28377.0332	31189.5781	30069.0273	30776.2148	31764.9102	27485.1758	30321.5117	32335.8203	29770.2734	28514.3574	32546.293	31346.8223	29664.6875	26547.8145	31818.7598
0.2668	32351.8164	35478.0547	33894.043	26910.0508	30895.127	28339.6211	31228.8613	27387.3516	31656.8203	27880.0918	31583.5664	26652.5801	28722.1543	29163.3438	29778.582	27708.2051	29904.3516	30822.5156	30597.334	32184.2812	31740.6504	32350.748	30874.082	33186.5938	27332.5469	31999.0078	29938.6445	32361.7871	31040.2656	28242.2715	31854.7871	32441.1973	31035.8477	27694.2793	32544.1562	32156.5977	29274.7402	26594.4766	32126.584
0.4003	32737.5586	33945.7812	32713.1895	26256.3438	29442.8887	26905.3457	31629.7988	29339.4297	30319.5195	26562.6035	31489.3066	26637.6328	27278.7676	29735.1758	30888.9199	27682.4551	30506.7227	30600.082	31099.8281	33184.4609	31307.543	33678.3633	29761.6738	32762.6113	28077.0996	31453.4297	31225.1152	33448.2305	31067.9766	27245.8047	29997.8789	31741.6172	31087.5371	29674.2207	33175.3633	30838.9277	28961.9277	27075.4648	31387.5879
0.5337	32779.6016	32426.0273	31771.8984	26859.0977	28252.959	26427.4121	31391.8066	28989.9727	31396.5957	26236.1582	32423.3223	27360.3965	26778.9512	30603.0801	31419.9062	27191.8945	30626.5977	30382.3594	30795.9629	31172.916	30600.502	32861.9492	30698.459	32121.3867	29800.707	32920.9766	30905.9297	32427.5234	31838.0625	27797.623	30159.7227	31924.7656	29869.9922	27834.334	32425.4805	30296.291	28728.2812	26171.6699	31135.0918
0.6671	33464.3164	33761.7969	31654.9219	27289.4297	29775.5508	26215.3027	31319.166	27678.8242	30919.5508	26734.6367	31892.3594	27561.1504	27420.8242	31082.6172	33020.5859	28857.2988	31379.6055	31286.2988	30405.4141	31128.7188	31552.7129	33531.7891	31702.4316	32914.3398	29836.3984	32303.1016	31445.4316	31558.0508	31049.7637	28869.5098	30131.1074	31760.3242	31167.2578	27843.543	31684.1055	30195.3555	29758.2402	24914.8184	30080.0938
0.8005	32386.8828	34560.7266	30939.1914	28047.1797	30124.7715	27229.8438	29827.3496	29110.5352	29968.4668	26535.7871	31284.4551	26735.127	27760.7383	29374.041	32856.1523	29440.6895	31212.1113	30914.4043	30305.7598	31537.5352	31856.9062	34745.3242	30824.9395	32392.3008	28564.3145	32500.0078	32605.127	33166.4375	32379.2344	28096.8809	29578.9121	32044.2637	31549.3633	28155.0879	30419.8848	30684.7207	31096.0625	25773.1191	30590.3535
0.934	31397.6504	32282.7559	32104.0137	26067.5449	30905.502	27478.873	30637.5742	29128.7129	30269.3477	26184.6016	31982.832	26670.8691	29096.3555	30381.8008	32055.3145	28031.7754	31044.2539	31172.8359	30791.8145	30606.4785	32485.3242	32880.9141	30946.6094	33194.375	28623.3496	33204.4492	31715.7598	32867.0391	32742.4023	27867.7324	30738.125	30625.0508	30059.9824	27709.2129	31770.2695	29271.3145	30039.6328	25328.5957	30879.2871
1.0674	32095.8203	34693.1406	32171.8027	24627.7715	29665.4512	27631.8945	29727.4473	28191.2305	30103.0293	27139.0586	31633.5195	25955.6797	27950.5977	30113.2773	30216.0176	29159.0645	30763.5586	31205.3223	32484.4004	31192.9727	33253.5078	32437.8262	30615.1875	33670.9258	28862.8828	30943.3164	32767.834	32091.9102	31769.0098	27494.9609	30931.8281	29266.457	31464.5664	28374.2324	33617.7773	29467.7402	29411.582	26352.3945	31641.3535
1.2008	31496.1543	34264.9375	31633.1543	25624.2969	29113.3398	27774.0293	28289.2676	28717.1816	30311.9727	27815.2051	31424.0938	26133.6484	27581.3809	28968.7656	31348.2363	29644.4531	31349.9375	32964.8672	30689.2832	29708.9961	33521.3477	34420.0234	29203.6797	32295.6973	29962.9297	30573.0469	33389.832	32375.6855	32534.25	28292.0977	30690.4746	31295.916	31242.0586	28717.0801	32893.9727	29312.5312	30140.5449	25760.5859	31498.1777
1.3342	31245.6348	33864.8789	31925.8398	26133.668	29989.0488	27977.5137	29153.6387	28947.9551	29978.6816	27096.0078	31807.0918	26797.3945	28468.9648	29408.957	32206.0605	28822.7461	30546.082	31807.1719	30925.3066	31952.5176	33130.707	36243.2461	29027.9863	32257.5566	29856.4531	32291.2539	32347.7051	32873.8789	32237.5625	28142.6562	30557.9297	30671.4902	29523.0449	29186.4473	34331.5039	31818.793	29854.6543	26743.9023	30602.8223
1.4676	30032.4902	33534.3711	32067.1816	25961.9824	31194.8164	27275.8574	29649.6152	29138.9688	30068.0156	27439.873	30517.2246	26498.1406	28096.4414	32164.8965	32946.3828	29431.4707	31372.4121	31516.9863	31674.6289	31424.8379	33893.1953	37120.7773	30586.6387	33665.9844	31322.5215	31209.9922	34262.2656	32838.8203	31310.1895	27662.4395	31293.1172	30243.5547	30662.9121	30093.2324	34522.2148	30460.9746	29849.3535	27927.6953	31299.3125
