x	Y_20181208_15692b_13_4g	Y_20181208_15692b_7_7g
0	9444.4229	12095.6807
0.1334	10260.4619	13076.1436
0.2668	11912.791	16056.2822
0.4003	13904.8008	17917.0137
0.5337	15954.1797	17035.207
0.6671	15769.1758	14875.9912
0.8005	15343.251	12447.042
0.934	14772.9473	11469.6729
1.0674	14711.3662	11532.8057
1.2008	14187.4443	11698.0732
1.3342	15403.9805	11517.6855
1.4676	14735.3115	11366.6143
1.6011	13915.9697	11783.5352
1.7345	14511.9092	12846.4316
1.8679	13617.3477	13820.5537
2.0013	13195.7373	13875.0312
2.1347	13575.1367	14949.5889
2.2682	13194.9502	13847.4883
2.4016	14104.2959	13349.8486
2.535	14446.5918	13665.0645
2.6684	13244.7295	13682.7168
2.8019	13051.5752	12959.3154
2.9353	12554.0557	13276.9854
3.0687	11724.7119	13026.4307
3.2021	12313.7383	13520.249
3.3355	11882.7959	13113.7666
3.469	11594.6963	13742.5293
3.6024	11770.2812	12997.1846
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
