x	Y_20181208_15692_31_14g	Y_20181208_15692_32_3g	Y_20181208_15692_36_9g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_14g	Y_20181208_15692_39_1g	Y_20181208_15692_39_7g	Y_20181208_15692_40_18g	Y_20181208_15692_40_8g	Y_20181208_15692_41_12g	Y_20181208_15692_41_1g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_12g	Y_20181208_15692_43_7g	Y_20181208_15692_44_11g	Y_20181208_15692_44_3g	Y_20181208_15692_44_5g	Y_20181208_15692_45_16g	Y_20181208_15692_46_13g	Y_20181208_15692_46_17g	Y_20181208_15692_46_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g
0	10721.1416	12384.7539	12324.6826	10527.3867	11685.1201	12813.333	10321.7334	12595.3652	10493.3447	11098.7021	10820.7568	9864.5312	11106.7207	9631.8066	10055.4492	10733.0713	11109.1992	14112.2168	10141.7021	11912.7627	10623.3203	13650.2949	11658.9922	11623.6064	13085.4219	9676.7285
0.1334	11381.584	12545.9199	13320.7402	11029.5527	11512.9824	13745.291	12104.6865	12913.8848	11533.8408	13204.8613	10669.3096	11648.6963	12897.1338	10038.9111	10472.0391	11560.8135	12300.4629	16065.5674	10727.373	12760.4424	10472.9395	15282.7109	14093.2939	12382.624	16696.5215	10309.1016
0.2668	12205.707	13524.4619	16103.6621	12246.8457	13510.7344	15488.3174	13286.6914	15518.7764	12546.5557	15980.4131	10470.874	13531.8809	16552.8066	10374.8555	10733.8359	13299.1475	14545.3555	17026.1758	12431.2881	12926.0928	10634.8467	20522.918	15315.875	14135.6338	18445.3555	10798.9521
0.4003	14944.8467	14782.3438	18829.4863	13149.6211	15681.7939	17183.791	16586.7402	17270.6387	14841.1641	16886.4805	10814.1016	14841.2344	18892.0078	10199.7383	11049.6592	15405.7236	15381.415	17489.459	14891.5498	13512.8164	11964.7305	21284.1836	16434.1973	15928.1436	16872.2734	11220.5059
0.5337	17743.2578	17585.3359	18422.0723	14704.377	17810.7246	17702.502	21306.9473	17215.6719	18344.7129	16793.959	11020.9863	14863.3369	18891.8555	10427.292	12880.208	19820.5371	14083.8076	15246.0547	17632.6484	16284.9727	14816.5889	17928.0059	15767.9756	17522.9785	14741.3945	10885.4521
0.6671	19196.2598	19543.377	17170.6445	16201.6396	18057.4238	16496.9941	25981	14944.168	19133.3457	15837.9414	12619.1055	13326.6846	16755.3945	11827.4062	14102.7148	21368.2168	14018.3291	15324.0674	17111.8281	15742.3877	17722.0391	16031.377	15031.125	17324.3496	14038.2363	11891.4219
0.8005	18797.4727	18387.0586	15842.2139	14630.252	15105.2705	14763.3955	25957.5488	13993.2686	18820.9531	14446.374	12773.2354	13885.9424	14880.499	14020.5859	16847.0078	18105.2793	12826.5107	14206.3887	14130.1621	14797.8721	18627.543	14477.1768	13784.0615	16433.3027	14436.9854	12580.2197
0.934	17240.334	16349.4062	15363.6406	14363.6787	14397.4678	14522.0898	22025.1992	13589.3174	16354.1846	14001.5625	12685.5459	13832.9297	14844.8789	16364.7314	16482.9102	14345.5752	12331.9424	13110.9961	12825.999	13813.4453	16182.2344	14206.1914	12655.5879	14545.2803	15721.9619	13910.043
1.0674	16486.6348	15678.0137	15354.3379	13377.5068	13292.6348	15977.4248	20258.2461	14386.5586	17360.957	14406.6104	12286.4043	13034.7578	16341.0098	17808.0039	16321.5586	13835.9873	12577.6807	13771.3887	12795.6826	12299.2295	15365.7021	14304.9033	12370.1953	14476.8955	15136.4121	15093.6406
1.2008	14554.0615	15991.8916	15362.3379	13827.9736	13745.8418	17843.082	17658.6309	15287.5566	16687.1367	13838.9795	11871.3701	13631.5859	16256.9307	15667.4775	16400.6211	12946.626	12535.1221	14247.3086	12697.0977	12938.4053	14401.5605	14495.833	11947.3711	15186.9844	14351.5859	13777.4033
1.3342	14600.7812	15059.8887	13145.1514	13250.376	12706.4746	17204.7559	16596.1367	14021.1221	17122.8262	13661.8057	12104.1475	13226.0752	15003.2559	13088.2207	14878.168	12508.0518	12569.415	13082.7539	12132.0205	11716	13529.3613	14017.0703	12211.2773	15694.4258	14295.8672	12999.7158
1.4676	15113.251	15145.5078	13612.3193	13041.708	13405.0439	16014.3799	15790.9814	13429.9531	15396.5732	13783.8359	12278.7266	12551.3174	14289.0537	12223.1377	14495.1455	13253.8682	12772.3105	13234.9375	12315.7451	11490.6836	14207.2568	13164.3789	11848.9336	15751.2783	14582.791	13201.2012
1.6011	14235.4834	14706.4248	13733.0986	12895.1348	14309.6348	15106.8682	16064.9492	13084.6055	15057.3047	13512.2578	12599.4707	11981.8047	14355.04	12863.4521	13487.8516	13883.6533	12461.4473	12442.7041	12593.5811	10829.2383	14461.5029	12773.5293	12216.6953	14957.0439	13665.9297	15958.4688
1.7345	13867.7598	13860.1611	13047.4141	13091.6699	13990.4434	13645.1045	15925.3564	12227.2266	14207.0957	12893.793	12003.9072	11788.332	14487.2393	12927.6152	12983.4531	12773.7061	12981.4678	12869.502	12400.9531	10658.2568	13603.6152	12092.0488	12381.3242	14758.6426	14242.9092	14920.1875
1.8679	12347.5859	12338.3379	13270.6729	12901.9756	13711.9375	12730.1309	15267.3271	11611.1465	13282.8408	12670.0625	12100.8496	12573.707	14271.1318	13553.7305	14016.6797	12223.6592	13334.2275	12340.417	13406.9805	10825.1475	13738.6172	12621.3252	12242.5557	16155.1221	13824.374	15107.6494
2.0013	12712.125	12256.8125	12632.2783	12027.6738	13574.4902	13479.2461	14209.8662	11581.7168	12386.4727	11919.9053	12584.7598	12347.1523	13641.6016	14320.8281	14361.1328	12657.5254	14377.3252	12443.3193	13849.7285	10691.9355	13606.9453	12260.7148	12089.2119	17856.7969	14225.166	14771.752
2.1347	13403.6953	11751.8965	11970.3574	11544.6963	13294.1768	13625.0879	13477.0566	11082.2256	11595.2979	12661.1797	12281.1582	12880.0654	12846.2344	14905.6377	14053.3516	13155.6338	14073.7197	12580.9639	14574.8262	11174.3438	14259.0869	12593.2451	12240.1914	17309.5859	14669.752	13908.168
2.2682	13251.9326	12473.7041	11633.5469	11438.7705	13685.541	15213.4619	13125.4414	11478.6543	11913.5566	13300.4688	12329.3066	12972.7881	12476.8818	13644.4395	13275.7939	13309.8965	13101.8213	13519.3789	13775.7275	11265.6934	14162.9297	12636.126	11773.2598	16962.5566	14476.1934	13778.6807
2.4016	13345.0635	12536.7139	11138.1777	11359.6816	14041.9834	15157.459	13416.9736	11663.6865	11798.3691	13627.6504	11538.4902	13300.2637	11911.8936	13751.0879	13575.8984	14814.5635	13313.7295	14368.457	13156.8027	11979.0947	13934.8555	13167.3174	11666.5693	17630.9766	13700.7676	12950.4287
