x	Y_20180224_15100_10_3g	Y_20180224_15100_12_2g	Y_20180224_15100_12_8g	Y_20180224_15100_15_2g	Y_20180224_15100_15_3g	Y_20180224_15100_16_4g	Y_20180224_15100_16_6g	Y_20180224_15100_17_1g	Y_20180224_15100_21_10g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_24_4g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_28_7g	Y_20180224_15100_29_7g	Y_20180224_15100_2_1g	Y_20180224_15100_2_9g	Y_20180224_15100_30_1g	Y_20180224_15100_30_2g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_4_5g	Y_20180224_15100_6_3g	Y_20180224_15100_6_6g	Y_20180224_15100_6_7g	Y_20180224_15100_6_8g	Y_20180224_15100_7_11g	Y_20180224_15100_7_4g	Y_20180224_15100_9_2g
0	40124.945	41159.734	44606.988	33310.953	33049.949	36282.98	40478.32	34457.586	39218.809	36959.219	38087.617	39027.293	36303.668	35647.508	32933.637	35841.859	38876.504	38622.711	35057.309	38293.684	43271.324	39514.309	41472.633	36558.215	37734.156	35801.977	37560.492	38245.535	38835.602	38182.043	39793.434
0.1334	40352.062	41520.801	43585.793	32904.816	33606.473	38118.375	41060.992	34963.918	38309.875	36393.348	37748.969	37515.543	36863.359	34661.703	33265.484	37202.973	39158.016	37470.758	36421.305	37441.297	44183.746	38460.938	40770.16	36744.938	38834.789	36965.742	39228.824	40075.258	38302.102	37772.234	38584.609
0.2668	38584.227	42504.281	43963.52	34489.887	34781.484	37063.492	39803.445	33470.469	38206.125	37149.016	38080.281	38230.465	37752.629	34830.965	33948.727	36197.875	38481.988	38567.992	38425.77	36618.672	43214.055	39614.184	42898.371	36612.555	40191.43	35877.312	39009.93	40203.48	40047.102	36197.68	39139.863
0.4003	38732.961	41412.82	42364.348	35443.988	35316.109	37582.598	39329.363	33249.344	39591	38152.551	38456.617	37707.832	36130.957	35164.914	35067.617	36097.211	40260.824	36761.977	38123.68	37290.742	45150.047	40519.805	44218.629	36944.68	38473.324	36022.938	40412.637	41197.926	40190.898	37439.266	39555.609
0.5337	38439.742	41698.336	40260.699	37441.527	36549.016	38685.723	41978.871	33807.879	40186.852	37160.906	37856.219	36703.602	36636.516	36369.773	35426.145	34830.777	39969.168	37792.098	36470.988	39193.387	42899.086	41726.324	45040.867	38416.965	40864	37326.949	36467.531	41342.457	40704.699	38729.066	38650.355
0.6671	38604.219	43197.566	40827.797	35820.184	36027.188	41134.73	40756.102	35003.805	41318.043	38908.215	38868.359	38598.727	36479.402	35329.473	34332.535	37511.156	41314.789	38102.449	38238.922	38628.965	45883.137	42432.652	43285.82	38811.633	41320.465	36698.93	37688.492	41204.727	41541.5	38498.52	37751.434
0.8005	38670.016	44299.367	39669.281	36488.648	37831.793	41858.629	41546.809	35433.16	42261.398	37785.07	40496.852	39224.691	37577.852	35877.125	33637.203	37748.441	46169.578	37370.016	36836.215	37249.348	45504.969	40491.82	41419.641	37596.973	39763.684	36819.301	37906.777	40996.414	42141.301	37804.859	38850.914
0.934	40192.676	46346.828	38986.441	36929.922	39652.453	40525.652	41268.633	36008.414	40646.277	38789.184	41477.961	40444.309	36209.184	38807.43	33661.887	39270.203	51967.68	38959.121	37219.742	39136.352	45350.812	41230.473	41097.758	38483.914	40286.137	37178.742	40421.676	41340.324	51259.801	36939.82	37607.246
1.0674	42793.031	47949.91	40461.504	38660.871	49339.164	42253.801	42577.445	38247.898	42938.973	41683.48	41017.66	43130.035	37702.277	48883.672	34651.211	42439.477	64956.641	44964.379	39819.992	39496.188	46271.516	43526.395	40666.531	37657.867	42157.98	39925.07	41021.91	42212.395	65828	38773.723	39740.102
1.2008	44508.332	56434.652	45148.66	38175.094	69949.398	50024.391	44433.512	45725.156	46252.004	49583.004	46885.129	51222.16	37406.715	55130.699	34930.602	46447.883	71391.656	53016.676	40989.113	39662.766	50733.648	51971.012	42440.34	39968.688	46852.027	41873.816	43817.188	43181.289	68074.5	42893.094	42464.422
