x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_31_12g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_4g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_33_14g	Y_20181208_15692_33_1g	Y_20181208_15692_34_2g	Y_20181208_15692_34_5g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_1g	Y_20181208_15692_37_20g	Y_20181208_15692_37_4g	Y_20181208_15692_37_8g	Y_20181208_15692_38_13g	Y_20181208_15692_38_17g	Y_20181208_15692_38_18g	Y_20181208_15692_38_2g	Y_20181208_15692_39_21g	Y_20181208_15692_39_3g	Y_20181208_15692_40_11g	Y_20181208_15692_40_14g	Y_20181208_15692_40_16g	Y_20181208_15692_40_3g	Y_20181208_15692_40_4g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_15g	Y_20181208_15692_41_16g	Y_20181208_15692_41_17g	Y_20181208_15692_41_2g	Y_20181208_15692_41_7g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_16g	Y_20181208_15692_43_8g	Y_20181208_15692_43_9g	Y_20181208_15692_44_10g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_44_4g	Y_20181208_15692_44_6g	Y_20181208_15692_45_11g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_45_7g	Y_20181208_15692_46_16g	Y_20181208_15692_46_18g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_21g	Y_20181208_15692_46_22g	Y_20181208_15692_46_2g	Y_20181208_15692_46_3g	Y_20181208_15692_47_1g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_47_7g	Y_20181208_15692_6_13g	Y_20181208_15692_6_3g	Y_20181208_15692_6_7g	Y_20181208_15692_6_9g	Y_20181208_15692_7_1g	Y_20181208_15692_7_5g	Y_20181208_15692_7_9g	Y_20181208_15692_8_1g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_4g
0	12976.6729	11192.8535	11592.5439	12035.5996	11154.4092	12057.8652	11886.6367	13708.9824	12134.4424	12137.0078	10937.9248	13741.3496	11709.9326	13439.0479	11645.1562	12534.4844	11383.4287	12188.0791	13516.9287	11088.6777	12665.6895	11160.6992	13009.4209	11455.5107	10418.9697	12729.8936	11104.9756	11400.3955	11203.293	12374.5908	13198.2178	12066.625	12581.0566	12625.8389	13884.7002	11995.8164	11833.3516	11524.1162	10372.1875	11634.4688	11374.7061	12801.7344	12657.5488	12062.8994	11565.4521	12628.4834	12239.3398	10483.9229	11241.9355	12991.5859	13521.04	12355.625	16339.5664	10560.1748	10210.8105	11818.248	11450.2578	12386.9141	11561.4648	13003.0605	12344.0186	12161.2529	12254.749	11616.2344	11791.5713	13681.4785	11823.0957	12684.1006	12207.5732	14064.3076	12105.1455	10596.3887	12366.71	14173.6904	15089.5322	13915.6328	11983.6191	11810.3496	12271.3633	9850.7568	11766.6484	8958.6318	13343.5068	13056.1025	11821.4355	12674.457	12230.917	11458.1064	10391.5459	11102.1445	11674.7012	15318.9268	12077.3545	14465.0068	12521.084	12778.4824	10808.4248	11419.6045	13756.7148	10673.6758	12201.2314	11203.2646	11340.5479	13325.3008	12217.8975	11583.3379	11558.6787	11830.5498	11688.3506	12007.0723	11005.0977
0.1334	14550.543	12164.7383	11762.3945	11455.458	11037.6875	12176.3359	11412.5371	14158.8018	13239.3105	13120.6289	11150.418	14621.2783	11840.7744	15981.9434	11251.5596	13232.7314	11174.0928	12491.6914	15152.0254	11479.2109	15740.3359	12467.6592	12599.8438	13298.21	10338.0605	14384.626	11535.9746	11855.8047	12249.2383	14579.4668	13316.876	12691.3398	12454.0225	13957.5264	14600.4453	12942.0469	11726.2988	11876.4287	11315.7285	11816.2041	13093.998	13541.251	13662.084	11982.2695	12497.4521	12716.1875	12089.1992	11391.0752	11796.1045	13943.9414	13841.4648	13392.2129	17731.873	11509.9043	11435.0234	10854.1455	12187.4258	12825.5811	12004.085	15796.9795	12569.2812	12963.1045	13591.9688	12589.0889	12474.9736	13841.0596	11834.9502	12915.5234	12751.373	13704.9707	12108.9541	9963.1904	12471.3457	14306.0811	16783.3086	16318.9893	13995.5449	12191.2539	11889.7891	10121.4238	14026.5771	8896.3594	13634.9131	14072.9736	13049.6406	12752.3174	13862.9902	12294.4805	10307.5039	11591.1191	12425.167	16764.6328	12454.5098	15988.083	12583.1777	12881.8105	11315.1416	13085.9727	15206.1338	11323.042	12735.0537	11604.9971	11993.2607	13853.3232	12400.5381	12627.0205	13911.8428	13445.5781	11598.2949	13986.5635	11340.8398
0.2668	16921.8203	13708.6084	13175.2637	12579.8643	12529.0049	13129.7832	12119.0078	16135.3467	15911.9238	13229.6602	11301.6553	13390.6357	12962.793	18590.3008	12200.2559	14623.0342	11510.2129	13469.3682	18265.4902	12890.1553	17511.6523	14418.0098	12682.3887	15008.9639	10424.6895	16986.3027	12860.1406	12369.0762	12089.9229	17987.3066	14691.9346	14056.4258	13115.2695	14398.2422	15801.665	14343.5039	13474.7871	12726.5684	12050.748	12381.1348	13309.1582	14725.71	15828.2402	12595.1182	12931.5674	12947.7246	11955.2354	14834.623	13462.6172	15191.4229	13325.957	14491.0186	19303.8965	12070.6035	12131.9277	10939.8467	13256.7432	13000.4307	12179.2959	16301.0674	13797.6973	14230.2559	15471.3213	15058.1914	13562.3232	14159.2188	12171.0146	14250.8027	15239.4658	13876.3496	12927.3164	10251.9404	13168.6133	14587.5293	20861.418	19903.0547	16149.2441	13095.5215	12329.9424	11626.8125	16145.3945	9624.3311	13705.9551	15622.79	13975.5068	13435.8711	16235.209	13569.2891	10927.8311	13197.9629	14319.0742	20441.8047	14265.7002	17593.3652	13162.3887	14898.6221	12286.3857	15494.1484	17784.9297	12584.4512	15346.5215	12276.5234	13159.374	15477.1143	13304.2207	13875.0674	15118.626	14387.3428	12940.8438	17628.0898	11362.833
0.4003	17730.9609	15189.7568	15762.8623	13311.1719	13325.2402	15298.8311	13816.4287	16487.0898	19934.0605	13863.0322	12654.749	14296.0205	14578.4805	18265.8887	13913.5059	15128.4258	11962.291	15502.375	19118.8672	14687.46	16701.5625	16431.7656	12986.3701	15256.5527	10582.6318	18986.3047	13368.0635	14182.2725	12257.5312	18992.1133	16587.3145	17785.0801	15403.6895	17430.2461	16168.9277	16493.0898	14767.7383	14184.5859	12755.4502	11997.1572	15658.8877	16741.9414	16818.6348	14501.6055	14994.7402	15028.9111	12608.6865	19163.9609	15098.2754	18713.5234	14191.5488	15854.5508	15828.5801	13150.1436	13500.7539	12663.5088	15365.499	14954.4248	11983.0654	15108.8936	14559.0664	14674.6348	18204.6895	18082.0059	15071.1719	16053.2715	12967.6992	16098.7578	18754.1445	17518.8184	14151.6221	10858.8486	14690.874	15973.1533	21395.8945	19195.9609	20744.5195	14659.7441	12285.4277	13849.0449	19129.1992	10323.71	15507.4717	17878.6152	14692.2305	13263.3369	19254.0781	15786.123	13181.7295	14221.9971	18249.1641	24292.9043	18112.1094	17426.8594	14788.9639	17301.6348	12940.6201	16426.9609	20066.8906	15019.6426	15831.1318	14751.293	15643.4834	16607.4727	14248.5596	13618.4268	14115.666	16456.0781	15368.1094	19651	12404.5518
0.5337	16257.3438	15647.6025	15958.04	15191.5723	12957.3252	20015.207	16250	16187.8135	20943.3164	16356.3867	12486.6641	14900.9932	14625.8047	15810.8076	14678.3174	14862.7676	12825.9277	18057.3555	16565.0078	14992.7754	13730.3232	17897.9141	15459.3848	13842.1309	11997.7539	19159.0938	13526.4141	14629.1084	13592.583	17198.5742	19826.8438	21264.3555	15910.9785	20031.875	18067.9355	17682.4883	16218.6895	14076.6914	12657.8242	12897.8838	16777.5703	19235.1406	15891.8037	17016.6895	16884.1523	16431.7422	13777.0264	20115.7383	13815.8594	20917.5859	15140.543	17245.9082	14878.1006	15383.1748	15063.0859	14961.6113	19492.0762	15972.9766	12735.6006	12490.7939	14516.5674	15150.7373	22977.1152	20011.0957	16723.7559	18557.248	15521.7764	16688.6406	18568.8184	18227.1582	15384.9785	12348.8076	16506.7559	19660.6133	19301.5098	16133.3086	20184.2832	16332.6211	13550.4678	15471.6846	20439.377	11046.5566	18231.4668	18729.7578	17986.0566	14801.624	16681.8203	16901.5391	15168.9434	14448.4141	19710.2812	25178.8477	22377.3828	14532.9111	17389.3477	18565.7891	15222.4248	15214.4111	19204.1875	16382.1904	14978.5557	16924.2168	17151.0605	16668.0234	14154.9463	13519.6094	13172.918	17492.8594	18983.6621	18219.7891	14577.666
0.6671	14222.7559	15497.748	14832.0059	20537.1797	13117.4072	23333.7734	17324.3789	14166.5742	17990.3789	19003.7012	11642.5596	16844.4941	14125.835	14439.9121	14401.3828	13201.6895	13912.4482	18032.8125	14660.9443	13800.1709	12894.9238	18517.5566	16833.1406	12227.2705	13923.7861	17238.0547	12437.7148	14425.6797	14479.9902	15199.2148	20824.4336	17506.4727	14690.209	18696.8496	20376.0332	16412.1738	15550.832	12531.4424	12149.3203	14562.0859	16297.9561	16568.1172	15096.0479	21333.3574	17429.9453	15363.6074	14284.6396	18324.1719	13206.5293	19072.0742	16123.7129	16472.1113	13663.0195	17761.291	14468.4912	18211.7031	18978.2871	14410.2393	13758.2305	11328.7139	14454.0518	14619.9932	22242.6016	18339.7422	19061.1445	21001.7129	14962.4434	16915.0215	17662.5879	15978.9414	17564.5977	14146.9824	16792.5391	25116.4551	17770.2148	13913.9326	17958.0566	16608.7227	15971.5498	13985.7441	18143.2324	13301.8086	21610.9453	16000.1719	17393.6797	15814.7109	14683.6475	16318.833	14359.3281	15346	17329.9824	22077.1016	23320.1543	12385.4746	18204	17403.6875	16366.3057	13801.1406	15452.2363	15344.4912	13455.2197	17883.959	17709.8652	16499.0762	13657.543	12368.7158	12428.6162	15604.918	20509.3379	16004.876	14588.2188
0.8005	13717.0996	13478.6514	13340.999	19924.4609	11663.0361	19989.6406	16174.1094	13237.0166	16575.0742	18246.2207	11155.5391	16817.375	13686.918	12675.8193	13550.6387	12549.6826	15663.585	16758.5762	14650.9033	12197.7842	12404.4004	15220.8389	17879.8926	12045.2266	13958.2666	14874.9863	11707.4863	12450.2148	15779.6377	13981.5684	19410.625	14630.3525	13910.0254	17271.6484	24573.6055	16180.7285	14268.4766	11873.6699	11692.3096	17763.582	15205.1289	14345.7793	14295.5586	21475	17612.9082	14443.416	16580.2324	15656.0244	12647.7334	17232.3359	15649.9941	16244.1133	13078.6465	17214.2363	13159.4678	17571.4961	15268.5576	13650.7344	13937.7842	11773.1016	15755.5078	13636.4531	18436.1992	14881.3916	20108.4805	18559.0566	14399.7295	16770.166	16885.4492	15676.4199	19439.1367	14653.4609	14841.1631	22863.5391	15284.3369	13985.3926	16654.8477	15909.9668	15197.75	12062.6455	17068.4062	15367.1299	20998.6914	14149.8135	14863.4824	15711.9814	13000.7393	16772.9043	13542.4326	14607.7178	15367.458	17806.5605	19416.6016	12352.5693	18008.25	15953.2041	15184.1094	13534.7949	13608.8818	14514.458	12751.3467	15409.2539	15502.9131	15189.5791	12459.4795	12106.3701	12254.7822	13550.6094	17126.2773	14979.6162	13163.252
0.934	13095.1211	13668.2197	13092.9824	18685.7676	11599.3604	16667.127	15640.7881	13130.3828	15085.5088	14894.2656	10627.75	17866.9395	13318.2393	13207.2266	12904.958	11943.1045	15352.5215	15375.4004	13643.2959	11800.2373	11719.9199	13931.6025	15783.3252	11623.3779	13803.248	13726.7012	10724.0391	11835.9043	16109.9062	13671.7754	17300.9824	13853.9141	14920.9199	14385.8496	22487.6621	15971.3477	13616.5977	11693.3105	12646.1641	19635.4453	13635.3096	12780.2207	13757.1445	19845.3438	16765.6875	13692.4248	15678.499	14064.8799	12120.6572	18121.7773	13415.2686	16343.9043	13532.9316	18233.6758	13034.0957	14034.9131	12926.9346	12838.7559	13642.3467	12879.6631	18115.8496	13518.1494	15056.7822	12696.5273	19702.3594	15829.5771	14049.8672	14377.6016	16954.209	14351.1758	17634.4688	13406.6914	13043.5273	21063.0117	15288.915	13658.2891	14336.4668	15622.3789	13745.3994	11602.1934	16687.7188	15647.4854	19085.043	12897.6367	13782.2158	13849.8643	12831.2686	15638.3555	13075.2988	13162.6924	14270.6846	17453.5723	17039.1113	11622.7178	16500.8301	14173.5195	15337.4268	13142.7412	13504.8506	13704.7461	13586.5293	14342.2715	14656.749	14667.0186	12709.2188	12544.5996	11764.8623	12442.0088	13891.6113	14282.9326	13183.752
1.0674	13773.8105	14249.3086	13324.7764	16453.252	11421.9092	15812.6465	14575.5029	12956.3662	15396.7402	12995.2236	11111.6143	17106.4043	13571.0674	13509.1777	12514.9805	11749.7812	13254.6963	15552.8672	13400.0303	11977.6396	11765.1953	12862.3418	14374.498	11435.1104	13493.1797	13732.9209	10727.8896	11266.5898	14852.9561	12998.1953	14899.252	13181.4912	14440.416	14007.4893	18289.7773	15690.5908	12753.1719	11418.4053	12854.252	18721.4258	12914.2002	11932.7725	13099.124	20577.3125	15436.792	13596.7256	14611.7852	13372.2422	12607.7549	16922.2305	12632.8418	16216.5186	14056.8838	16972.2266	13082.7939	12626.7578	11780.9893	12918.1016	13811.6914	12611.7451	17636.0762	13108.7979	14552.8408	14000.6865	18836.6055	15100.9229	14334.1299	14108.2168	15886.0732	14940.3125	14275.6406	13165.0586	12502.3262	18020.6309	15873.9521	15000.623	13621.5732	15348.6602	13564.4902	11828.2754	16745.2871	13914.7861	17552.2754	12769.4922	13106.1641	13414.8789	13037.8623	14385.9551	13643.1396	12468.415	13946.3037	15916.083	14621.9004	12605.3789	15999.8271	13992.8604	14331.667	14633.0332	12931.4697	13452.3779	13670.0518	13525.8242	13486.9219	16113.8623	13425.6982	12290.3525	11889.8896	11706.9541	13096.54	15071.2832	14950.7461
1.2008	14552.084	13297.0928	13476.46	16100.8779	11424.1318	15045.5654	13767.8242	12961.0654	14686.3838	12434.75	11075.2129	15934.9678	12968.6279	12730.2783	13497.2373	11279.6738	12022.6787	14064.916	13212.3838	12649.0537	12313.0303	13536.6533	13902.2207	11554.1855	12830.0459	14611.917	10542.457	11825.915	13677.6797	13582.6797	13675.5469	12687.6641	14169.0615	13976.6367	17585.5664	15043.5469	11630.9189	11485.4004	13776.96	17144.7012	12287.165	12231.2061	12898.6758	18323.1523	15049.0889	13770.3936	15737.7256	12737.5811	12696.9971	16501.2441	12351.4512	14866.8398	14206.7676	14626.7617	13176.3115	11547.7969	11585.9219	12158.7021	13786.083	12290.6826	16583.8867	12903.7236	14873.9365	16655.6289	16848.8066	14257.6582	14445.8721	13198.9746	15327.3154	14646.2432	12770.3643	12619.8193	12479.0537	16857.6777	15467.8848	14457.0615	13604.6172	15668.5781	13283.9229	12319.958	15943.1436	13548.4248	16767.8711	12729.0518	12575.4141	14173.2598	14333.793	13442.4287	14145.4541	13131.8584	14109.6895	16281.5322	14000.749	12769.5342	14666.5488	13693.2393	12053.5752	16633.6094	12336.4951	12876.8018	13590.2188	14462.7715	13598.0264	14874.5596	14325.6523	12027.708	12222.6748	11429.709	12342.4326	14140.0703	14810.3594
