x	Y_20180212_14590_12_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_2g	Y_20180212_14590_41_1g	Y_20180212_14590_9_1g
0	38003.766	41864.926	40136.461	38614.875	37972.051	37380.535
0.1334	37328.574	44007.645	40374.574	40092.051	37020.867	36757.004
0.2668	38493.613	44132.434	42357.426	39304.664	37642.207	38938.875
0.4003	38934.363	43342.391	39309.688	39682.352	38327.5	39546.477
0.5337	39661.02	42580.562	41910.074	41353.848	39532.016	40279.68
0.6671	38981.141	42146.559	40278.648	40837.277	39548.617	39652.469
0.8005	40815.664	41825.418	40180.785	41368.973	41037.512	39208.637
0.934	45713.77	43626.664	42633.777	42549.152	40354.199	38990.117
1.0674	54280.93	43778.414	41121.184	43946.336	41762.516	38882.152
1.2008	79042.617	46524.555	44157.051	44216.66	42678.773	40694.031
1.3342	102263.328	54958.418	48650.297	46743.348	40951.832	41744.395
1.4676	86440.242	72913.406	62194.234	55724.895	45384.996	43707.703
1.6011	62709.262	95891.109	86102.609	71261.211	55854.016	47010.062
1.7345	48508.988	93940.18	97355.461	79473.211	62748.008	49411.41
1.8679	44578.016	70509.734	76053.203	67031.328	57615.43	63471.367
2.0013	NaN	57294.23	55664.77	51122.762	49953.223	79306.453
2.1348	NaN	52349.191	NaN	45363.316	NaN	74321.117
2.2682	NaN	54802.125	NaN	43748.105	NaN	59443.305
2.4016	NaN	NaN	NaN	NaN	NaN	50275.883
2.535	NaN	NaN	NaN	NaN	NaN	44293.402
2.6684	NaN	NaN	NaN	NaN	NaN	43110.852
2.8019	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN
