x	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_8g	Y_20181208_15692_33_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_8g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_3g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_46_18g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g
0	12057.8652	11886.6367	12134.4424	13741.3496	12534.4844	11383.4287	12188.0791	12665.6895	13009.4209	10418.9697	11104.9756	11203.293	12581.0566	13884.7002	11995.8164	11833.3516	10372.1875	12239.3398	10483.9229	16339.5664	10560.1748	12386.9141	11561.4648	12161.2529	14064.3076	12105.1455	11983.6191	11766.6484	8958.6318	12230.917	11674.7012	15318.9268	12077.3545	12521.084	11419.6045	13325.3008	12217.8975	11583.3379	11558.6787	11688.3506
0.1334	12176.3359	11412.5371	13239.3105	14621.2783	13232.7314	11174.0928	12491.6914	15740.3359	12599.8438	10338.0605	11535.9746	12249.2383	12454.0225	14600.4453	12942.0469	11726.2988	11315.7285	12089.1992	11391.0752	17731.873	11509.9043	12825.5811	12004.085	12963.1045	13704.9707	12108.9541	13995.5449	14026.5771	8896.3594	13862.9902	12425.167	16764.6328	12454.5098	12583.1777	13085.9727	13853.3232	12400.5381	12627.0205	13911.8428	11598.2949
0.2668	13129.7832	12119.0078	15911.9238	13390.6357	14623.0342	11510.2129	13469.3682	17511.6523	12682.3887	10424.6895	12860.1406	12089.9229	13115.2695	15801.665	14343.5039	13474.7871	12050.748	11955.2354	14834.623	19303.8965	12070.6035	13000.4307	12179.2959	14230.2559	13876.3496	12927.3164	16149.2441	16145.3945	9624.3311	16235.209	14319.0742	20441.8047	14265.7002	13162.3887	15494.1484	15477.1143	13304.2207	13875.0674	15118.626	12940.8438
0.4003	15298.8311	13816.4287	19934.0605	14296.0205	15128.4258	11962.291	15502.375	16701.5625	12986.3701	10582.6318	13368.0635	12257.5312	15403.6895	16168.9277	16493.0898	14767.7383	12755.4502	12608.6865	19163.9609	15828.5801	13150.1436	14954.4248	11983.0654	14674.6348	17518.8184	14151.6221	20744.5195	19129.1992	10323.71	19254.0781	18249.1641	24292.9043	18112.1094	14788.9639	16426.9609	16607.4727	14248.5596	13618.4268	14115.666	15368.1094
0.5337	20015.207	16250	20943.3164	14900.9932	14862.7676	12825.9277	18057.3555	13730.3232	15459.3848	11997.7539	13526.4141	13592.583	15910.9785	18067.9355	17682.4883	16218.6895	12657.8242	13777.0264	20115.7383	14878.1006	15383.1748	15972.9766	12735.6006	15150.7373	18227.1582	15384.9785	20184.2832	20439.377	11046.5566	16681.8203	19710.2812	25178.8477	22377.3828	17389.3477	15214.4111	16668.0234	14154.9463	13519.6094	13172.918	18983.6621
0.6671	23333.7734	17324.3789	17990.3789	16844.4941	13201.6895	13912.4482	18032.8125	12894.9238	16833.1406	13923.7861	12437.7148	14479.9902	14690.209	20376.0332	16412.1738	15550.832	12149.3203	14284.6396	18324.1719	13663.0195	17761.291	14410.2393	13758.2305	14619.9932	15978.9414	17564.5977	17958.0566	18143.2324	13301.8086	14683.6475	17329.9824	22077.1016	23320.1543	18204	13801.1406	16499.0762	13657.543	12368.7158	12428.6162	20509.3379
0.8005	19989.6406	16174.1094	16575.0742	16817.375	12549.6826	15663.585	16758.5762	12404.4004	17879.8926	13958.2666	11707.4863	15779.6377	13910.0254	24573.6055	16180.7285	14268.4766	11692.3096	16580.2324	15656.0244	13078.6465	17214.2363	13650.7344	13937.7842	13636.4531	15676.4199	19439.1367	16654.8477	17068.4062	15367.1299	13000.7393	15367.458	17806.5605	19416.6016	18008.25	13534.7949	15189.5791	12459.4795	12106.3701	12254.7822	17126.2773
0.934	16667.127	15640.7881	15085.5088	17866.9395	11943.1045	15352.5215	15375.4004	11719.9199	15783.3252	13803.248	10724.0391	16109.9062	14920.9199	22487.6621	15971.3477	13616.5977	12646.1641	15678.499	14064.8799	13532.9316	18233.6758	12838.7559	13642.3467	13518.1494	14351.1758	17634.4688	14336.4668	16687.7188	15647.4854	12831.2686	14270.6846	17453.5723	17039.1113	16500.8301	13142.7412	14667.0186	12709.2188	12544.5996	11764.8623	13891.6113
1.0674	15812.6465	14575.5029	15396.7402	17106.4043	11749.7812	13254.6963	15552.8672	11765.1953	14374.498	13493.1797	10727.8896	14852.9561	14440.416	18289.7773	15690.5908	12753.1719	12854.252	14611.7852	13372.2422	14056.8838	16972.2266	12918.1016	13811.6914	13108.7979	14940.3125	14275.6406	13621.5732	16745.2871	13914.7861	13037.8623	13946.3037	15916.083	14621.9004	15999.8271	14633.0332	16113.8623	13425.6982	12290.3525	11889.8896	13096.54
1.2008	15045.5654	13767.8242	14686.3838	15934.9678	11279.6738	12022.6787	14064.916	12313.0303	13902.2207	12830.0459	10542.457	13677.6797	14169.0615	17585.5664	15043.5469	11630.9189	13776.96	15737.7256	12737.5811	14206.7676	14626.7617	12158.7021	13786.083	12903.7236	14646.2432	12770.3643	13604.6172	15943.1436	13548.4248	14333.793	14109.6895	16281.5322	14000.749	14666.5488	16633.6094	14874.5596	14325.6523	12027.708	12222.6748	12342.4326
1.3342	13732.9883	14756.8057	14078.8311	17034.209	10970.2764	11987.9248	13473.6113	12658.5332	14692.7939	12595.9072	10098.9189	13178.3574	13711.0234	16021.5439	15005.4795	11212.8271	13202.6924	14707.3389	13237.6299	14096.7852	13538.4795	12491.0762	14151.46	13161.5244	14865.3838	12453.5928	12695.6982	15427.584	14189.8457	15343.043	14956.2646	16474.0117	14678.5508	15058.9131	17247.9922	13324.5547	14988.7949	11153.7266	13238.4102	12161.4072
1.4676	13577.168	15353.2529	13418.6045	16784.7695	10835.3115	12142.8594	13380.3242	12498.7197	16877.4668	12503.7549	10522.5947	13172.8848	14024.0889	13926.9629	15492.2607	11333.8525	12788.1074	15012.8447	13183.2217	14427.333	13234.7158	13327.0566	14919.5684	13158.8008	13988.1025	12909.292	12730.3252	16942.2305	14156.4043	14361.4658	13885.4551	17218.0039	14182.8555	15000.0732	17857.1016	12625.96	15008.2002	11647.1709	13221.6816	11343.9844
1.6011	14264.0391	14613.5088	13847.4727	16464.5625	11473.3838	11506.8857	12701.3438	12772.0371	15944.0498	12834.1553	10742.2158	13356.0342	14891.7441	15202.4141	14526.8408	10716.8398	13318.6504	14805.9492	12550.79	13174.0889	12329.5293	13860.626	13512.0137	12663.3477	14373.8008	13284.751	13640.8936	17546.291	13986.8076	13108.3369	13863.666	17066.0723	15453.874	14500.9268	16442.1797	12222.3115	14771.0352	13172.0723	12799.043	11884.251
