x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_8g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_6g	Y_20181208_15692_31_7g	Y_20181208_15692_31_8g	Y_20181208_15692_32_8g	Y_20181208_15692_32_9g	Y_20181208_15692_33_12g	Y_20181208_15692_33_1g	Y_20181208_15692_33_3g	Y_20181208_15692_33_7g	Y_20181208_15692_33_8g	Y_20181208_15692_34_10g	Y_20181208_15692_36_13g	Y_20181208_15692_36_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_6g	Y_20181208_15692_37_8g	Y_20181208_15692_38_16g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_9g	Y_20181208_15692_39_10g	Y_20181208_15692_39_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_17g	Y_20181208_15692_40_2g	Y_20181208_15692_40_3g	Y_20181208_15692_41_10g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_41_6g	Y_20181208_15692_42_5g	Y_20181208_15692_42_9g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_20g	Y_20181208_15692_43_2g	Y_20181208_15692_43_3g	Y_20181208_15692_43_6g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_10g	Y_20181208_15692_45_13g	Y_20181208_15692_45_15g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_5g	Y_20181208_15692_45_6g	Y_20181208_15692_45_8g	Y_20181208_15692_46_15g	Y_20181208_15692_46_18g	Y_20181208_15692_46_7g	Y_20181208_15692_46_9g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_10g	Y_20181208_15692_7_1g	Y_20181208_15692_8_3g	Y_20181208_15692_8_6g	Y_20181208_15692_8_8g	Y_20181208_15692_8_9g	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_5g
0	13155.3965	10070.1709	12153.5996	12057.8652	11886.6367	10960.0566	11601.4629	12134.4424	12271.5127	11954.9092	13882.8398	13741.3496	11834.8945	13182.3037	12025.6543	10249.1543	11634.6416	12015.8848	12534.4844	11383.4287	12188.0791	12665.6895	10234.7412	13009.4209	9407.4795	10418.9697	11104.9756	11801.0254	12219.1465	15180.1162	11203.293	12502.4834	12110.1553	12581.0566	13584.1484	13884.7002	11995.8164	11833.3516	10372.1875	11638.7891	13616.4912	13062.2686	12239.3398	10483.9229	11277.8027	11432.1934	12231.6084	12964.2998	16339.5664	10560.1748	10629.6719	12386.9141	9611.6387	13005.9473	10252.249	11561.4648	11504.7842	10007.0928	13785.4648	12161.2529	11581.5283	10881.2393	14064.3076	12105.1455	11929.3486	11983.6191	12408.6758	11979.2207	11766.6484	13366.4707	11904.3193	8958.6318	12230.917	13688.9121	11674.7012	15318.9268	12172.9668	12761.5762	11570.4727	10548.5215	12077.3545	12521.084	11419.6045	8895.3994	12490.502	11686.0557	13325.3008	12698.7588	13285.4072	11414.585	11435.248	12217.8975	11583.3379	11558.6787	11688.3506	12005.7842	11143.0762
0.1334	13975.7041	10060.4443	13368.4785	12176.3359	11412.5371	11266.5068	12540.9697	13239.3105	12892.0547	12792.9404	15411.8965	14621.2783	13176.2686	14224.8945	11817.3066	10757.0088	11870.9082	12327.2471	13232.7314	11174.0928	12491.6914	15740.3359	10561.835	12599.8438	9598.2031	10338.0605	11535.9746	11545.5518	13350.2168	18444.7695	12249.2383	12446.0059	12624.335	12454.0225	13208.2656	14600.4453	12942.0469	11726.2988	11315.7285	11708.0869	14343.1289	13563.1846	12089.1992	11391.0752	12250.2178	12469.8379	12132.9619	14902.4072	17731.873	11509.9043	10631.7041	12825.5811	10110.8555	13385.3555	11672.6846	12004.085	11917.1201	10258.8076	14650.9414	12963.1045	12147.8018	11215.0986	13704.9707	12108.9541	12871.5107	13995.5449	11672.1904	12501.5918	14026.5771	15439.8516	12383.2119	8896.3594	13862.9902	14389.7266	12425.167	16764.6328	12264.8223	12648.0068	11794.0459	11433.0742	12454.5098	12583.1777	13085.9727	9626.25	13408.7305	12340.5635	13853.3232	12323.9609	13663.6406	12729.498	12576.3145	12400.5381	12627.0205	13911.8428	11598.2949	13497.459	11852.3613
0.2668	15042.6787	10318.5381	15468.6348	13129.7832	12119.0078	11262.3389	15365.8799	15911.9238	13870.0801	14435.8076	17956.377	13390.6357	15338.4287	15888.665	13781.2461	12645.2354	12184.7236	12476.3652	14623.0342	11510.2129	13469.3682	17511.6523	11448.5791	12682.3887	9807.7754	10424.6895	12860.1406	11808.418	13610.0723	19260.8379	12089.9229	14651.7676	12754.9453	13115.2695	14249.0928	15801.665	14343.5039	13474.7871	12050.748	12124.8389	16431.1172	14659.9834	11955.2354	14834.623	14032.9238	13730.7754	11541.873	17501.8086	19303.8965	12070.6035	11374.8701	13000.4307	11152.4512	16265.8584	15684.3037	12179.2959	12306.8984	11188.2559	16025.8135	14230.2559	14379.5674	11137.2803	13876.3496	12927.3164	14423.6211	16149.2441	12387.915	13562.3711	16145.3945	15062.5566	13387.3721	9624.3311	16235.209	17696.7246	14319.0742	20441.8047	13586.2891	13511.5283	12714.8379	13241.249	14265.7002	13162.3887	15494.1484	10349.7344	14843.8574	13682.9404	15477.1143	12557.8633	14913.0195	14480.4834	17222.7832	13304.2207	13875.0674	15118.626	12940.8438	15230.7383	12830.6602
0.4003	14831.2236	11382.7812	19124.0586	15298.8311	13816.4287	12692.9346	16718.1836	19934.0605	15426.0918	15558.3438	20227.9609	14296.0205	16252.0234	18911.8945	16902.9941	13803.6436	12009.5645	12352.5791	15128.4258	11962.291	15502.375	16701.5625	12847.3359	12986.3701	11555.6055	10582.6318	13368.0635	11452.9346	15471.4014	17295.9121	12257.5312	17510.6289	12957.1562	15403.6895	16284.6094	16168.9277	16493.0898	14767.7383	12755.4502	15540.7295	17079.2969	17589.0195	12608.6865	19163.9609	16448.6465	15437.7168	12741.4424	17906.5684	15828.5801	13150.1436	13265.168	14954.4248	12680.0635	20126.291	20597.4922	11983.0654	13480.4795	12264.5508	16013.7607	14674.6348	16875.8398	13291.8955	17518.8184	14151.6221	17657.0566	20744.5195	12854.9707	15936.5234	19129.1992	16037.6982	13677.6533	10323.71	19254.0781	20246.6582	18249.1641	24292.9043	16859.9512	16049.4766	14913.2041	14973.3652	18112.1094	14788.9639	16426.9609	11056.3604	18050.332	16907.2109	16607.4727	13053.9688	16688.7246	16704.0059	20703.2891	14248.5596	13618.4268	14115.666	15368.1094	15085.4189	15562.6855
0.5337	15367.541	12247.3994	20392.2871	20015.207	16250	13936.0459	16336.2129	20943.3164	18657.6953	15858.5391	17791.4141	14900.9932	15717.54	18408.5059	16229.2266	16432.1426	12398.4443	13053.2158	14862.7676	12825.9277	18057.3555	13730.3232	14860.6709	15459.3848	14346.2861	11997.7539	13526.4141	11729.6553	19100.9629	15047.5771	13592.583	19029.1152	12957.2734	15910.9785	17018.0332	18067.9355	17682.4883	16218.6895	12657.8242	18185.168	16132.1865	18442.4297	13777.0264	20115.7383	16559.7207	17468.9355	13248.2793	15600.3232	14878.1006	15383.1748	14655.0176	15972.9766	14577.7012	21095.7168	22077.0723	12735.6006	16402.0898	16347.6143	14857.4736	15150.7373	18138.0586	15409.0508	18227.1582	15384.9785	17803.2988	20184.2832	14243.2471	18577.2695	20439.377	16719.2656	13618.2422	11046.5566	16681.8203	22440.377	19710.2812	25178.8477	19232.332	17610.2793	17614.4102	18947.8789	22377.3828	17389.3477	15214.4111	13570.666	21347.7188	18025.627	16668.0234	14178.1631	21172.127	19229.6465	18220.9648	14154.9463	13519.6094	13172.918	18983.6621	13668.334	16803.1152
0.6671	14898.8887	14336.459	18765.1309	23333.7734	17324.3789	13394.3398	14263.9512	17990.3789	20286.4258	14018.6318	15671.6611	16844.4941	15642.0781	16935.5996	14361.4473	16153.5996	14338.2334	14464.6934	13201.6895	13912.4482	18032.8125	12894.9238	15574.6299	16833.1406	19355.4238	13923.7861	12437.7148	12460.5547	21605.9375	14312.5098	14479.9902	18086.8652	15625.6426	14690.209	16425.082	20376.0332	16412.1738	15550.832	12149.3203	18148.582	15007.4092	15846.1084	14284.6396	18324.1719	15756.2246	16668.0254	15723.7305	14130.8535	13663.0195	17761.291	14921.9609	14410.2393	18387.3945	19609.2891	18293.7715	13758.2305	18270.5625	19013.3809	13530.7129	14619.9932	17250.3828	18134.7441	15978.9414	17564.5977	16604.0977	17958.0566	15189.6172	20005.3809	18143.2324	15668.207	12439.793	13301.8086	14683.6475	21721.5918	17329.9824	22077.1016	17729.7148	17136.4219	20410.084	21121.0273	23320.1543	18204	13801.1406	19003.418	19937.5547	17094.1758	16499.0762	17302.0234	22619.0254	20208.5508	15456.9629	13657.543	12368.7158	12428.6162	20509.3379	12094.9102	16768.0215
0.8005	13451.5898	19916.6426	16929.0195	19989.6406	16174.1094	13049.5645	13031.0459	16575.0742	17867.7344	13000.8447	16466.3652	16817.375	15587.3516	15803.2998	13996.9443	14474.3887	14574.2168	14083.2539	12549.6826	15663.585	16758.5762	12404.4004	13321.7871	17879.8926	19684.6406	13958.2666	11707.4863	13078.0469	19990.4004	13457.2539	15779.6377	15091.7256	19319.1914	13910.0254	14146.9189	24573.6055	16180.7285	14268.4766	11692.3096	16413.2773	14154.0547	14290.8037	16580.2324	15656.0244	13906.9521	13465.7441	18308.6914	13887.8379	13078.6465	17214.2363	13231.6055	13650.7344	18486.498	18849.4141	16202.5049	13937.7842	17304.2539	18534.2188	13085.4727	13636.4531	15001.6992	16316.4453	15676.4199	19439.1367	14173.0811	16654.8477	15726.0322	18071.5508	17068.4062	15328.5938	11793.3408	15367.1299	13000.7393	21981.2695	15367.458	17806.5605	14730.5186	14617.0479	17735.9219	20132.9199	19416.6016	18008.25	13534.7949	19692.3867	19279.248	14494.7852	15189.5791	20393.418	20234.373	18524.0879	14380.4932	12459.4795	12106.3701	12254.7822	17126.2773	11524.6621	15527.0459
0.934	14277.5029	25282.9551	14707.2236	16667.127	15640.7881	12646.3662	11656.4102	15085.5088	15958.5352	13222.834	15836.7998	17866.9395	14908.5674	14549.168	15093.25	13929.3545	14199.3877	12852.9453	11943.1045	15352.5215	15375.4004	11719.9199	12493.2832	15783.3252	16296.2295	13803.248	10724.0391	13242.1152	17521.0586	13166.5586	16109.9062	13245.1924	19243.3262	14920.9199	13159.29	22487.6621	15971.3477	13616.5977	12646.1641	15661.2861	14372.4238	12307.7012	15678.499	14064.8799	13150.9502	12479.6611	18560.3906	12879.4512	13532.9316	18233.6758	13726.0078	12838.7559	16105.4473	18376.6816	16224.4531	13642.3467	14411.1924	15857.1982	13113.0908	13518.1494	13916.2695	14099.375	14351.1758	17634.4688	13184.4941	14336.4668	13485.3203	15561.1279	16687.7188	15872.5264	11551.0088	15647.4854	12831.2686	20087.8184	14270.6846	17453.5723	13568.6084	13526.7432	15720.4844	16358.2783	17039.1113	16500.8301	13142.7412	15535.4453	18490.5879	13154.5957	14667.0186	20559.3145	20056.9297	17567.2637	14785.6885	12709.2188	12544.5996	11764.8623	13891.6113	12097.1631	14859.9648
1.0674	15661.0537	22856.2461	13380.3193	15812.6465	14575.5029	12902.9736	11610.4629	15396.7402	14214.0254	13968.0469	16149.8379	17106.4043	15167.0781	12540.0498	14094.6787	14125.8262	13603.4629	12657.1035	11749.7812	13254.6963	15552.8672	11765.1953	12851.3535	14374.498	15499.3984	13493.1797	10727.8896	12871	16138.6846	12611.9072	14852.9561	14210.7197	18251.1875	14440.416	12373.4961	18289.7773	15690.5908	12753.1719	12854.252	15327.7119	13692.7119	11723.5752	14611.7852	13372.2422	12279.9717	12096.3643	16079.3447	13360.917	14056.8838	16972.2266	12420.1514	12918.1016	15724.4668	17941.2363	15776.292	13811.6914	13540.2266	14768.9678	13200.958	13108.7979	12937.3896	12796.248	14940.3125	14275.6406	11863.3516	13621.5732	12847.625	13855.6699	16745.2871	15100.0479	11037.4414	13914.7861	13037.8623	18383.2539	13946.3037	15916.083	13764.4746	13730.5898	15430.2812	15953.793	14621.9004	15999.8271	14633.0332	13079.5928	16557.0078	12553.2539	16113.8623	20040.5547	19967.1973	17277.877	14998.4785	13425.6982	12290.3525	11889.8896	13096.54	12007.4824	15319.9424
1.2008	16405.6777	17669.5039	12828.1533	15045.5654	13767.8242	12753.1289	11135.8154	14686.3838	13964.2051	14014.3047	15567.9414	15934.9678	15535.5566	12379.2676	14806.3926	14169.6445	12912.4717	12150.0879	11279.6738	12022.6787	14064.916	12313.0303	13457.0342	13902.2207	14653.7988	12830.0459	10542.457	12121.7891	14849.5996	13409.5596	13677.6797	14797.0166	16593.0078	14169.0615	11675.2568	17585.5664	15043.5469	11630.9189	13776.96	14183.5576	13510.2393	12956.3408	15737.7256	12737.5811	12270.9844	12578.3203	13418.9736	12851.4502	14206.7676	14626.7617	12175.1367	12158.7021	15334.666	16414.1621	15464.127	13786.083	13622.5059	14639.8447	13187.2012	12903.7236	12869.5713	13137.7168	14646.2432	12770.3643	11241.4277	13604.6172	12357.9385	14007.3096	15943.1436	15411.1387	11545.4385	13548.4248	14333.793	18084.6797	14109.6895	16281.5322	14763.2178	13754.5996	15236.4912	14724.9854	14000.749	14666.5488	16633.6094	12434.3623	15779.1758	12391.9883	14874.5596	19113.877	19892.8301	17869.3086	13773.7539	14325.6523	12027.708	12222.6748	12342.4326	11907.3359	14669.4795
