x	Y_20181208_15692_37_2g	Y_20181208_15692_43_15g
0	10555.5312	9983.8408
0.1334	11937.0928	10657.2441
0.2668	14513.8057	10929.2559
0.4003	16080.3408	11645.8564
0.5337	14824.1045	13837.3955
0.6671	14390.6807	14841.6406
0.8005	14435.4092	13612.459
0.934	15045.2676	13756.7471
1.0674	15716.8662	13750.0254
1.2008	15960.7832	13490.1445
1.3342	16988.2969	14260.2637
1.4676	18033.3594	14269.6797
1.6011	17905.4941	14355.2959
1.7345	18315.5645	14030.5713
1.8679	17318.1152	14201.0879
2.0013	16604.7363	13824.7969
2.1347	16192.5498	14897.6582
2.2682	15691.667	16705.0352
2.4016	16600.7207	15914.0273
2.535	16227.041	15970.335
2.6684	15124.7812	14721.3389
2.8019	13960.7217	13410.7158
2.9353	14246.1309	13367.7783
3.0687	14298.2422	13280.7549
3.2021	13885.9453	13481.7852
3.3355	13325.2881	13351.8496
3.469	12515.3643	13280.0107
3.6024	13177.4697	13078.1035
3.7358	13702.1357	12978.0674
3.8692	13311.123	12353.541
4.0027	12480.6455	12026.4521
4.1361	11582.6807	12148.5947
4.2695	11448.1123	12139.0898
4.4029	10240.9102	NaN
4.5363	10053.8545	NaN
4.6698	NaN	NaN
