x	Y_20181208_15692_30_1g	Y_20181208_15692_31_11g	Y_20181208_15692_31_15g	Y_20181208_15692_31_2g	Y_20181208_15692_36_12g	Y_20181208_15692_36_7g	Y_20181208_15692_37_12g	Y_20181208_15692_37_13g	Y_20181208_15692_37_20g	Y_20181208_15692_38_7g	Y_20181208_15692_39_15g	Y_20181208_15692_39_1g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_41_4g	Y_20181208_15692_41_5g	Y_20181208_15692_41_7g	Y_20181208_15692_43_6g	Y_20181208_15692_44_19g	Y_20181208_15692_44_7g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_8_1g	Y_20181208_15692_8_9g	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_16g	Y_20181208_15692b_15_1g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_8_7g
0	29532.666	29638.252	30882.7305	30068.0938	31276.9902	24824.4844	29955.9941	28923.9434	30885.1367	28983.1348	29914.6562	28869.4414	30533.6992	29747.7539	29490.9473	29154.0645	29359.2383	31372.5742	27579.0938	25475.6621	31214.2695	28874.0762	30469.3887	30672.9082	31209.1133	29176.0586	24854.5332	28203.6758	28813.6465	26432.8086	32649.4629	29884.0957	30310.6973	26314.6309
0.1334	28742.5762	29706.6992	32038.1855	28964.6367	31723.2559	24678.0938	28926.0566	28818.0879	31758.4102	29809.707	29621.6484	28873.0645	30720.3691	29907.75	29979.3125	30268.4629	29706.459	29983.8438	26394.9336	27076.3711	31545.9512	29617.1582	30044.4785	29771.2656	29968.4082	29793.5879	23568.9277	28867.3867	28935.6914	26965.3164	31876.6797	30332.0527	33403.9727	24561.2188
0.2668	31221.0742	29853.2363	31416.2695	28089.9766	31710.8789	25608.0801	30938.1211	30251.9902	31518.748	28385.9004	30687.4141	29154.1582	32213.1152	30881.7383	30005.6504	29269.7188	29641.1348	31721.4629	26690.7754	27418.0703	31591.8047	31020.2441	30393.4805	30400.3145	31735.707	31559.6289	23826.6953	30230.2773	29855.4316	25576.4434	32882.9336	29132.2969	32658.0195	25266.5371
0.4003	29914.4258	28498.2949	30978.4297	28863.0508	30397.5938	26630.1758	29285.6465	29645.0781	31747.4473	28673.7344	30423.8125	31050.9688	33790.4688	31616.6523	31122.7852	30990.5723	28849.1484	30782.5566	26157.2441	27549.7949	32360.043	30632.7773	31835.4199	30986.8086	30468.1777	29435.6289	24552.3145	30144.2383	28488.793	25894.8262	32655.9629	29526.8711	33069.4766	23991.9766
0.5337	30335.6973	30063.5625	32136.7773	29345.2148	31561.8496	27386.7832	30565.9805	29785.1523	32014.1445	29872.6191	31110.9199	29012.9551	33964.5508	31823.3281	32285.0195	30328.7324	28680.2676	31334.8652	26744.6953	27186.4746	31642.6484	31246.8145	30834.3535	29812.3613	32187.6152	28739.2246	24630.9609	31122.5938	30036.3789	26467.8828	32530.8848	29709.3203	32311.6816	24981.0039
0.6671	29547.3262	30468.8711	31334.0391	29787.5508	30336.7832	27333.2734	31883.7715	31429.2227	32292.4219	31172.0645	32990.4844	30501.7168	34592.0742	30866.0703	31908.1445	29675.0781	27517.0723	30754.457	26910.8398	27723.3691	32079.3281	32178.3105	30915.8477	29740.7715	30307.1992	30500.3477	23796.25	30474.6719	29905.3066	25624.7266	32222.6191	30412.0879	32324.5039	24723.8047
0.8005	30414.5918	30782.6523	33871.3359	28524.0098	30830.4238	27130.2617	31197.1543	32610.3711	33426.9062	31180.6094	31903.5996	31229.8223	33880.0312	32634.0234	31371.9199	31590.1055	29729.6523	29399.4668	28129.6445	28047.4277	34146.3633	33541.4102	31670.9238	28938.6797	29814.5566	30995.3457	25004.3809	32780.2461	29226.5918	25290.7285	33040.7266	31060.0957	33915.5273	25970.5566
0.934	30070.3398	29907.0234	33553.6211	27346.0234	34194.9453	26684.2383	32401.7539	30392.8906	34669.5391	32127.707	31504.0156	31409.1309	33693.5352	33670.2422	31889.6172	30722.8945	29093.418	27946.916	26438.25	26863.3242	34529.2969	31391.0098	32118.6816	30252.9805	29417.1055	31395.3984	24524.6914	31763.2207	29504.7305	27198.6055	33739.6562	30931.8145	33051.5781	27344.7246
1.0674	29403.4102	29325.1191	34459.2031	28098.0215	33961.2031	26923.5625	32848.2305	29212.4043	35336.2734	32428.6582	32534.3438	30860.4844	33365.9961	32311.1211	32119.6309	31779.5547	29147.502	29987.2207	26738.9141	28831.7148	32423.7207	34952.4844	31792.4082	30417.1934	30130.5703	31320.9609	24028.5449	32998.4414	30201.8184	26616.3027	32424.4961	32773.4297	32724.7051	25368.6348
1.2008	28698.8184	29147.3789	33557.4844	28810.293	34715.0625	27626.709	31479.7168	30261.9258	33382.9258	31020.7715	33753.5586	30715.5078	34678.0117	32424.0195	33098.0039	30639.1738	30131.2266	28227.0293	28761.9219	27309.4961	34138.3086	34031.125	32135.8086	29908.8594	31726.5156	30953.4102	25215.7617	32885.0938	30553.4512	27535.3555	32838.6328	34039.7422	34873.1875	26272.0195
1.3342	28623.3652	29315.7266	34335.8477	28680.2246	37881.4727	28991.8574	32787.9258	31035.5332	33536.0273	31627.7949	33188.5195	31200.8945	34814.8125	33352.7852	32711.2383	31356.4473	29830.959	30669.8965	29016.752	29623.377	32303.373	35587.3008	33297.7539	28930.0488	31401.748	31710.0098	25361.084	32316.5977	29748.832	27360.3809	34090.3359	33825.0703	34410.5234	27028.5742
