x	Y_20180224_15100_12_4g	Y_20180224_15100_15_3g	Y_20180224_15100_15_7g	Y_20180224_15100_30_7g	Y_20180224_15100_8_3g	Y_20180224_15100_9_8g
0	15313.265	14439	12314.945	14302.55	12495.321	16690.145
0.1334	16368.222	15594.649	12244.256	15652.316	11865.737	17684.393
0.2668	17949.736	17147.855	13035.583	20656.867	13316.86	19497.008
0.4003	21524.387	21791.426	15870.055	26686.084	17223.643	21973.721
0.5337	27589.664	25357.002	21491.959	29395.742	24358.525	21042.252
0.6671	35478.805	23837.721	20701.324	21552.383	35232.641	17850.375
0.8005	33465.676	21339.709	17951.502	18860.25	37827.734	16953.67
0.934	26106.99	20028.58	17341.814	18083.053	33759.203	16289.566
1.0674	20969.982	19153.881	16940.502	17774.936	29639.047	16380.808
1.2008	17710.947	18607.59	17514.58	17408.881	24457.33	16203.73
1.3342	17651.49	19361.701	18452.971	18250.139	20190.16	15900.384
1.4676	18697.758	19935.396	18153.416	18754.754	18452.965	16066.982
1.6011	19922.131	19157.152	19076.865	18585.506	17657.125	15715.85
1.7345	19971.506	17032.227	19167.348	18244.857	16570.836	15656.959
1.8679	19854.693	16721.682	18633.791	19188.408	16505.795	16287.427
2.0013	20645.002	15772.425	18437.738	19891.723	16110.471	17055.469
2.1348	20507.539	17101.029	17244.572	19046.609	16641.574	18710.871
2.2682	20849.879	18059.764	17568.988	16625.877	15981.278	19479.738
2.4016	18598.289	17336.598	19281.166	16001.481	15279.907	20572.662
2.535	18776.213	16580.461	20202.201	16605.133	15565.51	19560.326
2.6684	19831.123	17681.396	20046.191	18306.463	16086.364	18335.072
2.8019	20503.254	16592.178	19616.945	18632.352	16818.764	18893.594
2.9353	22050.68	17710.809	18635.709	19623.744	16610.432	17457.287
3.0687	21398.822	17405.633	18511.631	18396.064	17511.109	17329.393
3.2021	20659.475	17992.631	17395.053	18898.094	18137.334	17974.379
3.3356	19422.104	17153.479	16930.029	17652.5	19858.424	17740.322
3.469	18373.316	17032.154	15779.043	16947.789	19580.449	17110.83
3.6024	18836.613	17329.855	15233.799	16555.562	17524.949	15798.325
3.7358	18474.324	16960.98	15510.107	16081.678	15642.307	15870.694
3.8692	18384.264	NaN	15588.619	16580.666	15255.746	15974.672
4.0027	17258.672	NaN	NaN	NaN	14382.372	15448.906
4.1361	16536.52	NaN	NaN	NaN	13719.381	NaN
4.2695	17358.838	NaN	NaN	NaN	13810.818	NaN
4.4029	17174.586	NaN	NaN	NaN	NaN	NaN
