x	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_7g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_23_3g	Y_20181208_15100_4_1g	Y_20181208_15100_5_14g	Y_20181208_15100_5_9g	Y_20181208_15100_6_11g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_4g	Y_20181208_15100_8_2g	Y_20181208_15100b_1_2g	Y_20181208_15100b_1_7g	Y_20181208_15100b_12_2g	Y_20181208_15100b_14_8g	Y_20181208_15100b_14_9g	Y_20181208_15100b_15_1g	Y_20181208_15100b_15_7g	Y_20181208_15100b_17_11g	Y_20181208_15100b_22_14g	Y_20181208_15100b_22_15g	Y_20181208_15100b_22_2g	Y_20181208_15100b_24_2g	Y_20181208_15100b_25_3g	Y_20181208_15100b_27_6g	Y_20181208_15100b_29_1g	Y_20181208_15100b_29_4g	Y_20181208_15100b_30_2g	Y_20181208_15100b_4_6g
0	29798.6543	30545.9355	31753.4785	29389.2461	25424.0449	30660.4199	32817.2188	30977.2598	26601.1973	29458.6582	28329.9219	30326.4863	27719.9102	27922.918	30109.9766	32030.0254	30775.9609	25633.9375	28411.8633	30319.2344	24947.1016	26940.7715	29848.3828	27198.3242	31825.5781	31397.9023	30451.6953	27825.7246	30552.0469	26244.2871	27933.1875	32118.9688	25961.0254	28476.7285
0.1334	30259.6035	31409.2188	32035.2324	30528.1055	25584.6465	28913.8984	31404.1602	30671.4648	26496.7324	29536.6445	30745.541	31274.877	29547.0117	29208.1348	28669.3594	32740.2285	30430.6914	24791.2949	28393.2188	29908.0547	25777.4004	25102.6719	29330.9727	27977	31204.5977	32069.1992	29741.3086	28643.5859	30712.5059	26402.2051	29539.5566	31113.8789	27601.9219	26843.0586
0.2668	29030.0625	30773.0117	32375.6406	30291.584	26295.377	29248.2793	29297.8008	30669.4414	27018.6973	29763.8105	31065.7891	32018.207	29618.6816	29109.4414	29933.0488	31895.4375	30327.6855	25011.3066	28276.3438	29061.918	26348.1836	25314.9941	29301.9863	27494.7402	31220.9238	31967.2285	29826.1367	28263.1621	30633.2188	26699.3652	30333.9336	32012.832	26789.4297	26826.6289
0.4003	28740.0977	30059.7441	32234.0078	29986.9082	27287.9492	31034.9941	29608.2188	30295.0273	25841.4707	29839.418	31379.1504	31910.5645	28255.0391	29217.8926	30850.2832	30716.7656	32591.293	25588.2812	28857.5996	29211.2988	25401.8379	26170.7832	29869.6465	27606.9883	30913.1582	31376.416	30918.5195	29948.9277	30641.334	27249.6914	30492.6406	31629.8848	27021.7383	27310.6816
0.5337	29333.9023	29987.7715	31994.7188	30507.9355	26252.7734	29048.6621	31213.6934	30032.7734	26902.8242	30983.3301	31441.293	31982.4551	28994.0215	30269.3145	30119.0273	31417.7129	30863.5879	24895.8906	29181.9844	30985.373	25962.7617	26905.6914	29210.9629	28574.1016	31097.0391	31834.2109	29502.5508	28248.9805	30126.2422	29542.8457	31510.875	31975.5645	26306.2559	27359.7441
0.6671	30015.1211	30261.0566	32239.5605	32665.6348	25227.9375	30873.5234	30312.8613	30752.6895	27828.791	31451.1797	31846.5352	32805.7109	29961.0781	29280.2832	32668.5254	31883.0352	31458.7363	25293.418	29423.4082	30649.3633	24948	27815.4121	29758.0137	29051.5547	30814.2246	32704.3047	28581.5977	29565.9668	30361.7168	30188.5547	28778.457	32251.0879	26922.5566	26819.4609
0.8005	30369.9551	30526.8477	31593.9062	32716.377	25455.4082	29846.748	30079.7656	29955.2422	27741.3516	30896.5215	32859.7227	34243.7109	29322.2773	29522.6875	30883.0371	32774.0859	31540.9434	26201.1699	28122.5137	30794.0703	24557.4629	27574.832	30526.3262	27948.0352	31876.8027	30832.6484	29760.5977	29244.541	29789.8574	29884.0488	29912.3867	32756.4512	26625.8906	25993.3184
0.934	30638.0547	31750.6504	30603.6309	32009.3008	26259.8594	30289.9824	30450.8105	31712.4238	26278.1875	31169.2402	32282.7324	32282.502	30199.1621	28673.7402	31378.0957	31127.6895	30062.5117	27060.3906	28236.25	30985.5762	25652.791	27000.377	29808.7148	27837.1172	32410.1133	30224.6445	29081.332	27661.7422	30473.7129	29381.2109	29723.8613	31402.3691	26427.8711	26626.248
1.0674	30969.3984	29922.1758	32694.7402	30978.7734	25852.7324	31725.0918	31636.5059	32113.752	28690.8262	31236.4336	33244.7227	32316.457	30588.1387	28853.5332	32435.1504	31768.9102	31442.4082	25896.4297	29652.0938	30470.7422	26169.502	27570.7012	30941.5254	28512.7773	32936.5664	31373.75	30184.752	27750.2188	30967.7598	27793.8496	29216.125	30229.4824	27169.1328	25369.5508
1.2008	30741.2852	31377.2812	32149.125	29863.2832	26116.3926	32881.0312	32092.8809	29895.2031	28154.0762	30159.8574	31401.1562	32699.1387	29025.0664	28911.3184	32179.6211	32092.1367	31221.8789	25995.0371	28375.0918	30658.8379	25152.8926	27288.2695	31116.1152	30038.5254	32563.4102	31657.2227	28948.5273	29681.7363	30280.4941	27900.9238	30374.5527	31477.1465	28540.9551	25705.7188
