x	Y_20181208_15693_1_1g	Y_20181208_15693_1_5g	Y_20181208_15693_10_10g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_7g	Y_20181208_15693_13_1g	Y_20181208_15693_13_5g	Y_20181208_15693_13_9g	Y_20181208_15693_17_10g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_18_7g	Y_20181208_15693_18_8g	Y_20181208_15693_2_1g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_20_7g	Y_20181208_15693_4_10g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_12g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g
0	9312.2725	10654.5303	10400.3389	10575.0508	12871.6836	11098.2012	12252.8965	9492.8398	9954.3223	10380.7734	9177.3271	12379.3857	11347.2002	11298.2021	11003.1055	12160.6865	10527.8643	9730.5371	12521.2119	9136.8291	11937.0156	9600.667	12555.5254	11655.8682	10143.3389	11551.5205	11896.4893	9821.4609	10500.4502	9704.1729	10628.5977	13018.2607
0.1334	9543.1865	10611.832	10838.3691	10947.2832	12588.5117	10799.0986	12995.4434	9783.7188	10834.8369	11087.0215	9572.4268	12709.4521	11568.6191	12149.3135	10945.8945	12588.0439	10615.0303	10576.1445	13286.5439	9740.415	14399.4414	9394.7969	12741.2363	11505.5264	11232.8291	12786.876	13590.3926	10005.8359	11527.6025	10731.3711	11031.0518	14729.5801
0.2668	10081.6816	12104.8574	11714.9365	12003.625	14547.1348	11586.8613	14700.3574	10885.7549	11630.9814	11396.415	11043.0801	13356.7363	11689.1201	13222.1338	12508.9004	13433.1104	11264.1885	11717.9199	13656.6729	10513.6436	15003.3613	10079.2959	14211.0586	12464.6924	13376.3701	15088.3447	16432.4395	10955.5654	12134.0068	12492.5312	11244.8467	17876.3457
0.4003	11939.9434	12862.7412	11853.7188	14368.4932	17835.9844	12570.7139	15577.9688	13064.1826	13086.7861	12145.373	12749.6787	15722.6445	12680.6406	13304.1396	14407.3477	15966.2197	12463.4785	13130.4072	14552.3252	11702.5127	15441.2725	11022.5449	14292.7754	13548.7461	15957.1963	16133.8936	18615.2344	11365.5771	13206.8545	15021.125	12520.8584	20870.8477
0.5337	12945.9697	14930.8779	11911.0137	15560.208	19140.0391	13870.4023	15662.5908	17089.0156	13251.5918	13100.6553	16562.4863	18837.4473	14559.1592	13996.0166	15639.7061	18414.0078	13717.6641	13849.2832	15667.3574	13170.4561	14247.1445	13710.2354	12792.7305	14281.3145	15802.875	15957.5342	18340.7266	11094.3125	14979.542	17155.1055	14834.4414	20822.6445
0.6671	12406.5615	16405.0703	13213.0264	16699.9648	16915.3555	15047.5234	14287.5791	17409.6113	12591.8164	15680.5947	18290.8398	19707.1094	17720.709	14165.1064	15324.9102	18662.709	13329.2246	16510.4414	15506.4639	13838.4004	13267.3848	15780.1934	12193.4463	14644.2646	14794.9883	15260.252	16689.1133	11864.3682	14141.8887	18840.9082	17309.9609	16922.8184
0.8005	12058.0508	17384.7402	14311.4121	16064.3613	16262.3105	14492.7012	14219.1943	15787.9355	13128.127	15658.5752	17742.0938	16824.4062	16940.0312	14276.4961	15127.1514	16755.9414	12545.1885	17891.8848	16063.8027	13240.4648	13470.0283	16314.3242	12456.6172	13552.291	14188.6191	14417.4502	16517.4941	12553.1543	13222.418	17272.7422	17537.3516	15768.2295
0.934	11298.5439	17575.5156	15246.6367	15340.0039	15230.4961	13871.7656	14436.0918	14756.0518	13058.0615	15139.9346	16536.7637	14366.9941	15576.7197	13266.2598	15296.3818	14547.5723	12617.7549	17831.0977	15738.8848	13897.1309	13750.1201	14726.6787	12686.957	13798.0215	15007.6719	14652.5957	16194.6104	12932.5488	12309.1279	16180.834	17900.6211	15636.2139
1.0674	11948.9443	17280.7539	16593.8789	17027.0469	14217.3125	13173.6416	15373.2939	13218.8555	13797.2998	15060.2324	15769.3672	13003.8086	13625.5117	13528.668	14437.1533	12949.6738	12391.3047	17678.5293	14824.415	13112.9609	15137.4639	14434.9746	13197.29	13046.0557	15667.1982	16293.8486	16221.9092	13701.999	11504.1943	14569.1465	18344.209	15341.1191
1.2008	11044.1777	15933.6768	15960.3789	17731.6895	14644.6104	13875.0801	15182.1455	13792.4258	13401.4736	13870.8447	16571.7148	12360.1406	13049.7461	13798.6133	13842.6768	12996.5576	12863.8018	16595.9238	14568.248	12352.1982	16064.6787	14603.7412	14274.5352	13589.1533	15012.3271	15824.2236	16588.1738	14236.9141	11812.1064	14901.5234	18642.0156	15563.6611
1.3342	11431.9062	15294.3994	16172.0215	17817.8574	13546.0381	14971.4814	14416.2197	14467.4395	13119.876	13309.1709	16710.1074	12751.3115	12961.7646	13936.5205	13453.1611	13115.582	12979.7959	16908.4531	15574.75	12764.5059	16533.3594	13621.1094	14189.8555	15326.3027	15637.4141	15782.5791	16558.1699	15007.9609	11149.4893	13588.3994	17479.2402	15399.168
1.4676	11238.1357	13677.4414	15109.9229	16686.3496	13693.9883	15075.7656	13090.8359	14729.6934	12607.6143	13607.9307	16715.2344	12179.3281	12677.25	13694.9053	12668.8906	13676.0049	13792.1465	15989.0029	14903.3184	12681.8916	15785.6982	13605.0811	14116.6484	15645.6484	16355.3828	14738.6914	16814.8184	13862.3887	11193.0088	13840.8486	16523.1719	14340.875
1.6011	10575.3457	13528.9336	15124.7451	15799.4326	13794.3789	13896.6592	12011.4268	13904.1035	12408.1377	12764.6328	16085.9766	11594.4766	12395.1523	13694.8604	11722.5615	14516.6523	13661.5361	15004.3682	15165.2256	12589.3242	14851.8691	11780.6416	13605.4434	12942.8516	14686.918	13615.5898	15553.0137	13658.9453	11000.7197	13384.6895	15360.0791	13324.707
1.7345	11160.6064	13677.7324	14265.4746	14353.8701	13138.7451	13349.5986	11915.0391	12384.5684	12845.6152	12673.0781	13688.5215	11326.0068	12090.458	13346.4814	11163.2334	13890.6992	12433.3945	15619.2627	13766.249	12047.8965	13245.3896	11712.2598	13775.6055	13882.7705	14489.2236	13603.3408	13995.751	13254.1689	11078.7314	13025.2695	15870.1045	12526.5674
1.8679	10985.8447	14412.7295	13232.001	14319.9922	12599.6436	13285.335	10967.5	12227.5283	13216.4961	12427.0371	12280.0176	10890.2832	12713.9795	13447.2168	11729.9297	12962.3682	13147.7646	14328.7773	14262.2559	11718.6475	11970.8418	11896.584	13878.3174	13444.2656	14361.8242	13327.9346	12684.4941	13014.5137	10456.0322	12916.209	15170.2344	12784.0596
2.0013	10504.3564	14458.1338	13621.1367	12742.1299	12178.2744	12849.7588	10669.0293	11999.3965	13943.582	12282.6494	11733.9072	10771.0283	12669.8145	12957.373	11299.3994	11810.3936	12500.0635	14095.9854	13623.4766	12267.3203	11618.3252	11887.5098	13549.9131	13887.6416	13035.2607	12627.749	12505.123	12984.9912	10261.0938	12335.209	15922.123	12938.6719
2.1347	10351.2588	13243.3633	12714.4648	12305.9824	11970.8906	13335.1934	10631.4062	11369.8164	15180.9043	12614.5049	11359.7305	10529.9258	12421.1406	12318.9443	11657.3887	11754.2705	11838.4961	13495.3486	13871.373	11586.7617	11883.3457	11899.9365	NaN	13119.5703	12877.3086	12958.8633	11800.3018	12538.002	10522.2969	11805.7393	15532.4229	12531.6201
2.2682	10303.3955	11931.2012	13012.1709	11895.8271	12202.0488	12838.1436	10979.9043	10719.4795	14808.9199	12630.0049	10725.3926	9855.2871	12269.2422	11708.3682	10562.5039	NaN	11814.9121	12382.2949	14208.793	11761.373	NaN	NaN	NaN	13675.3711	12575.6279	12603.5664	11798.4316	12524.958	10916.9463	11495.9795	15716.7871	NaN
2.4016	NaN	11412.5781	12714.043	11783.0293	13127.9365	12852.2764	10522.5996	10549.3076	13805.0967	13401.7354	10770.9092	10159.2393	11965.3467	12039.873	10906.3887	NaN	11562.4229	11793.4834	13617.7578	12352.3037	NaN	NaN	NaN	13759.7207	11872.543	NaN	12013.9727	12589.7764	NaN	NaN	14490.5527	NaN
2.535	NaN	11772.1201	11988.1885	11871.5029	13150.5771	12325.0518	NaN	10806.5762	13072.7422	NaN	11262.1338	NaN	NaN	11989.5527	NaN	NaN	NaN	11379.9072	NaN	NaN	NaN	NaN	NaN	14313.8135	11637.4717	NaN	NaN	12547.3105	NaN	NaN	14519.9092	NaN
2.6684	NaN	11387.7471	12139.2334	11765.3418	12846.874	11894.6719	NaN	10877.376	13244.5586	NaN	10898.0342	NaN	NaN	12008.998	NaN	NaN	NaN	11409.1982	NaN	NaN	NaN	NaN	NaN	13550.3418	11326.8721	NaN	NaN	12497.2061	NaN	NaN	13149.1748	NaN
2.8019	NaN	NaN	11876.4893	NaN	NaN	NaN	NaN	11208.2969	12853.8525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13180.2314	NaN	NaN	NaN	12424.2227	NaN	NaN	13722.374	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11865.7744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12529.8799	NaN	NaN	NaN	11417.8477	NaN	NaN	13220.6641	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11573.3232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11713.3711	NaN	NaN	NaN	10817.248	NaN	NaN	11734.5752	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11578.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11174.4258	NaN	NaN	NaN	10294.3066	NaN	NaN	11492.8506	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12165.6982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11350.7471	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13003.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10764.1885	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13172.6855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10153.3926	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12328.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11830.959	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11466.8994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10364.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9995.8672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9926.1416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
