x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_10_4g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_11_6g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_11g	Y_20181208_15693_13_12g	Y_20181208_15693_14_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_7g	Y_20181208_15693_15_11g	Y_20181208_15693_15_9g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_4g	Y_20181208_15693_19_8g	Y_20181208_15693_2_2g	Y_20181208_15693_2_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_20_4g	Y_20181208_15693_3_4g	Y_20181208_15693_5_6g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_8g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_7_6g	Y_20181208_15693_7_7g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g	Y_20181208_15693_9_8g
0	31897.6914	27627.0195	30754.1191	28826.666	29445.0625	27380.4883	27414.0137	31254.7793	32903.2773	27922.5215	26958.168	28790.2891	32287.6875	32811.4805	26309.4902	27107.0332	33198.9961	31346.0449	29170.1094	28288.1172	30633.7832	28694.6953	28803.6895	29395.1582	30470.6504	32197.1523	26706.0605	32814.7852	31302.4082	29027.3223	30971.0371	32077.8965	29427.668	26957.4551	29623.0078	30742.7832	28703.7344	32774.8242	29433.9531	31819.6406	26778.3281	30511.1582	26258.8711	26309.1094	32137.2832
0.1334	32501.4473	26352.3555	31744.5898	28937.3125	31020.3555	27728.6973	28552.3613	30602.6973	32464.7832	27085.5723	28028.8496	29229.0273	32633.1074	31808.7227	26394.1328	27936.5352	31557.0469	32286.7871	30295.9219	29051.4434	31379.3809	27909.4727	29837.4375	28996.0547	32482.3066	31144.834	26089.6055	31977.7422	31005.8203	29151.4375	31858.3516	31695.2109	28195.2871	27641.3965	31764.9102	30317.9102	30047.1953	32335.8203	26838.3184	29235.6953	26446.9707	31346.8223	27647.4297	24316.6426	31818.7598
0.2668	32351.8164	26910.0508	30895.127	28028.4102	28839.334	28339.6211	26952.9102	30164.0781	32562.7344	26547.1875	27995.0801	28088.4355	31656.8203	31789.5352	25023.2695	27979.5898	31341.7324	32429.6699	30587.5273	30015.5137	30754.1699	27811.498	30830.709	27929.3613	30822.5156	30597.334	26830.8535	32350.748	31005.207	29248.2441	30354.9492	32104.1445	30193.0293	27873.3691	31040.2656	29956.6152	29365.4453	32441.1973	27398.6875	30297.1016	27613.7461	32156.5977	26567.8223	25150.1309	32126.584
0.4003	32737.5586	26256.3438	29442.8887	28227.5723	28616.5234	26905.3457	27863.3652	30821.334	30680.7031	27467.2637	27727.5508	27889.1523	30319.5195	30548.9023	25132.1406	26798.5488	30976.002	31413.8984	29301.8457	29652.2402	30670.3457	29229.1504	30432.252	29286.9727	30600.082	31099.8281	27320.4082	33678.3633	31174.6562	30214.1016	30601.7617	32507.791	29370.8457	26650.5547	31067.9766	30583.8418	28405.9941	31741.6172	26980.6016	29370.2012	28147.5605	30838.9277	28955.0273	24915.6094	31387.5879
0.5337	32779.6016	26859.0977	28252.959	27985.9961	28599.4199	26427.4121	27423.4062	31838.8926	31165.4004	25593.4961	26658.9902	28142.2559	31396.5957	29922.6348	25256.709	25838.041	30851.2383	31666.3828	30268.0586	28436.7539	32230.0762	28528.7852	29770.1172	31370.4551	30382.3594	30795.9629	26319.793	32861.9492	31422.0215	30516.3066	30580.6855	31294.8008	28035.2812	26513.6719	31838.0625	31697.0586	28983.3457	31924.7656	27524.1836	29142.9688	27660.4805	30296.291	28163.6426	25547.3379	31135.0918
0.6671	33464.3164	27289.4297	29775.5508	28405.3418	28524.4141	26215.3027	27129.1484	30752.1289	31771.877	25184.7422	27202.2656	28227.8887	30919.5508	29808.2832	24947.6445	25845.3867	29889.1172	31282.5508	30223.6934	29601.625	31104.9551	29034.6465	31629.0449	30770.9746	31286.2988	30405.4141	26166.3965	33531.7891	31785.5996	30924.8867	30700.043	32539.0371	29314.6133	26163.3828	31049.7637	31962.457	29336.9336	31760.3242	27368.9395	30004.0234	27658.8301	30195.3555	26094.2207	24868.748	30080.0938
0.8005	32386.8828	28047.1797	30124.7715	27487.9961	28207.9258	27229.8438	27712.6387	31250.0957	32287.498	27218.2656	26611.2363	28942.7754	29968.4668	30211.0098	27064.4453	27184.6602	30103.6641	30843.332	30298.1289	29915.6113	29678.959	30145.0723	30056.6777	31358.3691	30914.4043	30305.7598	26562.5547	34745.3242	31042.5605	29151.5352	31294.4824	32321.3789	28263.7148	26760.123	32379.2344	32545.8477	29220.8418	32044.2637	27852.0469	28903.6992	29151.9629	30684.7207	27039.3125	24392.1699	30590.3535
0.934	31397.6504	26067.5449	30905.502	26628.8223	29668.6758	27478.873	27278.2617	30015.2227	31885.25	26678.6445	26881.9766	29167.9453	30269.3477	30007.1094	26349.1582	26457.2832	31509.3535	30861.0117	29759.0098	29144.5977	29138.4648	38081.8047	30635.8789	31705.7832	31172.8359	30791.8145	27198.4082	32880.9141	33746.7578	29480.998	30668.6367	31756.3145	30685.1367	26807.9043	32742.4023	32404.0117	29899.7793	30625.0508	28532.6816	28743.791	28044.2012	29271.3145	27390.3262	24100.7207	30879.2871
1.0674	32095.8203	24627.7715	29665.4512	28415.4121	28430.0449	27631.8945	27436.3867	31733.5645	30969.7949	28436.6074	28003.7734	30879.3164	30103.0293	29648.1934	25384.8516	27589.8418	31924.7207	29852.5059	31549.709	28892.8809	29977.4395	44693.0312	31290.043	31575.1035	31205.3223	32484.4004	26890.8652	32437.8262	33719.1641	28122.9434	31761.4766	33179.7578	28292.7676	25610.1641	31769.0098	33622.043	31221.8438	29266.457	28160.4121	29097.2148	27872.9648	29467.7402	27352.5918	24924.5469	31641.3535
1.2008	31496.1543	25624.2969	29113.3398	28739.0938	28429.9219	27774.0293	28946.7637	30919.9902	31974.0449	29705.7969	27934.3301	30591.1074	30311.9727	30435.9453	26040.918	26296.9023	30526.3398	31201.6836	31025.1641	28696.4863	30857.2852	41964.2109	31114.6016	31971.2578	32964.8672	30689.2832	27827.5625	34420.0234	32038.2949	29553.0527	32278.1309	33627.9336	28305.541	25463.168	32534.25	35858.0586	32385.209	31295.916	27867.7969	29508.9004	29212.8223	29312.5312	27782.4785	23680.3828	31498.1777
