x	Y_20181208_15693b_8_6g
0	9934.7197
0.1334	10379.7549
0.2668	10408.9922
0.4003	11313.3574
0.5337	13278.1689
0.6671	14014.7266
0.8005	13944.1611
0.934	13665.1846
1.0674	13587.6035
1.2008	14588.627
1.3342	15219.168
1.4676	16872.6191
1.6011	15167.3438
1.7345	15743.1621
1.8679	15475.1895
2.0013	15857.3887
2.1347	16759.5762
2.2682	16291.8516
2.4016	15702.7471
2.535	15707.916
2.6684	14200.3105
2.8019	13873.9639
2.9353	13529.7119
3.0687	14111.1426
3.2021	13381.3408
3.3355	13388.96
3.469	12338.0186
3.6024	12441.6719
3.7358	12163.9385
3.8692	12584.1709
4.0027	12832.2129
4.1361	11607.7158
4.2695	11655.6367
4.4029	12201.5273
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
