x	Y_20180212_14590_12_2g	Y_20180212_14590_14_1g	Y_20180212_14590_18_1g	Y_20180212_14590_18_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_2g	Y_20180212_14590_38_1g	Y_20180212_14590_3_2g	Y_20180212_14590_40_4g	Y_20180212_14590_41_1g	Y_20180212_14590_9_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_17_1g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_3g	Y_20180212_14590b_9_7g
0	13826.381	13944.156	13845.27	13044.12	13301.799	14323.329	17994.619	11712.56	13209.868	14266.483	13315.756	12987.938	11421.674	11754.832	17943.676	12611.169	17060.752
0.1334	15659.877	13600.894	15416.044	13186.465	14094.34	15320.339	18268.576	13016.623	14154.626	14957.707	14092.516	13471.657	11811.882	12758.036	19130.824	14113.854	17440.637
0.2668	19777.004	15408.649	16691.842	14859.307	15483.448	15783.423	19324.471	14653.985	15329.937	17101.852	15529.438	14081.9	12557.911	13287.547	20781.887	15758.84	19392.533
0.4003	18798.512	17581.309	19340.955	18097.348	20215.248	18694.898	22016.496	18155.674	17224.492	20253.426	19037.053	14937.418	15152.697	14446.862	22173.744	18064.959	22008.291
0.5337	18355.27	18145.945	22157.254	21507.617	22974.795	24203.943	23799.701	21550.012	19387.926	22299.488	25676.703	17007.951	16799.691	16698.92	22051.764	17975.053	20294.545
0.6671	17731.248	17201.48	21469.682	21333.604	22349.744	29322.574	24645.213	22397.02	20664.215	21149.355	27226.879	18942.746	15700.384	17221.402	20165.789	17486.869	18705.41
0.8005	17227.283	18105.463	18627.701	20186.021	19823.648	26218.049	21599.6	18596.48	20379.434	19640.859	25218.025	21426.16	15607.891	16490.514	19232.033	17177.953	18300.514
0.934	17431.654	18253.189	17332.379	19993.217	18569.648	23520.482	19766.682	16994.514	19799.945	17508.891	21811.791	21526.09	15799.425	17269.445	19186.029	16723.584	19070.088
1.0674	16953.352	17415.666	16101.672	18578.598	17638.557	21132.979	19428.305	16657.957	18952.072	18166.426	21382.43	20025.424	14708.492	16885.273	18626.158	17030.098	19514.385
1.2008	17870.055	17315.307	15793.62	18262.6	17022.533	21428.457	18732.031	16835.848	19061.059	17652.889	20434.545	18470.01	14345.269	17265.959	17113.926	15914.582	20220.707
1.3342	16661.252	16933.773	16753.223	18412.172	17056.625	20723.314	19003.949	17988.219	17993.588	17607.543	21622.15	16990.34	14424.08	18321.252	16202.669	15288.926	21568.422
1.4676	18256.352	18608.047	17555.133	17157.438	18256.475	20632.438	18606.582	19317.799	18245.418	17497.457	22880.457	17669.863	15046.889	16714.789	15277.278	15599.398	23225.492
1.6011	20656.609	19337.615	19007.121	17363.824	20153.627	20678.059	19150.035	18385.838	18923.633	17863.371	24861.381	18457.883	14479.887	16739.029	15878.357	15485.707	24346.086
1.7345	23106.713	20599.559	21591.141	17475.652	23136.336	23949.029	21178.812	18243.545	20681.707	19471.01	28307.225	18412.311	15448.262	15767.567	17651.211	15644.92	24767.93
1.8679	25796.771	22889.363	21530.25	20813.064	29221.322	30417.199	22114.338	18829.566	25258.641	19274.615	33073.418	18980.719	16237.372	16223.825	18223.014	14831.61	22067.576
2.0013	NaN	22448.803	21953.453	26715.48	34086.234	39103.617	23371.318	20050.812	32274.4	17878.736	35505.41	19552.805	17723.393	16355.473	NaN	14145.186	NaN
2.1348	NaN	20446.197	20971.291	30863.936	34773.004	NaN	24349.684	20698.941	35637.312	16661.291	NaN	21634.602	19585.17	16917.043	NaN	13619.174	NaN
2.2682	NaN	18535.844	18746.943	32985.969	30312.738	NaN	22885.205	19760.75	35583.273	16265.584	NaN	22405.098	20494.559	NaN	NaN	NaN	NaN
2.4016	NaN	17316.887	NaN	NaN	NaN	NaN	NaN	18145.979	NaN	NaN	NaN	23183.623	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17067.432	NaN	NaN	NaN	23180.918	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16280.297	NaN	NaN	NaN	23036.844	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15934.763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
