x	Y_20181208_15100_7_3g	Y_20181208_15100_8_3g
0	28406.9746	30607.9258
0.1334	28272.8262	31440.1855
0.2668	27890.5059	32310.7715
0.4003	27500.8984	32332.9414
0.5337	27406.0977	31037.6426
0.6671	28478.4375	31810.332
0.8005	29470.0078	31713.5879
0.934	30216.1758	34177.207
1.0674	29414.7422	32904.9883
1.2008	28717.2188	33200.2305
1.3342	29479.2422	33985.1719
1.4676	28768.0059	33821.375
1.6011	29223.0391	32010.9102
1.7345	28476.2305	34710.6836
1.8679	29396.3262	33496.125
2.0013	31202.8457	35404.6719
2.1347	33296.9492	35083.543
2.2682	38134.2109	35495.4531
2.4016	47966.7188	39096.5312
2.535	68288.2422	48961.7539
2.6684	69717.8828	66005.3906
2.8019	49615.168	91105.1719
2.9353	39801.1289	83119.7188
3.0687	33486.8008	57877.6445
3.2021	31727.3008	44054.8594
3.3355	NaN	38072.2539
3.469	NaN	37606.3789
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
