x	Y_20181208_15100b_1_1g	Y_20181208_15100b_1_3g	Y_20181208_15100b_1_6g	Y_20181208_15100b_10_1g	Y_20181208_15100b_10_2g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_2g	Y_20181208_15100b_11_3g	Y_20181208_15100b_12_1g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_15g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_11g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_16_3g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_7g	Y_20181208_15100b_18_11g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_2g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_7g	Y_20181208_15100b_19_2g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_9g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_6g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_20g	Y_20181208_15100b_22_3g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_23_5g	Y_20181208_15100b_23_6g	Y_20181208_15100b_23_7g	Y_20181208_15100b_24_1g	Y_20181208_15100b_24_3g	Y_20181208_15100b_25_1g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_27_8g	Y_20181208_15100b_29_5g	Y_20181208_15100b_30_4g	Y_20181208_15100b_30_5g	Y_20181208_15100b_30_6g	Y_20181208_15100b_30_7g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_7g	Y_20181208_15100b_32_8g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_2g	Y_20181208_15100b_9_1g	Y_20181208_15100b_9_3g
1.6011	26694.3672	33007.4297	35814.9844	44776.3984	37264.9492	28705.6895	35453	43901.1797	33550.7969	28826.9062	33078.5273	32677.6055	33782.0156	32750.9492	58059.418	35684.2031	109463.0703	33547.7031	36588.5117	34455.3867	29221.0684	31352.375	64945.5586	32712.6562	64430.3242	31316.9414	40525.4883	47761.5742	32402.7441	87367.7266	32162.2852	27053.9941	41213.6914	32243.1992	50817.7539	45186.4219	29049.7188	52986.8047	58158.6016	37107.8047	50675.6758	61989.8164	57763.8047	54974.9844	40914.2461	31894.2812	41655.8867	39617.5664	42526.2539	35162.3984	36038.3438	46035.918	50647.1211	60070.3438	27536.4453	62700.7812	57935.0391	27189.5879	30243.7832	48962.9141	31212.2129	32516.2129	70805.6562	33366.2812	37781.1094	45074.3125	28838.6191	47371.8516
1.7345	27135.9473	36992.418	44610.0234	62595.7344	44128.4102	32552.8633	45552.9062	64027.4258	37939.2695	30178.7188	34787.7734	36489.3164	38911.4219	36519.082	78814.8984	46424.7539	113036.125	36862.6836	45179.6953	39688.5234	35101.7773	32792.9219	97720.8125	40485.582	102184.2812	34236.4883	50787.4766	68759.3516	41934.0234	102705.9688	36810.1367	26432.1621	49822.3477	39119.8828	77573.0156	62231.8516	28880.0859	73734.1484	90937.1953	41521.8125	83293.4062	63403.7539	87301.9688	64535.1719	60545.1914	34758.3867	59923.3906	53146.6836	58112.3828	36724.2461	48918.7656	60845.7734	79876.2344	85292.3203	30413.252	97482.1875	87751.2188	28527.4746	33605.9727	72582.0547	31705.1309	31960.5293	71249.5312	36242.2305	50451.457	61353.4453	29443.6797	68619.5859
1.8679	27469.707	46295.918	62449.7773	107118.5391	62410.918	37641.4258	62651.4102	97305.3906	47431.1914	32859.7383	39173.0117	44111.9414	50633.9961	47209.1367	73436.3594	49624.4375	79729.6562	47772.0508	61685.0352	51778.1641	48129.6953	33645.0664	101733.3672	61163.5	103123.1953	39567.7031	68218.4062	117754.0234	56954.4297	79117.875	47377.293	28114.0137	69778.1016	57022.8555	95596.3516	78950.3438	30735.5176	76473.0547	112826.0156	49932.9453	104726.2031	46817.0391	96277.9219	55193.207	82517.3516	44821.9141	92607.2656	87287.4688	75112.5469	45455.4648	77181.2891	64644.1602	103827.4062	90514.3125	34688.2031	112178.6953	101688.6875	31545.416	42105.543	77878.2891	34190.0547	34526.5156	52253.8477	48022.8164	73117.1797	89379.5312	39078.1367	78728.25
2.0013	30029.2441	62142.3008	92883.9219	166168.0156	85139.2031	51936.0117	68125.25	103143.6875	73759.0859	37793.3594	57757.2852	65134.5664	78641.5234	76643.7422	52015.8125	41123.1328	49911.6211	67501.4141	69778.9141	80502.1797	73482.0859	37638.7617	70195.2344	83072.6406	70718.9609	51630.832	73694.7969	157997.6875	67429.5938	49058.6836	64690.7422	30054.0352	104473.9219	73936.7812	79171.1016	71977.5	38554.75	57463.1914	91734.2031	71115.0625	85292.7891	38081.4141	69394.3516	41518.8008	85668.2109	66794.8438	105155.7344	104778.7812	70372.2578	63242.4453	102590.6875	49117.0508	85860.75	63591.3281	43588.1523	78132.5781	79181.7109	42784.4258	55240.8477	61476.5664	39362.5781	39409.8906	37720.9688	69901.1094	87876.8438	104383.2891	58639.8281	60505.3945
2.1347	35471.3125	72326.4141	111508.0156	168953.1406	79569.1797	79289.8203	53832.5586	71605.3828	109056.2656	49306.8281	96487.2109	95391.3594	102696.0312	102208.1719	39423.4844	32738.8027	40537.4141	81348.2344	57034.5703	113348.4219	98770.1953	48017.3477	42196.9336	85492.7656	47190.3633	78905.5078	54432.3789	135069.0938	53409.1523	38432.8945	66521.8516	36382.5	120260.2891	66210.2188	50648.3438	50706.8633	51728.8867	42122.1055	60435.6836	81634.6562	53913.7773	35583.293	47731.4844	35231.3984	60382.0703	88731.5703	72891.7188	81130.0312	53920.8555	99361.7188	82634.2109	37361.9141	54542.7148	42991.1367	63596.7695	50001.3594	51227.3516	55098.6328	56824.6328	43233.3633	52978.0664	50493.7305	31144.2402	87240.0625	69941.375	77081.0781	87658.7656	44769.1953
2.2682	47566.4648	58640.2148	82882.6484	103020.2266	59462.2617	86744.7031	40979.2031	46469.4414	101198.7422	71695.7266	135117.0781	103126.3438	85892.9375	79537.9766	34406.5703	29431.8633	33650.5977	68973.6562	40471.6875	116511.9766	96802.0703	62895.8789	32152.8574	58546.4844	37987.9258	93667.2266	38904.8281	85479.6484	39743.5703	33187.6836	51052.2812	53250.4766	94030.9062	46250.5625	38193.1641	41714.375	57914.0078	35605.2109	43833.0117	65307.1523	38889.3164	32310.2852	37947.5859	32353.2129	43360.3867	71518.0625	45797.1328	59417.3672	41587.7617	115177.9062	52605.5195	31714.1836	41234.5664	35503.0625	87071.0625	39972.3203	38361.2305	54414.1445	43680.8086	34371.5781	69932.3516	64101.6562	28120.7617	77433.2734	48119.5312	50145.3555	85563.7109	37050.8398
2.4016	72083.3438	42097.2031	51753.5352	59489.1875	41754.8984	58454.9844	37012.5703	38719.8555	68411.6953	120831.3047	109680.4531	72368.4062	58917.9531	51578.6602	33421.2266	28107.6406	31910.9355	48941.8125	33102.9531	83871.6406	61409.2461	62478.5352	28282.2344	42673.0781	32764.4961	70277.2891	34594.8242	52715.2773	33862.3008	31213.0137	38725.3398	68808.9375	58100.3906	35227.0039	31853.291	39828.75	47287.4375	34722.6406	38452.2461	47026.2344	31571.3516	31888.2871	34863.8086	31034.957	35666.4688	50255.1016	36164.2266	54664.2148	35311.3203	88895.5312	39695.7969	30536.8086	38044.4648	33440.2656	79016.2188	36138.0781	34694.2852	40835.1484	36754.1797	29900.1211	70220.6953	56351.332	27850.25	54603.8984	38154.4297	36514.7344	60104.5586	33767.168
2.535	101342.375	36850.0781	39257.5664	44791.4766	36770.5312	39218.5469	NaN	NaN	48025.9766	136015.1875	62193.8906	48482.9414	47685.2695	38829.8164	33135.3516	27245.0566	NaN	38372.3906	31714.332	52893.4805	41508.1055	46710.1914	27237.6484	35754.3359	32239.4609	45452.7188	32314.0781	40096.0352	31405.748	28087.1309	32612.4844	67273.7656	40102.2422	32056.0195	32024.7031	37119.1484	37713.9375	NaN	36236.2852	38071.1406	29877.8535	NaN	33349.4805	28996.8301	33649.4414	39440.1914	32796.3398	51958.5469	32844.6406	61007.4922	34743.5	31182.5625	36455.7031	32830.9258	52158.6328	34730.7969	32647.3223	31289.4395	32554.6934	29931.541	53371.2305	44828.5156	NaN	41126.6367	34004.5977	34173.9883	39588.1914	32872.3477
2.6684	98396.375	35361.8945	35456.6562	37773.5781	33818.832	31016.3809	NaN	NaN	40633.1875	94534.5	41983.6758	37957.3711	51400.3711	33996.1836	NaN	NaN	NaN	33939.5781	31218.9902	41227.5625	33460.7539	38317.9844	27363.4961	34648.5547	NaN	37509.1523	31415.7188	34432.8359	29982.6738	27825.5234	31566.4785	48872.2227	34364.3477	30513.5801	31713.5742	35702.2188	32375.3574	NaN	33149.2305	36398.3711	30069.0664	NaN	32598.2969	NaN	32302.5703	34004.832	32569.7539	42466.2812	32357.2148	45214.0508	31407.1855	NaN	34595.1016	31433.0938	36068.1641	33837.6172	32268.7754	27766.4766	31447.2148	28260.4297	41154.7266	38529.5938	NaN	36667.6641	31935.1758	32780.5078	32217.5312	31289.1445
2.8019	65213.3711	34075.9609	32045.5312	36243.0117	33842.2188	27442.1621	NaN	NaN	37322.6797	53556.7461	35844.668	33703.9883	NaN	NaN	NaN	NaN	NaN	32971.4062	NaN	36178.9648	30196.6992	33867.5195	27269.9316	33319.7266	NaN	32150.8652	31014.2441	32993.875	NaN	NaN	30106.9707	34584.8906	30848.125	30614.457	31836.5957	33049.4648	NaN	NaN	32568.4668	34449.5039	NaN	NaN	NaN	NaN	NaN	33870.0234	31249.0859	NaN	NaN	39500.3945	30600.8633	NaN	NaN	NaN	30056.9297	35283.5547	NaN	27861.6367	NaN	NaN	36563.0898	39033.4102	NaN	35321.1992	NaN	32028.8359	29195.082	NaN
