x	Y_20181208_15100_1_7g	Y_20181208_15100_11_4g	Y_20181208_15100_14_1g	Y_20181208_15100_16_1g	Y_20181208_15100_17_5g	Y_20181208_15100_18_3g	Y_20181208_15100_19_5g	Y_20181208_15100_4_1g	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g	Y_20181208_15100_7_8g
0	11719.542	11460.54	12361.5508	12144.915	12876.9062	10428.2412	10752.9453	9780.1348	11026.3779	12587.0898	12492.9893	11174.5332	12550.9688	10794.1699	12764.752
0.1334	12101.2012	13540.8682	14705.9053	12448.6689	14537.7832	11645.6758	12351.6084	10437.6309	11563.4609	13131.2832	14847.3066	12886.6523	12867.7734	12844.6074	15988.4668
0.2668	13730.543	16798.9004	19705.4473	15223.8125	17698.8594	14675.0156	13877.5381	12501.1689	13387.9443	14839.5469	17032.1035	16567.1953	14768.0273	18490.5469	21366.3438
0.4003	17702.1289	26014.3418	24186.4492	16943.8457	18608.7461	16705.1582	16846.5215	16494.0371	15589.3428	18716.8984	20325.498	19057.4727	15107.7803	24526.3594	20573.4297
0.5337	21512.2871	34883.8477	23069.5645	18523.2012	16013.5879	18220.6211	18440.2266	18777.6602	17725.6191	18943.2324	20176.1465	18378.3711	19533.4531	25499.1582	18282.6562
0.6671	19470.252	37155.668	19141.1426	18570.166	15830.0215	18286.7832	16763.0684	17169.1328	18992.3086	17387.0684	17803.0996	16513.1289	25194.3066	20149.3867	16401.5449
0.8005	16225.5332	32572.75	16050.5195	18409.8359	15923.1299	18228.2539	16313.3721	14987.5938	16904.6074	14486.8652	17284.2832	15673.2686	25995.3008	17160.8594	14935.4248
0.934	14628.7314	26932.5918	14367.8564	17374.2598	14447.2441	16143.9551	16331.7861	13753.8232	14137.0195	12937.4355	16710.6543	14945.6318	21462.7871	17168.3223	13966.6416
1.0674	13700.4736	24446.8457	14067.1143	15007.7822	13577.8848	14694.5576	15380.1006	13467.5049	14395.0586	12201.0361	16571.9609	14453.1299	18104.4238	16096.1104	14471.1426
1.2008	13601.5605	21801.9414	15103.1045	14873.3252	14375.0859	14384.9375	15151.6523	14001.29	14834.917	11758.6602	16769.5	15055.4678	15971.207	16249.6543	14296.1611
1.3342	14241.5586	19845.3301	14773.6406	14609.4922	13776.0107	15073.9131	15585.3662	13198.4248	14546.7227	10931.1924	16285.3467	14053.7754	14753.6992	17124.748	13335.7559
1.4676	14494.1768	18002.8281	14927.5312	14384.7334	13869.9453	14373.2129	15532.1572	14403.918	16535.8418	10894.0566	16267.7529	14391.1426	13308.2646	18051.1172	13659.8555
1.6011	14877.375	15956.1084	14262.3711	14084.0127	13700.5586	13806.2383	14526.6709	12923.3867	18173.7559	11876.1143	15506.1836	14220.6514	12394.9707	18482.0879	13854.7305
1.7345	15522.2969	16723.5078	14148.7021	14026.168	13172.6445	13344.8828	12506.0986	12632.0127	20139.8457	12903.3066	15917.8828	13939.9443	12591.7568	18336.0898	12955.8184
1.8679	17040.2832	16446.0859	14627.1191	14286.4736	12801.3389	12515.7803	11626.3125	11917.4434	18858.1035	12947.7305	15542.3721	14038.4229	12047.9492	16904.0098	12672.584
2.0013	19368.4199	16329.8486	17294.2598	15039.2764	12964.708	12050.8291	11512.6338	11886.0547	16647.5391	13526.6084	14675.6162	14568.3643	12558.4541	15346.4648	12436.041
2.1347	19789.5625	16179.9746	17731.8223	15158.2549	13076.4668	13193.9102	11072.5361	12664.9502	14424.748	13986.1367	14674.0557	14750.6406	13072.0869	14214.4404	12852.9336
2.2682	18413.5	14714.7568	17029.5195	15436.4893	14208.8711	13444.2383	10723.9922	12610.4756	13251.333	14161.6309	14912.5117	14934.7578	13266.9395	13866.6475	12084.2617
2.4016	16712.418	13943.457	16183.8613	16229.5664	14001.2959	14398.9102	11047.0391	13721.8262	12967.6357	13952.1846	14993.8867	16814.4375	13354.2637	14621.7012	12580.1035
2.535	16370.2373	15937.5762	15336.458	17477.043	12892.2812	14900.1162	11521.8154	15020.9551	13421.8916	15836.2646	15818.3613	17186.2207	13163.0283	15196.0244	13159.1328
2.6684	15395.5596	16204.7539	14739.0439	17573.7031	12431.7217	14369.3887	11546.6885	14481.0771	13363.8311	15242.6943	14075.4922	16809.498	12591.9502	15557.6797	12530.6562
2.8019	14003.9893	16719.2578	14199.791	16337.5283	12064.459	13268.9648	12069.9307	15131.5352	14203.3174	15147.8838	12126.4189	15119.8418	13467.1172	16526.5859	12046.249
2.9353	13530.7197	15668.4287	14444.4502	14986.417	12050.6738	12894.7744	11947.835	13269.7598	13936.54	15791.5127	12484.4121	13483.6514	14031.5078	16222.583	NaN
