x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_17_4g	Y_20181208_15693_3_8g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693_9_11g	Y_20181208_15693_9_15g
0	29334.7812	27977.3418	30495.3145	27571.8008	29421.4961	28053.7168	26375.0762	23530.0566	30318.9531	29430.5664
0.1334	28735.3125	27494.1582	30108.4902	27791.2188	29268.3223	27489.1211	25701.9141	24112.6055	32186.5234	29101.6973
0.2668	28615.0371	28169.5391	30846.8926	28664.2188	29788.6836	28408.5215	27013.7109	24535.3633	31494.9512	30124.332
0.4003	29141.9043	28802.1816	31575.5938	29148.4961	30158.9785	28637.4746	28218.541	24990.9609	30544.8184	29226.3945
0.5337	29593.9922	27725.8379	30910.0195	30434.2461	29395.5879	29595.3203	27750.9473	26093.4336	32121.3867	30018.2324
0.6671	28547.4258	28640.6055	30836.6582	30485.918	29881.1172	29008.3457	27269.957	25349.6836	31957.7656	29974.502
0.8005	28972.8711	28654.3535	31154.9902	29731.582	29015.6348	29739.5566	26565.9238	25552.168	30728.498	28737.5137
0.934	29569.8008	30044.1836	33046.8672	30269.8574	28532.0879	29109.1562	27297.5469	25239.4141	29810.916	29419.373
1.0674	29613.3613	28868.3027	31541.1133	30911.0352	29073.3398	29333.9707	27791.7109	25827.4531	30732.9434	29575.2559
1.2008	26807.1016	28371.9863	32041.9336	30717.5137	29699.2773	28235.7832	27457.7031	25303.6758	30451.1172	28321.1582
1.3342	27987.084	29368.5488	31323.9902	29735.8184	28830.0254	29626.9648	27750.6387	24576.5508	30151.9863	28947.2871
1.4676	28589.7871	28845.373	31372.8887	29852.9492	28924.209	28586.6367	27518.0449	26122.9043	29805.7949	30458.5938
1.6011	29019.6875	29432.7539	31840.1562	29205.1191	29641.582	29732.9492	26184.6367	26907.5332	29720.957	29531.0742
1.7345	27767.4824	30920.0449	30477.6836	29396.3613	30450.7832	30680.7168	27437.4414	24784.8828	30814.8008	30302.0488
1.8679	29339.1621	29893.9355	32449.4082	29521.1523	28934.3164	29896.9707	28182.9297	25250.1777	30785.1152	30315.9316
2.0013	30024.7793	28734.0293	30438.6641	29456.6367	29106.8027	29571.207	29085.1836	24048.3828	32556.5078	29615.5078
2.1347	27717.1152	28613.7441	32098.9121	29856.0586	29773.1934	29652.6953	26497.1602	23804.5801	34013.668	29934.1855
2.2682	29360.8086	28465.6328	32311.668	28439.5625	29948.0566	30914.9844	27085.7773	23976.332	34892.7539	30390.7734
2.4016	29392.2383	29269.5918	31792.0684	28546.1191	30143.0703	30321.9922	25913.6973	25031.998	36516.1406	31985.002
2.535	29512.7266	31846.9102	31656.5898	28138.707	30163.3047	33164.3711	26255.9512	24986.1113	35673.2773	33478.3438
2.6684	29459.625	34615.8281	32268.3945	29546.498	30360.748	37225.3516	25909.7656	25206.1504	39373.4375	34736.8789
2.8019	32682.5566	43854.4688	34029.707	28011.1172	30883.1113	41188.1211	27312.9355	25964.8574	43410.6211	36369.625
2.9353	36944.8086	64670.2852	36647.3359	28970.5488	33032.5977	40439.3633	28386.7422	28502.4316	51972.1641	42001.7031
3.0687	49661.7148	81793.6875	41139.0859	30726.9902	35241.3398	39031.6289	30307.957	33177.0547	52112.1367	63520.707
3.2021	72106.4219	74880.9219	54377.4062	34545.4219	38715.4023	45379.25	37550.2344	42550.9258	43254.2539	77143.375
3.3355	93373.9141	51033.5703	68390.0312	43070.9297	43736.3555	49276.1758	50693.9609	57818.3867	35449.207	68040.6172
3.469	86238.0156	40137.0508	63351.7109	57234.625	49034.5352	41801.375	69579.2891	58201.4883	33472.7656	47825.6719
3.6024	59619.8242	34559.3945	47539.1016	61648.4453	47794.375	34100.4844	60998.0859	41301.7305	32742.4844	39796.5781
3.7358	42987.4844	32411.4121	37232.6055	51748.1992	42380.4141	31469.9414	41698.3594	29705.3477	31891.832	35723.4453
3.8692	36364.6719	31488.3516	33794.8672	39943.9727	38167.5273	31194.6836	33058.3398	27050.7207	NaN	33119.8711
4.0027	33506.2188	NaN	34109.0977	35295.1914	40035.3008	30071	29669.4453	26546.418	NaN	32933.2227
4.1361	32278.1562	NaN	NaN	32235.166	NaN	NaN	29714.5391	NaN	NaN	31638.793
4.2695	30162.8066	NaN	NaN	31792.9062	NaN	NaN	27853.916	NaN	NaN	NaN
4.4029	29820.5977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
