x	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_8g	Y_20181208_15693b_1_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_11g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_11g	Y_20181208_15693b_12_13g	Y_20181208_15693b_12_14g	Y_20181208_15693b_12_2g	Y_20181208_15693b_12_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_14g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_4g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_1g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_6g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_19g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_5g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_16g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_2g	Y_20181208_15693b_5_5g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_13g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_17g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_21g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_3g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_9g
2.2682	13565.3447	11280.9512	12453.8057	12895.9434	11919.7412	11999.5439	12695.1133	12475.1533	11788.4941	12995.3945	11647.7793	13409.0918	NaN	11193.0977	NaN	14792.7646	12477.9746	12270.8789	NaN	11103.8916	12238.4648	NaN	10879.7373	10976.0186	10230.6895	12829.2549	13561.7256	12424.7881	12361.1387	11298.4551	12428.5273	12076.9521	10899.4277	13179.1494	NaN	10329.2588	10700.8965	11680.8672	NaN	12948.4238	13120.1328	12412.0352	11609.8037	11864.1465	12530.9121	10842.7578	11374.3164	11136.4248	11674.4844	10411.623	12907.6582	12357.9883	10789.4824	10253.6963	11350.8887	10842.0654	12066.1504	10982.501	11272.3877
2.4016	12970.335	11486.0811	12383.208	11990.2998	NaN	11509.0908	NaN	12514.6221	11857.7617	11866.3662	11708.8281	12956.5312	NaN	11695.4492	NaN	13909.9004	12405.9814	11631.002	NaN	10753.8672	11792.0879	NaN	10296.2793	10983.8037	10476.1836	13131.7334	12168.1543	12838.8809	12278.6094	11493.2324	12572.3633	11804.2266	10910.2178	NaN	NaN	10080.873	10514.709	11578.623	NaN	12523.7764	12457.9365	12088.9033	11043.1094	11333.9951	12599.8271	NaN	11078.9336	10692.7285	11929.2168	NaN	13631.957	11925.7686	10772.7852	10659.5049	10929.46	10826.0801	12229.5391	10070.4238	11367.2656
2.535	NaN	NaN	12617.791	11369.9902	NaN	NaN	NaN	13102.0996	12201.2188	11876.8008	11625.5957	12237.8408	NaN	11498.7178	NaN	NaN	13101.8701	11989.1016	NaN	11150.5547	NaN	NaN	10724.5586	10196.1621	11040.3789	13174.7734	11550.4023	NaN	12161.6367	11494.9717	12596.6074	11938.6211	12001.5977	NaN	NaN	10064.2119	NaN	11159.501	NaN	13160.8398	12684.5254	NaN	11548.7676	NaN	12760.1387	NaN	10984.9678	10826.9766	12411.6436	NaN	12879.7188	11910.3291	NaN	10692.4902	11171.4736	11324.8896	11125.6172	NaN	11435.498
2.6684	NaN	NaN	NaN	11384.752	NaN	NaN	NaN	NaN	11188.5352	NaN	11716.7441	12199.6885	NaN	NaN	NaN	NaN	12687.2803	11856.5596	NaN	11768.501	NaN	NaN	NaN	10937.9004	NaN	12974.7021	11198.4014	NaN	NaN	12221.0967	13070.54	NaN	11560.1855	NaN	NaN	10827.501	NaN	10801.4795	NaN	12652.749	12811.4062	NaN	11472.8857	NaN	NaN	NaN	11037.168	NaN	12818.4346	NaN	13243.2891	NaN	NaN	10208.3447	NaN	10428.0195	10547.6758	NaN	11591.2119
2.8019	NaN	NaN	NaN	11527.2803	NaN	NaN	NaN	NaN	11792.2344	NaN	11866.8867	11821.2656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10617.5176	NaN	NaN	11580.377	NaN	NaN	11567.9893	NaN	NaN	10006.3184	NaN	10844.04	NaN	12978.0664	NaN	NaN	12605.1357	NaN	NaN	NaN	10681.6787	NaN	13308.3652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10935.7734	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10720.3711	NaN	NaN	NaN	NaN	NaN	11531.2402	NaN	NaN	10568.4629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12753.2646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10627.1436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10907.5283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10398.0049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11080.4609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
